chunk_id,document_count,cnpj_count,priority_2025_2026_docs,local_ready_docs,hashed_docs,total_bytes,document_date_min,document_date_max,document_classes,source_tables,sample_cnpjs,rerun_command,inventory_docs,missing_local_docs,hash_pending_docs,priority_docs_inventory,bytes_inventory,sample_funds,dominant_stage,dominant_processing_status,priority_docs_effective,local_ready_ratio,hash_ratio,chunk_status,next_action,priority_score,status_lote,acao_revisada,responsavel,prazo,notas,updated_at_utc
doc-0013,164,40,164,164,164,77725166,2025-08-08,2026-06-05,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","61885788000155, 61896279000128, 61927592000186, 61995584000177, 62014120000103, 62014262000162, 62015452000102, 62017163000134",python scripts/build_fidc_industry_documents.py --chunk-id doc-0013,164,0,0,164,77725166,"ITAU CREDITO ESTRUTURADO ADVISORY ALPES III FIDC RESPONSABILIDADE LIMITADA, OTIMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, WELLGROW FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA, ARTESANAL EB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA",ocr_parse_extract,local_ready,164,1.0,1.0,processar,ocr parse extract,493.64,pendente,,,,,
doc-0001,116,40,116,116,116,54970663,2024-06-26,2026-06-03,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","08417544000165, 10292322000105, 10756703000106, 11468186000124, 12813212000177, 13026491000191, 13807406000122, 15675220000192",python scripts/build_fidc_industry_documents.py --chunk-id doc-0001,116,0,0,116,54970663,"CRÉDITO UNIVERSITÁRIO FIDC, KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA, KOBOLD H FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA, ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO",ocr_parse_extract,local_ready,116,1.0,1.0,processar,ocr parse extract,349.16,pendente,,,,,
doc-0002,101,40,101,101,101,78967322,2021-06-15,2026-05-25,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","28880400000158, 28960803000107, 29226654000110, 29242926000175, 29720593000142, 29957532000101, 30659408000130, 31368761000124",python scripts/build_fidc_industry_documents.py --chunk-id doc-0002,101,0,0,101,78967322,"FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS GRAN CAPITAL, M SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, CONSIGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS",ocr_parse_extract,local_ready,101,1.0,1.0,processar,ocr parse extract,304.01,pendente,,,,,
doc-0005,96,40,96,96,96,55395230,2024-08-01,2026-05-26,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","50473039000102, 50491214000186, 50536324000117, 50555970000121, 50835592000130, 50963249000170, 50988212000105, 50990958000145",python scripts/build_fidc_industry_documents.py --chunk-id doc-0005,96,0,0,96,55395230,"SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA, ADGM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, MAQNELSON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA, SIRIUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS",ocr_parse_extract,local_ready,96,1.0,1.0,processar,ocr parse extract,288.96,pendente,,,,,
doc-0014,95,40,95,95,95,48049524,2025-09-22,2026-05-26,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","62758520000115, 62786631000135, 62790827000101, 62800204000164, 62800922000130, 62838025000116, 62838423000132, 62877158000100",python scripts/build_fidc_industry_documents.py --chunk-id doc-0014,95,0,0,95,48049524,"MB GENESIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA, MORISCO SPECIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA, MRV PRÓ SOLUTO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IMOBILIÁRIOS DE RESP LIMITADA, DOMINUS WISE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS",ocr_parse_extract,local_ready,95,1.0,1.0,processar,ocr parse extract,285.95,pendente,,,,,
doc-0011,89,40,89,89,89,37543847,2025-02-27,2026-06-01,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","59534745000183, 59550943000130, 59679768000186, 59701895000134, 59717706000111, 59764569000176, 59765224000137, 59827367000126",python scripts/build_fidc_industry_documents.py --chunk-id doc-0011,89,0,0,89,37543847,"CHEMICAL XIV - FIDC - INDUSTRIA PETROQUIMICA, DAYCOVAL D235 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, AMANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, MV I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA",ocr_parse_extract,local_ready,89,1.0,1.0,processar,ocr parse extract,267.89,pendente,,,,,
doc-0003,86,40,86,86,86,53921333,2023-12-07,2026-06-01,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","38658727000133, 39270085000163, 39380171000129, 39663988000104, 39664088000181, 39669950000149, 39680495000182, 39703077000163",python scripts/build_fidc_industry_documents.py --chunk-id doc-0003,86,0,0,86,53921333,"FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FORNECEDORES MADEIRA MADEIRA I, PHD FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, STARTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, SPARK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA",ocr_parse_extract,local_ready,86,1.0,1.0,processar,ocr parse extract,258.86,pendente,,,,,
doc-0004,78,40,78,78,78,49175913,2022-03-07,2026-06-08,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","44124617000194, 44173345000112, 44173467000109, 44178497000108, 44197635000104, 44302112000172, 44674270000153, 45019002000160",python scripts/build_fidc_industry_documents.py --chunk-id doc-0004,78,0,0,78,49175913,"CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO, ACCESS ASA DISTRESSED FI EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, MT INSS RECEIVABLES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE, XP CREDIT SELECTION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS",ocr_parse_extract,local_ready,78,1.0,1.0,processar,ocr parse extract,234.78,pendente,,,,,
doc-0015,72,40,72,72,72,35653932,2025-12-02,2026-06-02,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","63845478000132, 63848380000139, 63849932000123, 63863686000164, 63884884000104, 63905021000176, 63915937000107, 63934300000168",python scripts/build_fidc_industry_documents.py --chunk-id doc-0015,72,0,0,72,35653932,"FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SOMACRED VEGA SICILIA ASSISTENCIA FINANCEIRA RESP LTDA, DAYCOVAL D365 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, GALAPAGOS ATLAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA, ORIZ JURI LC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA",ocr_parse_extract,local_ready,72,1.0,1.0,processar,ocr parse extract,216.72,pendente,,,,,
doc-0010,70,40,70,70,70,44012569,2025-01-28,2026-06-08,regulamento,"cedentes_sacados_candidates, manual_review_queue","58486398000106, 58488141000185, 58506369000150, 58507210000150, 58508265000185, 58508715000130, 58533096000133, 58557938000197",python scripts/build_fidc_industry_documents.py --chunk-id doc-0010,70,0,0,70,44012569,"FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BB CONSORCIOS RESPONSABILIDADE LIMITADA, CLASSE ÚNICA DE COTAS DO ST 1016 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA, ESTALEIRO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ESTALEIRO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS",ocr_parse_extract,local_ready,70,1.0,1.0,processar,ocr parse extract,210.7,pendente,,,,,
