chunk_id,diagnosed_at_utc,documents,local_ready_docs,docs_with_text,pdf_docs,pdf_text_ready_docs,pdf_needs_ocr_docs,json_ready_docs,text_cache_ready_docs,error_docs,missing_docs,avg_confidence,status_mix,source_methods,sample_documents,chunk_status,status_lote,rerun_command
doc-0001,2026-07-09T18:50:55+00:00,116,116,116,100,100,0,0,16,0,0,0.7638,pdf_text_ready | text_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"928766_assembleia_assembleia_928766_2025-06-30.pdf, 939819_assembleia_assembleia_939819_2025-06-30.pdf, 954682_emissao_emissao_954682_2025-07-28.pdf, 939731_emissao_emissao_939731_2025-07-02.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0001
doc-0002,2026-07-09T18:55:06+00:00,101,101,101,67,67,0,25,9,0,0,0.796,pdf_text_ready | text_ready | json_ready,pypdf_first_2_pages | text_cache_utf-8 | json_load_utf-8 | pypdf_first_1_pages,"844748_regulamento_regulamento_844748_2025-02-17_2025-02-17.pdf, 932409_regulamento_regulamento_932409_2025-06-18_2025-06-18.pdf, 28960803000107_932409_regulamento_regulamento_932409_2025-06-18_2025-06-18.txt, 1023848_assembleia_assembleia_1023848_2025-10-28.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0002
doc-0003,2026-07-09T18:55:21+00:00,86,86,86,80,80,0,0,6,0,0,0.757,pdf_text_ready | text_ready,pypdf_first_2_pages | text_cache_utf-8,"988500_assembleia_assembleia_988500_2025-09-11.pdf, 935244_assembleia_assembleia_935244_2025-06-11.pdf, 1179284_regulamento_regulamento_1179284_2026-05-04_2026-05-04.pdf, 39270085000163_1179284_regulamento_regulamento_1179284_2026-05-04_2026-05-04.txt",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0003
doc-0004,2026-07-09T18:55:26+00:00,78,78,78,52,52,0,14,12,0,0,0.7923,pdf_text_ready | text_ready | json_ready,pypdf_first_2_pages | pypdf_first_1_pages | text_cache_utf-8 | json_load_utf-8,"851797_assembleia_assembleia_851797_2025-02-28.pdf, 851798_regulamento_regulamento_851798_2025-02-28.pdf, 985913_regulamento_regulamento_985913_2025-08-29_2025-08-29.pdf, 1040431_assembleia_assembleia_1040431_2025-10-02.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0004
doc-0005,2026-07-09T18:55:10+00:00,96,96,96,65,65,0,21,10,0,0,0.7932,json_ready | pdf_text_ready | text_ready,json_load_utf-8 | pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"467929.local.json, 467930.local.json, 468755.local.json, 468756.local.json",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0005
doc-0006,2026-07-09T18:55:45+00:00,60,60,59,56,55,1,0,4,0,0,0.7483,pdf_text_ready | text_ready | pdf_needs_ocr,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"995531_regulamento_regulamento_995531_2025-09-10_2025-09-10.pdf, 1182131_regulamento_regulamento_1182131_2026-05-07_2026-05-07.pdf, 1183189_regulamento_regulamento_1183189_2026-05-08_2026-05-08.pdf, 832606_regulamento_regulamento_832606_2025-02-06_2025-02-06.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0006
doc-0007,2026-07-09T18:56:11+00:00,49,49,49,45,45,0,0,4,0,0,0.7582,pdf_text_ready | text_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"1071679_regulamento_regulamento_1071679_2025-12-24_2025-12-24.pdf, 54904072000192_1071679_regulamento_regulamento_1071679_2025-12-24_2025-12-24.txt, 1132451_regulamento_regulamento_1132451_2026-03-10_2026-03-10.pdf, 1140267_regulamento_regulamento_1140267_2026-03-06_2026-03-06.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0007
doc-0008,2026-07-09T18:56:09+00:00,55,55,55,49,49,0,0,6,0,0,0.7609,pdf_text_ready | text_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"907717_regulamento_regulamento_907717_2025-05-09_2025-05-09.pdf, 55938045000101_907717_regulamento_regulamento_907717_2025-05-09_2025-05-09.txt, 1086224_regulamento_regulamento_1086224_2026-01-09_2026-01-09.pdf, 1158589_assembleia_assembleia_1158589_2026-04-06.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0008
doc-0009,2026-07-09T18:55:53+00:00,59,59,59,48,48,0,0,11,0,0,0.7686,pdf_text_ready | text_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"1178981_regulamento_regulamento_1178981_2026-04-30_2026-04-30.pdf, 57506211000118_1178981_regulamento_regulamento_1178981_2026-04-30_2026-04-30.txt, 837176_regulamento_regulamento_837176_2025-02-07_2025-02-07.pdf, 885207_regulamento_regulamento_885207_2025-04-23_2025-04-23.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0009
doc-0010,2026-07-09T18:55:34+00:00,70,70,70,40,40,0,0,30,0,0,0.7929,pdf_text_ready | text_ready,pypdf_first_2_pages | text_cache_utf-8,"1005769_regulamento_regulamento_1005769_2025-09-26_2025-09-26.pdf, 58486398000106_1005769_regulamento_regulamento_1005769_2025-09-26_2025-09-26.txt, 863055_regulamento_regulamento_863055_2025-03-19_2025-03-19.pdf, 58488141000185_863055_regulamento_regulamento_863055_2025-03-19_2025-03-19.txt",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0010
doc-0011,2026-07-09T18:55:18+00:00,89,89,89,50,50,0,10,29,0,0,0.7994,pdf_text_ready | text_ready | json_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages | json_load_utf-8,"863909_regulamento_regulamento_863909_2025-03-25_2025-03-25.pdf, 872150_regulamento_regulamento_872150_2025-03-31_2025-03-31.pdf, 1152702_regulamento_regulamento_1152702_2026-04-01_2026-04-01.pdf, 59679768000186_1152702_regulamento_regulamento_1152702_2026-04-01_2026-04-01.txt",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0011
doc-0012,2026-07-09T18:55:42+00:00,65,65,64,40,39,1,0,25,0,0,0.7808,pdf_text_ready | text_ready | pdf_needs_ocr,pypdf_first_2_pages | text_cache_utf-8,"1029065_regulamento_regulamento_1029065_2025-10-01_2025-10-01.pdf, 952682_regulamento_regulamento_952682_2025-07-10_2025-07-10.pdf, 949782_regulamento_regulamento_949782_2025-07-10_2025-07-10.pdf, 997497_regulamento_regulamento_997497_2025-09-19_2025-09-19.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0012
doc-0013,2026-07-09T18:54:54+00:00,164,164,164,85,85,0,56,23,0,0,0.8152,pdf_text_ready | text_ready | json_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages | json_load_utf-8,"1089563_regulamento_regulamento_1089563_2026-01-21_2026-01-21.pdf, 1064366_regulamento_regulamento_1064366_2025-12-16_2025-12-16.pdf, 61896279000128_1064366_regulamento_regulamento_1064366_2025-12-16_2025-12-16.txt, 1213807_regulamento_regulamento_1213807_2026-02-12_2026-02-12.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0013
doc-0014,2026-07-09T18:55:15+00:00,95,95,95,46,46,0,19,30,0,0,0.8116,pdf_text_ready | text_ready | json_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages | json_load_utf-8,"1087977_regulamento_regulamento_1087977_2026-01-12_2026-01-12.pdf, 62758520000115_1087977_regulamento_regulamento_1087977_2026-01-12_2026-01-12.txt, 997060_regulamento_regulamento_997060_2025-09-23_2025-09-23.pdf, 62786631000135_997060_regulamento_regulamento_997060_2025-09-23_2025-09-23.txt",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0014
doc-0015,2026-07-09T18:55:31+00:00,72,72,72,43,43,0,0,29,0,0,0.7903,pdf_text_ready | text_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"1179652_regulamento_regulamento_1179652_2026-04-27_2026-04-27.pdf, 63845478000132_1179652_regulamento_regulamento_1179652_2026-04-27_2026-04-27.txt, 1068666_regulamento_regulamento_1068666_2025-12-18_2025-12-18.pdf, 1057809_regulamento_regulamento_1057809_2025-12-10_2025-12-10.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0015
