chunk_id,extracted_at_utc,documents_scanned,participant_candidates,participant_accepted,participant_suppressed,participant_funds,participant_with_name,participant_with_cnpj,participant_with_page,criteria_candidates,criteria_funds,criteria_with_threshold,criteria_with_page,subordination_candidates,subordination_funds,avg_participant_confidence,avg_criteria_confidence,participant_types,criteria_keys,rerun_command
doc-0001,2026-07-10T17:16:18+00:00,116,13,9,4,11,6,13,12,167,28,41,167,24,11,0.6615,0.8279,cedente_originador | consultora,subordination_not_applicable | eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0001
doc-0002,2026-07-10T17:16:23+00:00,101,14,8,6,10,8,14,14,421,30,96,419,31,12,0.6279,0.7883,sacado_devedor | consultora | cedente_originador,subordination_not_applicable | eligibility_rule | subordination_ratio_min | concentration_limit | credit_rights_allocation_min | concentration_limits | service_provider_replacement_event | eligibility_criteria_text | feature_crit_rio_de_elegibilidade,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0002
doc-0003,2026-07-10T17:16:26+00:00,86,16,9,7,11,10,16,16,202,31,68,202,43,15,0.6025,0.8358,consultora | cedente_originador | sacado_devedor,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0003
doc-0004,2026-07-10T17:16:30+00:00,78,16,9,7,10,9,15,15,164,26,39,164,15,8,0.5675,0.7719,cedente_originador | consultora | sacado_devedor,subordination_not_applicable | eligibility_rule | subordination_ratio_min | concentration_limit | credit_rights_allocation_min | permitted_hedges | concentration_limits | feature_crit_rio_de_elegibilidade,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0004
doc-0005,2026-07-10T17:16:37+00:00,96,22,17,5,8,9,21,22,337,30,118,335,49,17,0.7373,0.7886,consultora | cedente_originador | sacado_devedor,subordination_ratio_min | concentration_limit | eligibility_rule | pdd_coverage_min | credit_rights_allocation_min | minimum_cash_ratio | concentration_limits | recompras_max | feature_crit_rio_de_elegibilidade,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0005
doc-0006,2026-07-10T17:16:40+00:00,60,14,8,6,13,11,14,14,289,29,44,289,35,11,0.6586,0.8267,sacado_devedor | consultora | cedente_originador,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0006
doc-0007,2026-07-10T17:16:43+00:00,49,21,10,11,13,14,21,21,149,31,25,148,21,10,0.5981,0.8227,consultora | cedente_originador,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0007
doc-0008,2026-07-10T17:16:46+00:00,55,8,4,4,7,3,8,8,128,28,31,128,20,12,0.5063,0.8286,cedente_originador | consultora,subordination_not_applicable | subordination_ratio_min | concentration_limit | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0008
doc-0009,2026-07-10T17:16:49+00:00,59,34,16,18,5,30,34,34,97,24,34,95,30,14,0.6359,0.8367,cedente_originador | consultora | sacado_devedor,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0009
doc-0010,2026-07-10T17:16:52+00:00,70,4,3,1,4,4,4,4,138,27,29,133,22,9,0.8025,0.8271,cedente_originador | consultora,subordination_not_applicable | eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0010
doc-0011,2026-07-10T17:16:56+00:00,89,6,5,1,4,5,5,6,175,27,42,173,24,6,0.79,0.7933,cedente_originador | consultora,subordination_not_applicable | eligibility_rule | subordination_ratio_min | concentration_limit | credit_rights_allocation_min | minimum_cash_ratio | concentration_limits | feature_crit_rio_de_elegibilidade,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0011
doc-0012,2026-07-10T17:16:59+00:00,65,15,8,7,8,9,13,14,128,24,23,125,12,6,0.5993,0.8252,cedente_originador | consultora | sacado_devedor,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0012
doc-0013,2026-07-10T17:17:12+00:00,164,14,7,7,8,8,14,14,509,24,187,503,66,8,0.6307,0.7522,cedente_originador | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit | default_rate_evaluation_event | concentration_limits | permitted_hedges | eligibility_criteria_text | credit_rights_allocation_min | minimum_cash_ratio,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0013
doc-0014,2026-07-10T17:17:17+00:00,95,20,10,10,8,15,19,19,275,27,95,262,46,8,0.5775,0.7947,cedente_originador | sacado_devedor | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit | credit_rights_allocation_min | minimum_cash_ratio | concentration_limits | permitted_hedges | pdd_coverage_min | recompras_max,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0014
doc-0015,2026-07-10T17:17:20+00:00,72,21,18,3,10,11,20,20,123,24,23,120,20,6,0.699,0.8272,cedente_originador | sacado_devedor | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0015
doc-0016,2026-07-10T17:17:32+00:00,250,10,9,1,9,8,8,7,611,24,286,609,28,7,0.759,0.7436,cedente_originador | consultora | sacado_devedor,eligibility_rule | subordination_ratio_min | concentration_limit | credit_rights_allocation_min | minimum_cash_ratio | permitted_hedges | pdd_coverage_min | recompras_max | dilution_rate_max | concentration_limits,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0016
doc-0017,2026-07-10T17:17:47+00:00,250,10,6,4,3,3,10,9,979,3,474,977,89,3,0.573,0.7572,consultora | cedente_originador,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit | cancellation_rate_max | credit_rights_allocation_min | concentration_limits | pdd_coverage_min | recompras_max | minimum_cash_ratio,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0017
doc-0018,2026-07-10T17:18:09+00:00,250,15,4,11,7,6,15,9,1179,13,487,1173,95,8,0.4427,0.722,sacado_devedor | consultora | cedente_originador,subordination_ratio_min | eligibility_rule | fic_investment_condition | pdd_coverage_min | credit_rights_allocation_min | recompras_max | permitted_hedges | service_provider_replacement_event | eligibility_criteria_text | concentration_limits,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0018
doc-0019,2026-07-10T17:18:33+00:00,250,15,14,1,4,14,9,12,1296,10,461,1296,64,4,0.7133,0.719,cedente_originador | sacado_devedor | consultora,eligibility_rule | subordination_ratio_min | credit_rights_allocation_min | minimum_cash_ratio | concentration_limits | permitted_hedges | cancellation_rate_max | service_provider_replacement_event | eligibility_criteria_text | default_rate_evaluation_event,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0019
doc-0020,2026-07-10T17:18:54+00:00,250,10,3,7,6,9,10,4,1105,14,522,1097,131,10,0.57,0.733,cedente_originador | consultora,subordination_ratio_min | eligibility_rule | concentration_limit | credit_rights_allocation_min | permitted_hedges | service_provider_replacement_event | eligibility_criteria_text | pdd_coverage_min | recompras_max | concentration_limits,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0020
doc-0021,2026-07-10T17:19:09+00:00,220,17,13,4,8,9,17,10,996,16,575,989,157,8,0.6941,0.764,cedente_originador | consultora | sacado_devedor,eligibility_rule | subordination_ratio_min | concentration_limits | permitted_hedges | eligibility_criteria_text | credit_rights_allocation_min | service_provider_replacement_event | recompras_max | minimum_cash_ratio | cancellation_rate_max,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0021
doc-0022,2026-07-10T17:19:26+00:00,192,27,17,10,8,14,26,19,946,16,524,937,124,8,0.6822,0.7455,cedente_originador | consultora | sacado_devedor,subordination_ratio_min | eligibility_rule | concentration_limits | permitted_hedges | service_provider_replacement_event | eligibility_criteria_text | credit_rights_allocation_min | minimum_cash_ratio | pdd_coverage_min | recompras_max,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0022
doc-0023,2026-07-10T17:19:54+00:00,201,9,6,3,8,6,8,2,1145,18,425,1137,126,8,0.6544,0.728,sacado_devedor | cedente_originador | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit | credit_rights_allocation_min | concentration_limits | default_rate_evaluation_event | pdd_coverage_min | minimum_cash_ratio | permitted_hedges,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0023
doc-0024,2026-07-10T17:20:04+00:00,159,23,17,6,13,18,23,8,485,15,266,480,77,7,0.7452,0.7447,cedente_originador | consultora | sacado_devedor,eligibility_rule | credit_rights_allocation_min | subordination_ratio_min | pdd_coverage_min | minimum_cash_ratio | concentration_limits | permitted_hedges | recompras_max | feature_crit_rio_de_elegibilidade,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0024
doc-0025,2026-07-10T17:20:09+00:00,85,15,6,9,7,7,15,3,189,8,74,184,34,4,0.5093,0.7148,cedente_originador | consultora,subordination_ratio_min | eligibility_rule | concentration_limit | credit_rights_allocation_min | permitted_hedges | eligibility_criteria_text | minimum_cash_ratio | pdd_coverage_min | feature_crit_rio_de_elegibilidade,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0025
