chunk_id,document_count,cnpj_count,priority_2025_2026_docs,local_ready_docs,hashed_docs,total_bytes,document_date_min,document_date_max,document_classes,source_tables,sample_cnpjs,rerun_command
doc-0001,105,35,105,105,105,46709620,2024-11-25,2026-06-03,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","08417544000165, 10292322000105, 10756703000106, 11468186000124, 12813212000177, 13026491000191, 13807406000122, 15675220000192",python scripts/build_fidc_industry_documents.py --chunk-id doc-0001
doc-0002,96,35,96,96,96,64823515,2021-06-15,2026-05-25,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","28169275000172, 28267746000185, 28472392000100, 28796939000123, 28879529000146, 28880400000158, 28960803000107, 29226654000110",python scripts/build_fidc_industry_documents.py --chunk-id doc-0002
doc-0003,56,35,56,56,56,54182700,2023-12-07,2026-05-13,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","36643621000130, 36703167000166, 37035970000132, 37037144000122, 37284201000178, 37484246000196, 37511828000114, 37645459000152",python scripts/build_fidc_industry_documents.py --chunk-id doc-0003
doc-0004,97,35,97,97,97,46076236,2022-03-07,2026-06-01,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","42154687000160, 42174080000141, 42336323000109, 42336359000184, 42462120000150, 42462162000191, 42513808000112, 42513856000100",python scripts/build_fidc_industry_documents.py --chunk-id doc-0004
doc-0005,78,35,78,78,78,42087698,2024-08-01,2026-06-08,"assembleia, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","47117653000119, 47167977000161, 47240173000140, 47280025000150, 47424724000126, 47425750000179, 47425841000104, 47758232000177",python scripts/build_fidc_industry_documents.py --chunk-id doc-0005
doc-0006,57,35,57,57,57,49216395,2025-01-06,2026-05-12,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","51555510000166, 51628065000117, 51767969000123, 51919474000172, 51928470000150, 51957370000152, 52273542000131, 52304780000167",python scripts/build_fidc_industry_documents.py --chunk-id doc-0006
doc-0007,55,35,55,55,55,45195318,2025-01-09,2026-05-13,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","53743401000106, 53744997000150, 53877402000135, 53996774000180, 54019802000172, 54020246000154, 54049164000132, 54071756000150",python scripts/build_fidc_industry_documents.py --chunk-id doc-0007
doc-0008,42,35,42,42,42,31737765,2025-01-20,2026-04-30,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","55102194000128, 55125894000138, 55144736000125, 55144787000157, 55198653000119, 55255330000110, 55257461000136, 55330962000109",python scripts/build_fidc_industry_documents.py --chunk-id doc-0008
doc-0009,49,35,49,49,49,31170655,2024-11-12,2026-05-29,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","55938045000101, 55965708000179, 55983705000168, 55993250000161, 56006480000152, 56049721000140, 56125110000134, 56135992000119",python scripts/build_fidc_industry_documents.py --chunk-id doc-0009
doc-0010,52,35,52,52,52,46067738,2024-10-23,2026-05-14,"assembleia, emissao, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched","57325251000163, 57333077000109, 57377181000197, 57378463000109, 57400405000134, 57506211000118, 57535898000110, 57544715000122",python scripts/build_fidc_industry_documents.py --chunk-id doc-0010
