fidc_type,universe_funds,universe_pl_brl,documented_funds,documented_pl_brl,fund_coverage,pl_coverage
Financeiro,1621,333211099636.76,318,72883008305.17,0.19617520049352252,0.21872923316366472
Nao classificado,1066,162106405987.94,113,15239622787.73,0.10600375234521577,0.09400999729069165
Comercial,515,119434189776.63,120,41462611677.69,0.23300970873786409,0.34715864657544737
Cartao de credito,42,94959433071.34999,12,21174022021.829994,0.2857142857142857,0.22297965917636006
Industrial,190,81781427117.43001,22,3763740548.5800004,0.11578947368421053,0.04602194754043168
Servicos,306,78858687467.0,66,25738462404.399998,0.21568627450980393,0.3263871518933253
Setor publico,181,44907003224.13,31,4907462924.55,0.1712707182320442,0.10928057033903925
Acoes judiciais,206,26680734802.55,36,5055605724.38,0.17475728155339806,0.1894852507546686
Agronegocio,59,12379053394.07,8,1681240770.8600001,0.13559322033898305,0.13581335481316958
Imobiliario,32,4124565607.5,3,1004674506.8,0.09375,0.24358310726664806
Factoring,1,93060004.37,0,0.0,0.0,0.0
