bloco,tabela,cnpj,emissao_id,fundo,originador,subordinacao_minima,preco_por_tipo_cota,cedente,sacado,fonte_originador_cedente,fonte_subordinacao,fonte_preco,fonte_sacado,status
slides 10–13,Fomento Mercantil · 2025-12,34197588000137,N/D — tabela no nível do fundo,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,Comentário manual do usuário — IMG_8592.jpg,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,11468186000124,N/D — tabela no nível do fundo,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=11468186000124,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,32321307000180,N/D — tabela no nível do fundo,CITY - 02 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE ILIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=32321307000180,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,44229197000100,N/D — tabela no nível do fundo,EUV SP1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=44229197000100,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,41776416000183,N/D — tabela no nível do fundo,RHODONITE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=41776416000183,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,23216398000101,N/D — tabela no nível do fundo,MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=23216398000101,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,23200289000198,N/D — tabela no nível do fundo,CF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=23200289000198,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,57833038000162,N/D — tabela no nível do fundo,ALDEBARAN II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=57833038000162,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,12428086000137,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=12428086000137,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,29469420000101,N/D — tabela no nível do fundo,MULTIPLIKE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=29469420000101,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,14166140000149,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SIFRA STAR,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=14166140000149,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,24504464000101,N/D — tabela no nível do fundo,IOX II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=24504464000101,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
