cutoff,ranking_table,cnpj,fundo,classe_serie,value,source_kind,source_id,document_date,event_date,page,decision,reason
2025-12-31,Fomento Mercantil · 2025-12,08678936000188,SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,Sênior,"CDI + 3,00% a.a.",assembleia,1009261,2025-10-07,2025-11-03,1,ACEITA,AGE aprovada; novo alvo eficaz em 03/11/2025
2025-12-31,Fomento Mercantil · 2025-12,08678936000188,SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,Mezanino,"CDI + 3,60% a.a.",rating_report,1118498,2025-11-03,,5,ACEITA,relatório identifica classe e Remuneração Alvo explicitamente
2026-06-30,Fomento Mercantil · 2026-06,08678936000188,SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,Sênior,"CDI + 2,50% a.a.",assembleia,1262454,2026-04-07,2026-06-06,1-2,ACEITA,"redução aprovada; vigência após prazo regulatório de até 60 dias, anterior a 30/06/2026"
2026-06-30,Fomento Mercantil · 2026-06,08678936000188,SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,Mezanino,"CDI + 3,60% a.a.",rating_report,1272420,2026-04-17,,5,ACEITA,relatório identifica classe e Remuneração Alvo explicitamente
2025-12-31,Fomento Mercantil · 2025-12,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 3ª Série,100% do CDI,assembleia,1016861,2025-10-08,,4,ACEITA,suplemento nomeia série e remuneração-alvo
2025-12-31,Fomento Mercantil · 2025-12,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 5ª Série,100% do CDI,assembleia,1016861,2025-10-08,,6,ACEITA,suplemento nomeia série e remuneração-alvo
2025-12-31,Fomento Mercantil · 2025-12,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 6ª Série,100% do CDI,assembleia,1016861,2025-10-08,,7,ACEITA,suplemento nomeia série e remuneração-alvo
2025-12-31,Fomento Mercantil · 2025-12,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 7ª Série,101% do CDI,assembleia,1016861,2025-10-08,,8,ACEITA,suplemento nomeia série e remuneração-alvo; valor reconstruído do documento
2025-12-31,Fomento Mercantil · 2025-12,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 8ª Série,100% do CDI,assembleia,1016861,2025-10-08,,9,ACEITA,suplemento nomeia série e remuneração-alvo
2025-12-31,Fomento Mercantil · 2025-12,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 10ª Série,103% do CDI,assembleia,1016861,2025-10-08,,10,ACEITA,suplemento nomeia série e remuneração-alvo; valor reconstruído do documento
2025-12-31,Fomento Mercantil · 2025-12,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 11ª Série,103% do CDI,assembleia,1016861,2025-10-08,,11,ACEITA,suplemento nomeia série e remuneração-alvo; valor reconstruído do documento
2026-06-30,Fomento Mercantil · 2026-06,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 3ª Série,100% do CDI,assembleia,1016861,2025-10-08,,4,ACEITA,suplemento nomeia série e remuneração-alvo
2026-06-30,Fomento Mercantil · 2026-06,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 5ª Série,100% do CDI,assembleia,1016861,2025-10-08,,6,ACEITA,suplemento nomeia série e remuneração-alvo
2026-06-30,Fomento Mercantil · 2026-06,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 6ª Série,100% do CDI,assembleia,1016861,2025-10-08,,7,ACEITA,suplemento nomeia série e remuneração-alvo
2026-06-30,Fomento Mercantil · 2026-06,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 7ª Série,101% do CDI,assembleia,1016861,2025-10-08,,8,ACEITA,suplemento nomeia série e remuneração-alvo; valor reconstruído do documento
2026-06-30,Fomento Mercantil · 2026-06,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 8ª Série,100% do CDI,assembleia,1016861,2025-10-08,,9,ACEITA,suplemento nomeia série e remuneração-alvo
2026-06-30,Fomento Mercantil · 2026-06,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 10ª Série,103% do CDI,assembleia,1016861,2025-10-08,,10,ACEITA,suplemento nomeia série e remuneração-alvo; valor reconstruído do documento
2026-06-30,Fomento Mercantil · 2026-06,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,Sênior · 11ª Série,103% do CDI,assembleia,1016861,2025-10-08,,11,ACEITA,suplemento nomeia série e remuneração-alvo; valor reconstruído do documento
2025-12-31,Fomento Mercantil · 2025-12,14166140000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SIFRA STAR,Sênior,"CDI + 3,00% a.a.",assembleia,1009261,2025-10-07,2025-11-03,1,ACEITA,AGE aprovada; novo alvo eficaz em 03/11/2025
2025-12-31,Fomento Mercantil · 2025-12,14166140000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SIFRA STAR,Mezanino,"CDI + 3,90% a.a.",regulamento,998356,2025-09-24,,43,ACEITA,cláusula de Rentabilidade Alvo da subclasse Mezanino
2026-06-30,Fomento Mercantil · 2026-06,14166140000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SIFRA STAR,Sênior,"CDI + 3,00% a.a.",assembleia,1009261,2025-10-07,2025-11-03,1,ACEITA,AGE aprovada; novo alvo eficaz em 03/11/2025
2026-06-30,Fomento Mercantil · 2026-06,14166140000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SIFRA STAR,Mezanino,"CDI + 3,90% a.a.",regulamento,998356,2025-09-24,,43,ACEITA,cláusula de Rentabilidade Alvo da subclasse Mezanino
2026-06-30,Outros · 2026-06,17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,Sênior · 7ª emissão,"CDI + 2,50% a.a.",assembleia,1170228,2026-05-12,,62,ACEITA,demonstração auditada identifica emissão e Benchmark; emissão mantém PL no quadro
2026-06-30,Outros · 2026-06,17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,Sênior · 6ª emissão,"CDI + 2,65% a.a.",assembleia,1170228,2026-05-12,,62,ACEITA,demonstração auditada identifica emissão e Benchmark; emissão mantém PL no quadro
2026-06-30,Outros · 2026-06,17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,Sênior · 5ª emissão,"CDI + 2,75% a.a.",assembleia,1170228,2026-05-12,,62,ACEITA,demonstração auditada identifica emissão e Benchmark; emissão mantém PL no quadro
