cnpj,fundo,source_ids,document_dates,raw_pattern_or_values,rows_affected,decision,reason,cutoff_effect
08678936000188,SIFRA PLUS FIDC MULTISSEGMENTOS,"1014984;786601;1262455","2025-09-01;2024-11-18;2026-07-22","Mezanino Artigo: CDI + 3,10%/2,50%; Sênior: CDI + 3,60%",6,REJECT_DIRECT,"Extração por proximidade trocou as classes. As taxas corretas são reconstruídas por AGE/rating; 1262455 também é posterior a 30/06/2026.","substituído nos dois cortes"
08678936000188,SIFRA PLUS FIDC MULTISSEGMENTOS,"1118498;1118495;1272420","2025-11-03;2026-01-23;2026-04-17","Sênior: CDI + 3,10%",3,SUPERSEDED,"Rating manteve taxa sênior histórica; AGE 1009261 aprovou 3,00% efetivo em 03/11/2025 e AGE 1262454 aprovou 2,50% com eficácia até 06/06/2026.","3,00% em dez/25; 2,50% em jun/26"
09195235000150,FIDC DO SISTEMA PETROBRAS,1251349,2026-07-30,"cinco taxas por subclasse/série",5,AFTER_CUTOFF,"Documento publicado após 30/06/2026. Os termos podem ser válidos em data posterior, sem suporte para os cortes do ranking.","rejeitado em dez/25 e jun/26"
12428086000137,FIDC NP MULTISSETORIAL BS NP,"711957;736755;822282","2024-04-02;2024-05-27;2025-01-16","Sênior: 100% CDI",3,SUPERSEDED,"Relatórios antigos e incompletos; suplemento 1016861 de 08/10/2025 contém a grade completa por série.","substituído nos dois cortes"
12428086000137,FIDC NP MULTISSETORIAL BS NP,1016861,2025-10-08,"parser capturou só 100% CDI e omitiu 7ª=101% e 10ª/11ª=103%",2,RECONSTRUCT,"Extração automática incompleta. A lista aceita foi reconstruída diretamente das páginas 4 a 11.","usado apenas após reconstrução"
14166140000149,SIFRA STAR FIDC,129653,2020-12-01,"Mezanino: CDI + 2%; Mezanino do CDI + 2%",2,OCR_TRUNCATED,"OCR cortou o decimal da taxa de 2,75%. Valores parciais rejeitados.","rejeitado nos dois cortes"
14166140000149,SIFRA STAR FIDC,381772,2022-11-24,"Júnior: CDI + 3,90%",1,CLASS_DRIFT,"A tabela do documento corresponde à classe mezanino; o rótulo Júnior foi erro de associação.","normalizado para Mezanino 3,90%"
14166140000149,SIFRA STAR FIDC,"994145;998356;408666;274128;381772;738046","2025-09-17;2025-09-24;2023-02-01;2022-03-07;2022-11-24;2024-09-30","Sênior: CDI + 3,50%",8,SUPERSEDED,"AGE 1009261 aprovou CDI + 3,00% com eficácia em 03/11/2025.","3,00% em dez/25 e jun/26"
17250006000110,RED FIDC REAL LP,1170228,2026-05-12,"Mezanino A: CDI + 5,00%",1,INACTIVE_CLASS,"A subclasse teve encerramento em 15/02/2025 segundo a tabela do fundo.","rejeitado em jun/26"
17250006000110,RED FIDC REAL LP,1170228,2026-05-12,"séries sênior: CDI + 2,50%/2,65%/2,75%",3,AFTER_CUTOFF,"Documento publicado após 31/12/2025.","rejeitado em dez/25; aceito em jun/26"
19388423000159,IOX I FIDC,"980020;1082001;1220959;1211314","2025-05-22;2025-09-02;2025-11-14;2026-03-06","53 linhas 100% CDI isoladas; 12 spreads de 6%-8% ligados incorretamente à série sênior",116,RECONSTRUCT,"Leitura tabular quebrou a fórmula 100% CDI + spread e anexou taxas mezanino à última série sênior. A lista aceita usa somente séries ativas reconstruídas da fonte 1211314.","linhas brutas não devem alimentar o deck"
24504464000101,IOX II FIDC,"984723;1140778;1211296;1220971","2025-09-02;2026-03-06;2025-11-14;2025-05-22","12 linhas 100% CDI isoladas; CDI + 6,75% rotulado como Sênior",16,RECONSTRUCT,"O spread de 6,75% pertence à classe mezanino; as linhas de 100% CDI são fragmentos parciais. Consolidado como Sênior CDI+4,50% e Mezanino CDI+6,75%.","reconstruído para os dois cortes"
26287464000114,TAPSO FIDC,950120,2025-07-16,"Mezanino B 1ª série: 100% CDI",1,PARTIAL_FORMULA,"Fragmento parcial de 100% CDI + 2,10%; taxa completa está na mesma página.","rejeitado; CDI+2,10% aceito"
28169275000172,FIDC PAGSEGURO I,"360787;360788","2022-09-22;2022-09-22","Sênior: CDI + 2,10%",2,SUPERSEDED,"Fonte 365167 de 14/10/2022 atualiza a taxa para CDI + 1,85% dentro do scanner. Overlay documental mais recente deve prevalecer se disponível.","1,85% no scanner para ambos os cortes"
29469420000101,MULTIPLIKE FIDC,324938,2022-06-17,"Sênior CDI+3,25%; Mezanino CDI+5,00%",2,SUPERSEDED,"Fonte 731806 de 24/07/2024 traz Sênior CDI+3,00% e Mezanino CDI+4,50%.","substituído nos dois cortes"
34197588000137,DAY MAXX 2 FIDC,"1092823;861109;950667;955490;974471","2026-04-16;2025-03-14;2025-07-17;2025-07-24;2025-08-11","26 linhas com séries colapsadas, duplicadas ou sem classe inequívoca",26,RECONSTRUCT,"A lista aceita foi reconstruída por série e classe a partir da fonte 974471; linhas genéricas e duplicadas não devem alimentar o deck diretamente.","seis séries/classes aceitas por corte"
28279473000199,FIDC AUTO-HONDA,"963047;1115750","2025-07-31;2025-12-31","Sênior: 85% CDI",2,DUPLICATE,"Relatórios repetem a mesma taxa. Consolidado pela última fonte válida anterior a cada corte.","sem mudança de valor"
50095909000149,VITA AUTO FIDC,"963055;1115774","2025-07-31;2025-12-31","Sênior: 40% CDI",2,DUPLICATE,"Relatórios repetem a mesma taxa. Consolidado pela última fonte válida anterior a cada corte.","sem mudança de valor"
