fidc_type,pl_brl_current,funds_current,vehicles_current,share_current,fund_share_current,rank_current,pl_brl_previous,funds_previous,vehicles_previous,share_previous,fund_share_previous,rank_previous,delta_pl_brl,delta_share_pp,delta_funds,delta_fund_share_pp,rank_change,competencia_previous,competencia_current,methodology
Financeiro,333203899995.42,1621,1621,0.34761763580525346,0.38421426878407205,1,213042094030.09,1113,1113,0.2722234770733142,0.3225152129817444,1,120161805965.32999,7.539415873193928,508,6.169905580232765,0,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Nao classificado,161553283089.81,1067,1069,0.16854175573883892,0.25290353164256935,2,126028091902.9,775,775,0.1610376838573367,0.22457258765575194,3,35525191186.91,0.7504071881502233,292,2.83309439868174,1,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Comercial,119994512316.1,516,516,0.12518523547143476,0.12230386347475705,3,135728752925.18,741,741,0.1734331106175602,0.21472037090698348,2,-15734240609.079987,-4.824787514612544,-225,-9.241650743222642,-1,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Cartao de credito,94959433071.35,42,42,0.09906718865572586,0.009954965631666271,4,83652621524.39,47,47,0.10689064807282203,0.013619240799768183,5,11306811546.960007,-0.7823459417096168,-5,-0.36642751681019126,1,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Industrial,81781427117.43001,190,190,0.0853191284607756,0.04503436833372837,5,91337601430.12,143,143,0.11671045368776727,0.04143726456099681,4,-9556174312.689987,-3.1391325226991658,47,0.3597103772731557,-1,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Servicos,78858687467.0,306,306,0.08226995692535624,0.0725290353164257,6,51263034996.78,198,198,0.06550349448866871,0.05737467400753405,6,27595652470.22,1.676646243668753,108,1.5154361308891646,0,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Setor publico,44907003224.13,181,181,0.04684959057227582,0.04290116141265703,7,39549574724.27,173,173,0.05053612900880991,0.05013039698638076,7,5357428499.860001,-0.368653843653409,8,-0.7229235573723736,0,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Acoes judiciais,26680734802.55,206,206,0.02783489014905546,0.04882673619341076,8,23843880005.57,154,154,0.03046751841032116,0.04462474645030426,8,2836854796.9799995,-0.26326282612657015,52,0.42019897431065034,0,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Agronegocio,12379053394.07,59,60,0.012914546541660408,0.01398435648257881,9,15750416006.9,84,84,0.020125755101449195,0.02434077079107505,9,-3371362612.83,-0.7211208559788786,-25,-1.035641430849624,0,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Imobiliario,4124565607.5,32,32,0.00430298608516442,0.007584735719364778,10,2178834316.78,21,21,0.0027840969944500126,0.006085192697768763,10,1945731290.7199998,0.1518889090714407,11,0.14995430215960157,0,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
Factoring,93060004.37,1,1,9.708559445904028e-05,0.00023702299123014932,11,225101342.16,3,3,0.0002876326875007628,0.0008693132425383947,11,-132041337.78999999,-0.019054709304172256,-2,-0.06322902513082454,0,2025-05,2026-05,dominant receivables category in the CVM monthly filing; contemporaneous classification
