competencia,categoria_cvm,rank_reclassificado,pl_original_brl,share_original,pl_reclassificado_brl,share_reclassificado,delta_pl_brl,fundos_original,fundos_reclassificados,fundos_movidos_da_categoria,pl_movido_da_categoria_brl,cnpjs_movidos_da_categoria,fundos_movidos_para_adquirencia,pl_movido_para_adquirencia_brl,cnpjs_movidos_para_adquirencia,fundos_adquirencia_curados,fundos_adquirencia_observados,cobertura_cnpjs_curados,cnpjs_curados_nao_observados,denominador_pl_brl,source_references
2023-12,Financeiro,1,112833683672.24,0.24435764680914285,112833683672.24,0.24435764680914285,0.0,688,688,0,0.0,,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,Comercial,2,103398744677.44,0.22392492303798442,103398744677.44,0.22392492303798442,0.0,633,633,0,0.0,,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,Adquirência,3,0.0,0.0,51722855893.65,0.11201331855063958,51722855893.65,0,19,0,0.0,,19,51722855893.65,17474548000176;26142862000142;26286939000158;26287464000114;28169275000172;31739396000117;32527650000186;42085816000105;42085830000109;43705687000173;43722605000107;44124617000194;45019334000145;45598747000121;50473039000102;50857998000113;51983832000106;52256912000122;52271464000136,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,Industrial,4,48499678000.0,0.10503306106274782,48499678000.0,0.10503306106274782,0.0,120,120,0,0.0,,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,Cartao de credito,5,79828490545.93,0.1728801317414448,30455624762.63,0.06595605635562057,-49372865783.29999,45,29,16,49372865783.299995,17474548000176;26142862000142;26286939000158;26287464000114;28169275000172;31739396000117;32527650000186;42085816000105;42085830000109;43705687000173;43722605000107;44124617000194;45019334000145;45598747000121;50857998000113;51983832000106,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,Acoes judiciais,6,27321445956.05,0.05916853925142274,27321445956.05,0.05916853925142274,0.0,163,163,0,0.0,,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,Setor publico,7,25154517560.26,0.05447574268247205,25154517560.26,0.05447574268247205,0.0,117,117,0,0.0,,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,Servicos,8,26512740500.49,0.05741717072696345,24163748261.49,0.05233008859675204,-2348992239.0,131,130,1,2348992239.0,50473039000102,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,N/D,9,19324678589.27,0.04185038396099808,19323680717.920002,0.04184822292639415,-997871.3499984741,264,262,2,997871.35,52256912000122;52271464000136,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,Agronegocio,10,17304261397.34,0.03747487857532914,17304261397.34,0.03747487857532914,0.0,76,76,0,0.0,,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
2023-12,Imobiliario,11,1364757267.81,0.0029555790750964697,1364757267.81,0.0029555790750964697,0.0,16,16,0,0.0,,0,0.0,,33,19,0.5757575757575758,54218673000141;54218941000125;54219179000100;54248022000102;54979779000168;55471753000177;57609282000146;60356171000180;62393679000183;62626409000175;62626887000185;62627051000103;62627122000160;63572282000111,461756303294.11993,FIDCs.xlsx#Adquirência!A10 | FIDCs.xlsx#Adquirência!A11 | FIDCs.xlsx#Adquirência!A12 | FIDCs.xlsx#Adquirência!A13 | FIDCs.xlsx#Adquirência!A14 | FIDCs.xlsx#Adquirência!A15 | FIDCs.xlsx#Adquirência!A16 | FIDCs.xlsx#Adquirência!A4 | FIDCs.xlsx#Adquirência!A5 | FIDCs.xlsx#Adquirência!A6 | FIDCs.xlsx#Adquirência!A7 | FIDCs.xlsx#Adquirência!A8 | FIDCs.xlsx#Adquirência!A9 | brief_2026-07-21#Adquirência-SELLER | brief_2026-07-21#Adquirência-SELLER-2 | brief_2026-07-21#Adquirência-SELLER-3 | card_receivables_curation.csv#ACR-BEM | card_receivables_curation.csv#ACR-I | card_receivables_curation.csv#ACR-IV | card_receivables_curation.csv#CLUBCARD-VAREJO | card_receivables_curation.csv#EDENEMERALD-HEZ | card_receivables_curation.csv#EDENTOURMALINE-HAN | card_receivables_curation.csv#IUGU-I-UR | card_receivables_curation.csv#KIWIFY | card_receivables_curation.csv#LEO-MADEIRAS | card_receivables_curation.csv#LF-I | card_receivables_curation.csv#LF-III | card_receivables_curation.csv#PICPAY-I | card_receivables_curation.csv#SUMUP-SMART-I | card_receivables_curation.csv#SUMUP-SMART-II | card_receivables_curation.csv#SUMUP-SMART-III | card_receivables_curation.csv#SUMUP-SMART-IV | card_receivables_curation.csv#SUMUP-SOLO
