competencia,bank_group,is_total_5_banks,pl_brl,pl_brl_raw,pl_recovered_official,pl_display_suffix,pl_source_references,fundos_observados,fundos_curados,cobertura_fundos,raizes_cnpj_listadas,raizes_cnpj_observadas,raizes_cnpj_nao_observadas,cnpjs_nao_observados,source_references,publication_status
2023-12,BB,False,,,False,,,0,1,0.0,65534981,,65534981,65534981,FIDCs.xlsx#BB!A2:D2,partial_fixed_cohort
2023-12,BTG,False,31165235519.90001,31165235519.90001,False,,,21,32,0.65625,20403406;23798073;23954863;24194675;26471075;26570645;29225241;32774233;36335649;36335689;36335723;36669346;36672404;39863047;40750266;40752367;43508561;43721713;47410134;49999307;50906397;52049112;52242420;54134587;54871427;55521594;58328083;62083078;62084270;64157536;65473848;66737102,20403406;23798073;23954863;24194675;26471075;26570645;29225241;32774233;36335649;36335689;36335723;36669346;36672404;39863047;40750266;40752367;43721713;47410134;49999307;50906397;52242420,43508561;52049112;54134587;54871427;55521594;58328083;62083078;62084270;64157536;65473848;66737102,43508561;52049112;54134587;54871427;55521594;58328083;62083078;62084270;64157536;65473848;66737102,FIDCs.xlsx#BTG!A10:D10 | FIDCs.xlsx#BTG!A11:D11 | FIDCs.xlsx#BTG!A12:D12 | FIDCs.xlsx#BTG!A13:D13 | FIDCs.xlsx#BTG!A14:D14 | FIDCs.xlsx#BTG!A15:D15 | FIDCs.xlsx#BTG!A16:D16 | FIDCs.xlsx#BTG!A17:D17 | FIDCs.xlsx#BTG!A18:D18 | FIDCs.xlsx#BTG!A19:D19 | FIDCs.xlsx#BTG!A20:D20 | FIDCs.xlsx#BTG!A21:D21 | FIDCs.xlsx#BTG!A22:D22 | FIDCs.xlsx#BTG!A23:D23 | FIDCs.xlsx#BTG!A24:D24 | FIDCs.xlsx#BTG!A25:D25 | FIDCs.xlsx#BTG!A26:D26 | FIDCs.xlsx#BTG!A27:D27 | FIDCs.xlsx#BTG!A28:D28 | FIDCs.xlsx#BTG!A29:D29 | FIDCs.xlsx#BTG!A2:D2 | FIDCs.xlsx#BTG!A30:D30 | FIDCs.xlsx#BTG!A31:D31 | FIDCs.xlsx#BTG!A32:D32 | FIDCs.xlsx#BTG!A33:D33 | FIDCs.xlsx#BTG!A3:D3 | FIDCs.xlsx#BTG!A4:D4 | FIDCs.xlsx#BTG!A5:D5 | FIDCs.xlsx#BTG!A6:D6 | FIDCs.xlsx#BTG!A7:D7 | FIDCs.xlsx#BTG!A8:D8 | FIDCs.xlsx#BTG!A9:D9,partial_fixed_cohort
2023-12,Bradesco,False,640348623.1,640348623.1,False,,,1,1,1.0,43489824,43489824,,,FIDCs.xlsx#Bradesco!A2:C2,complete_fixed_cohort
2023-12,Itau,False,4362914167.5,4362914167.5,False,,,10,19,0.5263157894736842,08417544;26749095;29292312;42085830;44395252;45598747;48967719;48997793;50988212;52271464;54178902;55983705;57270666;61285603;62092802;62626887;62837773;63693909;63700113,08417544;26749095;29292312;42085830;44395252;45598747;48967719;48997793;50988212;52271464,54178902;55983705;57270666;61285603;62092802;62626887;62837773;63693909;63700113,54178902;55983705;57270666;61285603;62092802;62626887;62837773;63693909;63700113,FIDCs.xlsx#Itau!A10:C10 | FIDCs.xlsx#Itau!A11:C11 | FIDCs.xlsx#Itau!A12:C12 | FIDCs.xlsx#Itau!A13:C13 | FIDCs.xlsx#Itau!A14:C14 | FIDCs.xlsx#Itau!A15:C15 | FIDCs.xlsx#Itau!A16:C16 | FIDCs.xlsx#Itau!A17:C17 | FIDCs.xlsx#Itau!A18:C18 | FIDCs.xlsx#Itau!A19:C19 | FIDCs.xlsx#Itau!A20:C20 | FIDCs.xlsx#Itau!A2:C2 | FIDCs.xlsx#Itau!A3:C3 | FIDCs.xlsx#Itau!A4:C4 | FIDCs.xlsx#Itau!A5:C5 | FIDCs.xlsx#Itau!A6:C6 | FIDCs.xlsx#Itau!A7:C7 | FIDCs.xlsx#Itau!A8:C8 | FIDCs.xlsx#Itau!A9:C9,partial_fixed_cohort
2023-12,Santander,False,9341118916.7,9341118916.7,False,,,9,12,0.75,21126275;26405874;26405883;38612809;40132424;46450551;47228232;51326602;52115758;52651831;58238773;65411764,21126275;26405874;26405883;38612809;40132424;46450551;47228232;51326602;52115758,52651831;58238773;65411764,52651831;58238773;65411764,FIDCs.xlsx#Santander!A10:C10 | FIDCs.xlsx#Santander!A11:C11 | FIDCs.xlsx#Santander!A12:C12 | FIDCs.xlsx#Santander!A13:C13 | FIDCs.xlsx#Santander!A2:C2 | FIDCs.xlsx#Santander!A3:C3 | FIDCs.xlsx#Santander!A4:C4 | FIDCs.xlsx#Santander!A5:C5 | FIDCs.xlsx#Santander!A6:C6 | FIDCs.xlsx#Santander!A7:C7 | FIDCs.xlsx#Santander!A8:C8 | FIDCs.xlsx#Santander!A9:C9,partial_fixed_cohort
2023-12,Total 5 bancos,True,45509617227.20001,45509617227.20001,False,,,41,65,0.6307692307692307,08417544;20403406;21126275;23798073;23954863;24194675;26405874;26405883;26471075;26570645;26749095;29225241;29292312;32774233;36335649;36335689;36335723;36669346;36672404;38612809;39863047;40132424;40750266;40752367;42085830;43489824;43508561;43721713;44395252;45598747;46450551;47228232;47410134;48967719;48997793;49999307;50906397;50988212;51326602;52049112;52115758;52242420;52271464;52651831;54134587;54178902;54871427;55521594;55983705;57270666;58238773;58328083;61285603;62083078;62084270;62092802;62626887;62837773;63693909;63700113;64157536;65411764;65473848;65534981;66737102,08417544;20403406;21126275;23798073;23954863;24194675;26405874;26405883;26471075;26570645;26749095;29225241;29292312;32774233;36335649;36335689;36335723;36669346;36672404;38612809;39863047;40132424;40750266;40752367;42085830;43489824;43721713;44395252;45598747;46450551;47228232;47410134;48967719;48997793;49999307;50906397;50988212;51326602;52115758;52242420;52271464,43508561;52049112;52651831;54134587;54178902;54871427;55521594;55983705;57270666;58238773;58328083;61285603;62083078;62084270;62092802;62626887;62837773;63693909;63700113;64157536;65411764;65473848;65534981;66737102,43508561;52049112;52651831;54134587;54178902;54871427;55521594;55983705;57270666;58238773;58328083;61285603;62083078;62084270;62092802;62626887;62837773;63693909;63700113;64157536;65411764;65473848;65534981;66737102,FIDCs.xlsx#BB!A2:D2 | FIDCs.xlsx#BTG!A10:D10 | FIDCs.xlsx#BTG!A11:D11 | FIDCs.xlsx#BTG!A12:D12 | FIDCs.xlsx#BTG!A13:D13 | FIDCs.xlsx#BTG!A14:D14 | FIDCs.xlsx#BTG!A15:D15 | FIDCs.xlsx#BTG!A16:D16 | FIDCs.xlsx#BTG!A17:D17 | FIDCs.xlsx#BTG!A18:D18 | FIDCs.xlsx#BTG!A19:D19 | FIDCs.xlsx#BTG!A20:D20 | FIDCs.xlsx#BTG!A21:D21 | FIDCs.xlsx#BTG!A22:D22 | FIDCs.xlsx#BTG!A23:D23 | FIDCs.xlsx#BTG!A24:D24 | FIDCs.xlsx#BTG!A25:D25 | FIDCs.xlsx#BTG!A26:D26 | FIDCs.xlsx#BTG!A27:D27 | FIDCs.xlsx#BTG!A28:D28 | FIDCs.xlsx#BTG!A29:D29 | FIDCs.xlsx#BTG!A2:D2 | FIDCs.xlsx#BTG!A30:D30 | FIDCs.xlsx#BTG!A31:D31 | FIDCs.xlsx#BTG!A32:D32 | FIDCs.xlsx#BTG!A33:D33 | FIDCs.xlsx#BTG!A3:D3 | FIDCs.xlsx#BTG!A4:D4 | FIDCs.xlsx#BTG!A5:D5 | FIDCs.xlsx#BTG!A6:D6 | FIDCs.xlsx#BTG!A7:D7 | FIDCs.xlsx#BTG!A8:D8 | FIDCs.xlsx#BTG!A9:D9 | FIDCs.xlsx#Bradesco!A2:C2 | FIDCs.xlsx#Itau!A10:C10 | FIDCs.xlsx#Itau!A11:C11 | FIDCs.xlsx#Itau!A12:C12 | FIDCs.xlsx#Itau!A13:C13 | FIDCs.xlsx#Itau!A14:C14 | FIDCs.xlsx#Itau!A15:C15 | FIDCs.xlsx#Itau!A16:C16 | FIDCs.xlsx#Itau!A17:C17 | FIDCs.xlsx#Itau!A18:C18 | FIDCs.xlsx#Itau!A19:C19 | FIDCs.xlsx#Itau!A20:C20 | FIDCs.xlsx#Itau!A2:C2 | FIDCs.xlsx#Itau!A3:C3 | FIDCs.xlsx#Itau!A4:C4 | FIDCs.xlsx#Itau!A5:C5 | FIDCs.xlsx#Itau!A6:C6 | FIDCs.xlsx#Itau!A7:C7 | FIDCs.xlsx#Itau!A8:C8 | FIDCs.xlsx#Itau!A9:C9 | FIDCs.xlsx#Santander!A10:C10 | FIDCs.xlsx#Santander!A11:C11 | FIDCs.xlsx#Santander!A12:C12 | FIDCs.xlsx#Santander!A13:C13 | FIDCs.xlsx#Santander!A2:C2 | FIDCs.xlsx#Santander!A3:C3 | FIDCs.xlsx#Santander!A4:C4 | FIDCs.xlsx#Santander!A5:C5 | FIDCs.xlsx#Santander!A6:C6 | FIDCs.xlsx#Santander!A7:C7 | FIDCs.xlsx#Santander!A8:C8 | FIDCs.xlsx#Santander!A9:C9,partial_fixed_cohort
2024-12,BB,False,,,False,,,0,1,0.0,65534981,,65534981,65534981,FIDCs.xlsx#BB!A2:D2,partial_fixed_cohort
2024-12,BTG,False,33647493109.270004,33647493109.270004,False,,,26,32,0.8125,20403406;23798073;23954863;24194675;26471075;26570645;29225241;32774233;36335649;36335689;36335723;36669346;36672404;39863047;40750266;40752367;43508561;43721713;47410134;49999307;50906397;52049112;52242420;54134587;54871427;55521594;58328083;62083078;62084270;64157536;65473848;66737102,20403406;23798073;23954863;24194675;26471075;26570645;29225241;32774233;36335649;36335689;36335723;36669346;36672404;39863047;40750266;40752367;43721713;47410134;49999307;50906397;52049112;52242420;54134587;54871427;55521594;58328083,43508561;62083078;62084270;64157536;65473848;66737102,43508561;62083078;62084270;64157536;65473848;66737102,FIDCs.xlsx#BTG!A10:D10 | FIDCs.xlsx#BTG!A11:D11 | FIDCs.xlsx#BTG!A12:D12 | FIDCs.xlsx#BTG!A13:D13 | FIDCs.xlsx#BTG!A14:D14 | FIDCs.xlsx#BTG!A15:D15 | FIDCs.xlsx#BTG!A16:D16 | FIDCs.xlsx#BTG!A17:D17 | FIDCs.xlsx#BTG!A18:D18 | FIDCs.xlsx#BTG!A19:D19 | FIDCs.xlsx#BTG!A20:D20 | FIDCs.xlsx#BTG!A21:D21 | FIDCs.xlsx#BTG!A22:D22 | FIDCs.xlsx#BTG!A23:D23 | FIDCs.xlsx#BTG!A24:D24 | FIDCs.xlsx#BTG!A25:D25 | FIDCs.xlsx#BTG!A26:D26 | FIDCs.xlsx#BTG!A27:D27 | FIDCs.xlsx#BTG!A28:D28 | FIDCs.xlsx#BTG!A29:D29 | FIDCs.xlsx#BTG!A2:D2 | FIDCs.xlsx#BTG!A30:D30 | FIDCs.xlsx#BTG!A31:D31 | FIDCs.xlsx#BTG!A32:D32 | FIDCs.xlsx#BTG!A33:D33 | FIDCs.xlsx#BTG!A3:D3 | FIDCs.xlsx#BTG!A4:D4 | FIDCs.xlsx#BTG!A5:D5 | FIDCs.xlsx#BTG!A6:D6 | FIDCs.xlsx#BTG!A7:D7 | FIDCs.xlsx#BTG!A8:D8 | FIDCs.xlsx#BTG!A9:D9,partial_fixed_cohort
2024-12,Bradesco,False,1119495974.52,1119495974.52,False,,,1,1,1.0,43489824,43489824,,,FIDCs.xlsx#Bradesco!A2:C2,complete_fixed_cohort
2024-12,Itau,False,4969848994.01,4969848994.01,False,,,13,19,0.6842105263157895,08417544;26749095;29292312;42085830;44395252;45598747;48967719;48997793;50988212;52271464;54178902;55983705;57270666;61285603;62092802;62626887;62837773;63693909;63700113,08417544;26749095;29292312;42085830;44395252;45598747;48967719;48997793;50988212;52271464;54178902;55983705;57270666,61285603;62092802;62626887;62837773;63693909;63700113,61285603;62092802;62626887;62837773;63693909;63700113,FIDCs.xlsx#Itau!A10:C10 | FIDCs.xlsx#Itau!A11:C11 | FIDCs.xlsx#Itau!A12:C12 | FIDCs.xlsx#Itau!A13:C13 | FIDCs.xlsx#Itau!A14:C14 | FIDCs.xlsx#Itau!A15:C15 | FIDCs.xlsx#Itau!A16:C16 | FIDCs.xlsx#Itau!A17:C17 | FIDCs.xlsx#Itau!A18:C18 | FIDCs.xlsx#Itau!A19:C19 | FIDCs.xlsx#Itau!A20:C20 | FIDCs.xlsx#Itau!A2:C2 | FIDCs.xlsx#Itau!A3:C3 | FIDCs.xlsx#Itau!A4:C4 | FIDCs.xlsx#Itau!A5:C5 | FIDCs.xlsx#Itau!A6:C6 | FIDCs.xlsx#Itau!A7:C7 | FIDCs.xlsx#Itau!A8:C8 | FIDCs.xlsx#Itau!A9:C9,partial_fixed_cohort
