competencia_origem,competencia_destino,bridge_group,cnpj_14,cnpj,cnpj_fundo_14,cnpj_fundo,denominacao,reportava_origem,reportava_destino,pl_origem_brl,pl_destino_brl,delta_pl_brl,carteira_origem_brl,carteira_destino_brl,delta_carteira_brl,inad_bruta_origem_brl,inad_bruta_destino_brl,delta_inad_bruta_brl,inad_ajustada_origem_brl,inad_ajustada_destino_brl,delta_inad_ajustada_brl,excesso_origem_brl,excesso_destino_brl,delta_excesso_brl,contribuicao_abs
2024-06,2024-07,fundos continuantes,09194841000151,09.194.841/0001-51,09194841000151,09.194.841/0001-51,ATLÂNTICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,True,111811326.21,125594434.61,13783108.400000006,34207146.89,114165644.84,79958497.95,16722772507.86,103420318.29,-16619352189.57,34207146.89,103420318.29,69213171.4,16688565360.970001,0.0,-16688565360.970001,16688565360.970001
2024-06,2024-07,fundos continuantes,41970012000126,41.970.012/0001-26,41970012000126,41.970.012/0001-26,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,True,True,1897938963.85,1975511630.48,77572666.63000011,1699166068.2,1661338694.04,-37827374.160000086,2508828914.96,0.0,-2508828914.96,1699166068.2,0.0,-1699166068.2,809662846.76,0.0,-809662846.76,2508828914.96
2024-06,2024-07,fundos continuantes,15489383000180,15.489.383/0001-80,15489383000180,15.489.383/0001-80,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SAN MARINO,True,True,93593944.03,137086703.29,43492759.25999999,149950069.49,0.0,-149950069.49,1449818609.86,0.0,-1449818609.86,149950069.49,0.0,-149950069.49,1299868540.37,0.0,-1299868540.37,1449818609.86
2024-06,2024-07,fundos continuantes,20403406000122,20.403.406/0001-22,20403406000122,20.403.406/0001-22,SG II A FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,True,True,551913596.21,562739744.28,10826148.069999933,551818658.25,562294482.11,10475823.860000014,551818658.25,0.0,-551818658.25,551818658.25,0.0,-551818658.25,0.0,0.0,0.0,551818658.25
2024-06,2024-07,fundos continuantes,42299306000130,42.299.306/0001-30,42299306000130,42.299.306/0001-30,PRAT 12 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,27186137.82,27278274.0,92136.1799999997,19196664.95,1716409.79,-17480255.16,384735709.51,17045058.93,-367690650.58,19196664.95,1716409.79,-17480255.16,365539044.56,15328649.14,-350210395.42,367690650.58
2024-06,2024-07,fundos continuantes,52174102000127,52.174.102/0001-27,52174102000127,52.174.102/0001-27,BYX CONSIGNADO MULTICONVENIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,True,True,244240181.66,244138780.97,-101400.68999999762,234862641.47,233535155.71,-1327485.7599999905,490658.58,237675874.29,237185215.70999998,490658.58,233535155.71,233044497.13,0.0,4140718.5799999833,4140718.5799999833,237185215.70999998
2024-06,2024-07,fundos continuantes,48699902000194,48.699.902/0001-94,48699902000194,48.699.902/0001-94,COPERNICUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,True,True,449777486.33,449724085.04,-53401.28999996185,450000000.01,450000000.01,0.0,0.01,230351783.92,230351783.91,0.01,230351783.92,230351783.91,0.0,0.0,0.0,230351783.91
2024-06,2024-07,fundos continuantes,33254370000104,33.254.370/0001-04,33254370000104,33.254.370/0001-04,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,True,611823999.19,666650593.74,54826594.54999995,571129110.81,639935882.57,68806771.76000011,1413473297.87,1283515340.73,-129957957.13999987,571129110.81,639935882.57,68806771.76000011,842344187.06,643579458.16,-198764728.89999998,198764728.89999998
2024-06,2024-07,fundos continuantes,30366204000101,30.366.204/0001-01,30366204000101,30.366.204/0001-01,ITAPEVA XI MULTICARTEIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,True,477915684.32,519919144.14,42003459.81999999,381342276.64,515477827.36,134135550.72000003,381342276.64,515477827.36,134135550.72000003,381342276.64,515477827.36,134135550.72000003,0.0,0.0,0.0,134135550.72000003
2024-06,2024-07,fundos continuantes,41579637000161,41.579.637/0001-61,41579637000161,41.579.637/0001-61,MGW ATIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,True,41315158.63,169049084.49,127733925.86000001,41739827.46,172074608.03,130334780.57,37595410.64,171243681.77,133648271.13000001,37595410.64,171243681.77,133648271.13000001,0.0,0.0,0.0,133648271.13000001
2024-06,2024-07,fundos continuantes,50653785000170,50.653.785/0001-70,50653785000170,50.653.785/0001-70,COTRIBÁ FIAGRO,True,True,217277660.26,204259337.45,-13018322.810000002,116843852.18,114283667.99,-2560184.1900000125,114618045.03,26562341.55,-88055703.48,114618045.03,26562341.55,-88055703.48,0.0,0.0,0.0,88055703.48
2024-06,2024-07,fundos continuantes,28279473000199,28.279.473/0001-99,28279473000199,28.279.473/0001-99,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO-HONDA,True,True,1129648147.65,1162311466.6,32663318.94999981,850800520.38,775769831.73,-75030688.64999998,792020684.45,708353945.38,-83666739.07000005,792020684.45,708353945.38,-83666739.07000005,0.0,0.0,0.0,83666739.07000005
2024-06,2024-07,fundos continuantes,29226654000110,29.226.654/0001-10,29226654000110,29.226.654/0001-10,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,837735944.19,884761132.29,47025188.099999905,787365499.15,778849723.11,-8515776.039999962,1121863312.02,1193423692.62,71560380.5999999,787365499.15,778849723.11,-8515776.039999962,334497812.87,414573969.5099999,80076156.63999987,80076156.63999987
2024-06,2024-07,fundos continuantes,28086648000141,28.086.648/0001-41,28086648000141,28.086.648/0001-41,QG PRIM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,True,441346399.03,438875084.0,-2471315.0299999714,363026912.13,294173476.58,-68853435.55000001,280162904.72,209603720.23,-70559184.49000004,280162904.72,209603720.23,-70559184.49000004,0.0,0.0,0.0,70559184.49000004
2024-06,2024-07,fundos continuantes,44516049000177,44.516.049/0001-77,44516049000177,44.516.049/0001-77,ISAAC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO DE SERVIÇOS EDUCACIONAIS,True,True,183229396.37,183288307.07,58910.69999998808,156722135.16,35043727.46,-121678407.69999999,99335615.9,102581366.61,3245750.7099999934,99335615.9,35043727.46,-64291888.440000005,0.0,67537639.15,67537639.15,67537639.15
2024-06,2024-07,fundos continuantes,27954644000175,27.954.644/0001-75,27954644000175,27.954.644/0001-75,QG DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,True,657795399.16,657473778.92,-321620.24000000954,552025194.88,490931317.23,-61093877.649999976,413702160.75,349760914.54,-63941246.20999998,413702160.75,349760914.54,-63941246.20999998,0.0,0.0,0.0,63941246.20999998
2024-06,2024-07,fundos continuantes,47228232000165,47.228.232/0001-65,47228232000165,47.228.232/0001-65,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,1367610948.0,1429258567.62,61647619.619999886,1414671702.21,1494255989.96,79584287.75,93236263.2,157125847.66,63889584.45999999,93236263.2,157125847.66,63889584.45999999,0.0,0.0,0.0,63889584.45999999
2024-06,2024-07,fundos continuantes,37294908000165,37.294.908/0001-65,37294908000165,37.294.908/0001-65,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CCS ASSET II - RESPONSABILIDADE LIMITADA,True,True,48848449.1,65096251.55,16247802.449999996,182931859.07,240050500.8,57118641.73000002,279294642.18,283885562.68,4590920.5,182931859.07,240050500.8,57118641.73000002,96362783.11000001,43835061.879999995,-52527721.23000002,57118641.73000002
2024-06,2024-07,fundos continuantes,47936340000192,47.936.340/0001-92,47936340000192,47.936.340/0001-92,FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS OPEA AGRO INSUMOS RESPONSABILIDADE LIMI,True,True,222515299.5,93843881.1,-128671418.4,120266242.78,52803332.89,-67462909.89,90122108.07,35057833.43,-55064274.63999999,90122108.07,35057833.43,-55064274.63999999,0.0,0.0,0.0,55064274.63999999
2024-06,2024-07,fundos continuantes,35818864000108,35.818.864/0001-08,35818864000108,35.818.864/0001-08,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NUTRIEN I,True,True,1544852779.03,1417929649.92,-126923129.1099999,611173195.83,486957486.5,-124215709.33000004,230039322.75,175053352.8,-54985969.94999999,230039322.75,175053352.8,-54985969.94999999,0.0,0.0,0.0,54985969.94999999
2024-06,2024-07,fundos continuantes,39273569000166,39.273.569/0001-66,39273569000166,39.273.569/0001-66,REAL CRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,100037215.65,105989840.28,5952624.629999995,157166820.10000002,120049632.33,-37117187.770000026,129458781.88,78121966.87,-51336815.00999999,129458781.88,78121966.87,-51336815.00999999,0.0,0.0,0.0,51336815.00999999
2024-06,2024-07,fundos continuantes,29800237000139,29.800.237/0001-39,29800237000139,29.800.237/0001-39,ROOT GENERAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,127108985.93,112675709.09,-14433276.840000004,87158939.13,53301520.21,-33857418.919999994,71947365.17,27821345.23,-44126019.94,71947365.17,27821345.23,-44126019.94,0.0,0.0,0.0,44126019.94
