competencia,fundos_presentes,fundos_incluidos,pl_presente_brl,pl_incluido_brl,carteira_incluida_brl,inadimplencia_ajustada_brl,inadimplencia_sobre_pl,inadimplencia_sobre_carteira,fundos_inad_supera_carteira_excluidos,fundos_campos_ausentes_excluidos,fundos_coorte,pl_coorte_referencia_brl,cobertura_fundos_coorte,cobertura_pl_referencia_coorte,fundos_inadimplencia_positiva,pl_inadimplencia_positiva_brl,carteira_inadimplencia_positiva_brl,inadimplencia_positiva_brl,inadimplencia_sobre_pl_ex_zeros,inadimplencia_sobre_carteira_ex_zeros,variacao_inadimplencia_sobre_pl_pp,variacao_inadimplencia_sobre_carteira_pp,regra,fonte
2013-01,44,41,20492886273.73,20471456934.5,19112462353.16,72822333.08,0.003557261865288858,0.0038102015184851242,3,0,2066,608713543906.14,0.01984511132623427,0.12856262446724348,12,2880662568.0,2203826585.08,72822333.08,0.025279716509997014,0.03304358590326948,0.021722454644708157,0.029233384384784355,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
2013-02,44,41,21656171115.44,21634412472.25,19898714985.7,66199030.97,0.003059895019331451,0.0033267992942043354,3,0,2066,608713543906.14,0.01984511132623427,0.12856262446724348,11,2878048540.5499997,2328889879.73,66199030.97,0.02300136013597229,0.028425144334293207,0.01994146511664084,0.02509834504008887,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
2013-03,45,42,22203810193.16,22183017554.93,21144812587.12,59730947.87,0.0026926430420069368,0.0028248511366037875,3,0,2066,608713543906.14,0.02032913843175218,0.12948240437356395,12,3487605157.46,2981651593.72,59730947.87,0.017126637097159718,0.020032839516127984,0.01443399405515278,0.017207988379524197,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
2013-04,45,42,23866251937.19,23840129801.0,21842704070.5,140152620.28,0.005878853070427542,0.006416450079973627,3,0,2066,608713543906.14,0.02032913843175218,0.12948240437356395,12,2963456970.16,2615943077.78,140152620.28,0.047293624200129024,0.05357632643862398,0.04141477112970148,0.04715987635865035,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
2013-05,45,42,36473268960.89,36446575182.64,26966773989.12,138138075.06,0.0037901524181014694,0.005122528750221777,3,0,2066,608713543906.14,0.02032913843175218,0.12948240437356395,12,2911327686.1,2586290806.27,138138075.06,0.04744848054017893,0.053411656077154555,0.04365832812207746,0.04828912732693278,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
2013-06,45,43,46972353899.59,46962438271.13,29566084513.23,139212972.16000003,0.002964347195013099,0.004708535961118088,2,0,2066,608713543906.14,0.020813165537270088,0.12959081959448465,12,2939792144.79,2622950385.1,139212972.16000003,0.047354699007111103,0.05307495442949163,0.044390351812098,0.04836641846837354,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
2013-07,45,42,43883053720.58,43853691597.29,36502726656.81,148632875.68,0.003389289938117433,0.004071829402702191,3,0,2066,608713543906.14,0.02032913843175218,0.12948240437356395,13,3137410270.92,2759197002.37,148632875.68,0.047374382960892,0.05386816365498095,0.04398509302277456,0.04979633425227876,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
2013-08,46,43,38151098393.49,38120319381.63,36931900762.56,145139195.54000002,0.0038073971544409966,0.0039299140456679664,3,0,2066,608713543906.14,0.020813165537270088,0.1298827517273721,12,3014727505.0099998,2695308968.6,145139195.54000002,0.04814338785140669,0.053848815564691406,0.04433599069696569,0.04991890151902344,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
2013-09,47,44,36257931297.54,36227273497.38,35636000003.51,145050375.07000002,0.004003899854083423,0.004070332670774305,3,0,2066,608713543906.14,0.021297192642787996,0.13005026559038832,12,3004283473.4100003,2717693770.85,145050375.07000002,0.04828118796172092,0.053372597246169245,0.0442772881076375,0.04930226457539494,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
2013-10,47,44,33156020989.53,33125445457.34,31782124725.37,152093152.52,0.004591429652345971,0.004785493538718387,3,0,2066,608713543906.14,0.021297192642787996,0.13005026559038832,12,3090951519.7799997,2753268280.02,152093152.52,0.049205932719004704,0.05524094895645084,0.044614503066658734,0.050455455417732456,"coorte e subtipo congelados em 2026-06; em cada competência: ex-FIC, PL positivo, carteira e inadimplência reportadas, inadimplência <= carteira; sensibilidade ex-zeros remove fundos com inadimplência reportada igual a zero do numerador e dos denominadores de PL e carteira","CVM, Informe Mensal FIDC, Tabelas I, II e IV"
