competencia,papel,tipo_anbima,foco_anbima,foco_order,participante_bucket,bucket_kind,stack_order,pl_brl,denominador_pl_subtipo_brl,denominador_publicacao_pl_positivo_brl,share_subtipo,pl_identificado_brl,cobertura_prestador_pl,fundos_subtipo,fundos_pl_negativo,pl_negativo_brl,pl_negativo_share_denominador,quality_note,publication_status,fechamento_100_pct
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,QI Tech,Top 10 geral,1,52309608847.79001,88335194511.9,88338526638.34999,0.5921494373790143,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,BTG Pactual,Top 10 geral,2,1233043285.9,88335194511.9,88338526638.34999,0.013958159965107509,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,Oliveira Trust,Top 10 geral,3,833848468.1600001,88335194511.9,88338526638.34999,0.009439239026180513,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,Bradesco,Top 10 geral,4,973969605.99,88335194511.9,88338526638.34999,0.011025422803091841,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,Daycoval,Top 10 geral,5,4543300109.32,88335194511.9,88338526638.34999,0.05143056243081643,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,Genial,Top 10 geral,6,123754317.82,88335194511.9,88338526638.34999,0.0014009099147265505,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,Itaú,Top 10 geral,7,808540098.3,88335194511.9,88338526638.34999,0.009152746022243394,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,Finaxis,Top 10 geral,8,2647874044.01,88335194511.9,88338526638.34999,0.029974170328311667,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,BRL Trust,Top 10 geral,9,826035865.4499998,88335194511.9,88338526638.34999,0.009350799666737896,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
2026-06,administrador,Fomento Mercantil,Fomento Mercantil,1,Hemera,Top 10 geral,10,3544421716.9400005,88335194511.9,88338526638.34999,0.040123169944304655,88338526638.34999,1.0,589,3,-3332126.45,-3.772139143873302e-05,"3 fundo(s) com PL negativo, total de R$ -3,332,126.45; excluído(s) da normalização percentual sobre PL positivo",publicável_com_nota_pl_negativo,1.0000000000000002
