competencia,papel,rank_top10_geral,participante,pl_brl,fundos
2026-06,administrador,1,QI Tech,124125926473.23,706
2026-06,administrador,2,BTG Pactual,123348918550.75,298
2026-06,administrador,3,Oliveira Trust,98701869248.54,155
2026-06,administrador,4,Banco do Brasil,61314429105.2,3
2026-06,administrador,5,Daycoval,58079941119.310005,368
2026-06,administrador,6,Bradesco,51001754351.07,43
2026-06,administrador,7,Genial,50543366234.0,133
2026-06,administrador,8,Itaú,28577477955.88,37
2026-06,administrador,9,Finaxis,22407618458.37,80
2026-06,administrador,10,BRL Trust,21717617165.44,131
2026-06,gestor,1,BTG Pactual,79119228384.94,75
2026-06,gestor,2,Oliveira Trust,76518271731.95,48
2026-06,gestor,3,Banco do Brasil,61306056618.36,2
2026-06,gestor,4,Bradesco,40329196504.02,30
2026-06,gestor,5,Genial,26891086880.550003,48
2026-06,gestor,6,Tercon Investimentos,22145863461.37,201
2026-06,gestor,7,Itaú,18875169440.44,24
2026-06,gestor,8,Solis Investimentos,16125912612.119999,90
2026-06,gestor,9,XP,15143819452.86,36
2026-06,gestor,10,Integral Investimentos,14952034155.359999,21
2026-06,custodiante,1,BTG Pactual,122702070788.68001,297
2026-06,custodiante,2,QI Tech,122321238342.6,682
2026-06,custodiante,3,Oliveira Trust,116234108786.03,198
2026-06,custodiante,4,Daycoval,64389950860.32001,446
2026-06,custodiante,5,Banco do Brasil,61254971563.01,1
2026-06,custodiante,6,Bradesco,49658130944.34,44
2026-06,custodiante,7,Genial,41210367862.009995,119
2026-06,custodiante,8,REAG,25148795168.550003,68
2026-06,custodiante,9,Finaxis,22407618458.37,80
2026-06,custodiante,10,Itaú,21926715321.429996,31
