grupo_economico,pl_mono_brl,fundos_mono,maior_fundo,maior_fundo_cnpj,maior_fundo_pl_brl,maior_fundo_share,top3_share,top5_share,top10_share,hhi_fundos,fundos_top20,pl_top20_brl,rank_pl_mono
Oliveira Trust,74797938862.38,48,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,26.287.464/0001-14,40658253334.57,0.5435745149258286,0.6333356202910837,0.710337800814494,0.8450829856146213,0.3077124375572504,1,40658253334.57,1
BTG Pactual,67663773185.11,73,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52.242.420/0001-88,7919216190.97,0.11703775622008458,0.3463248230736677,0.5191676487794565,0.7405597382702113,0.0681914419305684,5,35128842032.060005,2
Banco do Brasil,60841973938.55,1,FIDC DO SISTEMA PETROBRAS,09.195.235/0001-50,60841973938.55,1.0,1.0,1.0,1.0,1.0,1,60841973938.55,3
Bradesco,39360522862.32,28,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,9984886332.21,0.2536776853075947,0.5102300479002394,0.6267328122583273,0.8479788790512194,0.11903649197404108,2,16450598730.39,4
Genial,26685231072.42,44,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,6702700848.65,0.2511764215366846,0.5134925160593123,0.63139182231578,0.8287823711063249,0.11805851653915124,2,11266861302.59,5
Itaú,18392654792.820004,25,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53.286.499/0001-01,8615892918.29,0.4684420501195626,0.5867113548041247,0.6653694103973155,0.8107400957610053,0.23720167601118575,1,8615892918.29,6
Vert,11436843818.849998,29,ER - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,59.356.753/0001-87,2473695175.65,0.21629176850110524,0.4414291054039806,0.6151078809667068,0.8378999803027464,0.10153629052620565,0,,7
Daycoval,9964694248.779999,34,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,34.197.588/0001-37,3923226340.78,0.39371266622258183,0.7725300379680479,0.810097318778077,0.8849682109934945,0.28502812020311313,1,3923226340.78,8
BRL Trust,5278360276.42,17,FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,26.405.883/0001-03,2621845896.29,0.4967159797717035,0.7224586111648298,0.8623337665437183,0.9742672102192838,0.2881675806356652,0,,9
QI Tech,4777445732.2,13,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,62.393.829/0001-59,3086961052.23,0.6461530334973503,0.940276797141428,0.9766440406349489,1.0,0.4621624877749332,0,,10
Trustee,4710855558.01,7,GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,53.029.409/0001-05,2965753577.05,0.6295573151266007,0.9757727622206085,0.9950578720060357,1.0,0.47589964675226565,0,,11
Oslo Capital,1205729272.87,4,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS NPL II,29.292.312/0001-06,1092847460.34,0.9063788073575528,0.9983339132463639,1.0,1.0,0.8265315294036272,0,,12
Br Capital,640384800.38,1,RIO FORMOSO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL NP,21.838.483/0001-78,640384800.38,1.0,1.0,1.0,1.0,1.0,0,,13
Vórtx,205508571.91,3,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS INCLUSÃO CREDIÁRIA RESPONSABILIDADE LIMITADA,63.066.147/0001-02,128113082.5,0.6233953226832094,1.0,1.0,1.0,0.5294589832510337,0,,14
Planner Corretora De Valores,140627122.05,2,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RIOJA,29.284.754/0001-00,119104081.41,0.8469495761113031,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.7407480167276257,0,,15
Merito,3199595.12,1,INSOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,55.626.024/0001-42,3199595.12,1.0,1.0,1.0,1.0,1.0,0,,16
BNY Mellon,2452556.31,1,FIDC MULTISETORIAL MAXIMUM,08.845.618/0001-64,2452556.31,1.0,1.0,1.0,1.0,1.0,0,,17
