competencia,papel,participante,rank_independente,rank_geral,pl_brl,share_pl_total,fundos,denominador_pl_brl,fundos_universo,fonte_prestador,ownership_status,ownership_source_url,ownership_as_of_date,ownership_notes,latest_pl_brl,latest_rank_independente,selected_latest_top_n,ordem_slide
2024-12,administrador,QI Tech,1,1,82097710596.07,0.15572652036576398,672,527191581775.81006,2732,Informe Mensal da competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",116974394275.95,1,True,1
2025-12,administrador,QI Tech,1,1,111634213354.70001,0.16565125359939037,683,673911068760.61,3285,Informe Mensal da competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",116974394275.95,1,True,1
2026-06,administrador,QI Tech,1,1,116974394275.95,0.1627785671543324,675,718610541429.85,3472,Informe Mensal da competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",116974394275.95,1,True,1
2024-12,administrador,Oliveira Trust,2,2,61953768270.49,0.11751661144095438,126,527191581775.81006,2732,Informe Mensal da competência,independent_no_bank_parent,https://ri.oliveiratrust.com.br/a-companhia/quem-somos/,2026-07-20,Grupo fiduciário independente auditado para o ranking.,56871360076.909996,2,True,2
2025-12,administrador,Oliveira Trust,3,4,48466840274.490005,0.07191874791970013,141,673911068760.61,3285,Informe Mensal da competência,independent_no_bank_parent,https://ri.oliveiratrust.com.br/a-companhia/quem-somos/,2026-07-20,Grupo fiduciário independente auditado para o ranking.,56871360076.909996,2,True,2
2026-06,administrador,Oliveira Trust,2,3,56871360076.909996,0.07914072616267308,153,718610541429.85,3472,Informe Mensal da competência,independent_no_bank_parent,https://ri.oliveiratrust.com.br/a-companhia/quem-somos/,2026-07-20,Grupo fiduciário independente auditado para o ranking.,56871360076.909996,2,True,2
2024-12,administrador,Finaxis,4,8,18245845272.53,0.03460951559785927,78,527191581775.81006,2732,Informe Mensal da competência,independent_no_bank_parent,https://www.finaxis.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,22307727868.670002,3,True,3
2025-12,administrador,Finaxis,5,10,20639991228.37,0.030627173502772425,77,673911068760.61,3285,Informe Mensal da competência,independent_no_bank_parent,https://www.finaxis.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,22307727868.670002,3,True,3
2026-06,administrador,Finaxis,3,8,22307727868.670002,0.031042861999050788,76,718610541429.85,3472,Informe Mensal da competência,independent_no_bank_parent,https://www.finaxis.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,22307727868.670002,3,True,3
2024-12,administrador,BRL Trust,5,9,17020388116.680002,0.032285014983258926,108,527191581775.81006,2732,Informe Mensal da competência,independent_no_bank_parent,https://www.internal.brltrust.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21260607270.129997,4,True,4
2025-12,administrador,BRL Trust,4,9,21695845328.35,0.032193929338853025,113,673911068760.61,3285,Informe Mensal da competência,independent_no_bank_parent,https://www.internal.brltrust.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21260607270.129997,4,True,4
2026-06,administrador,BRL Trust,4,9,21260607270.129997,0.029585715828530517,126,718610541429.85,3472,Informe Mensal da competência,independent_no_bank_parent,https://www.internal.brltrust.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21260607270.129997,4,True,4
2024-12,administrador,Hemera,6,14,10250709719.45,0.019443993557183067,76,527191581775.81006,2732,Informe Mensal da competência,independent_no_bank_parent,https://hemeradtvm.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21009435735.36,5,True,5
2025-12,administrador,Hemera,6,11,17310381715.05,0.02568644813459664,105,673911068760.61,3285,Informe Mensal da competência,independent_no_bank_parent,https://hemeradtvm.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21009435735.36,5,True,5
2026-06,administrador,Hemera,5,10,21009435735.36,0.029236191962278526,113,718610541429.85,3472,Informe Mensal da competência,independent_no_bank_parent,https://hemeradtvm.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21009435735.36,5,True,5
2024-12,administrador,CBSF,3,3,59010032307.71,0.11193280459626953,203,527191581775.81006,2732,Informe Mensal da competência,independent_under_extrajudicial_liquidation,https://www.cbsf.com.br/,2026-07-20,Nova denominação da REAG Trust DTVM; independente no recorte societário e em liquidação extrajudicial desde janeiro de 2026.,18585138089.320004,6,True,6
2025-12,administrador,CBSF,2,2,66196922441.66,0.09822797919524126,137,673911068760.61,3285,Informe Mensal da competência,independent_under_extrajudicial_liquidation,https://www.cbsf.com.br/,2026-07-20,Nova denominação da REAG Trust DTVM; independente no recorte societário e em liquidação extrajudicial desde janeiro de 2026.,18585138089.320004,6,True,6
2026-06,administrador,CBSF,6,11,18585138089.320004,0.025862601531478183,57,718610541429.85,3472,Informe Mensal da competência,independent_under_extrajudicial_liquidation,https://www.cbsf.com.br/,2026-07-20,Nova denominação da REAG Trust DTVM; independente no recorte societário e em liquidação extrajudicial desde janeiro de 2026.,18585138089.320004,6,True,6
2024-12,administrador,Limine Trust,7,23,4579954693.580001,0.00868745794110127,79,527191581775.81006,2732,Informe Mensal da competência,independent_no_bank_parent,https://www.anbima.com.br/pt_br/institucional/perfil-da-instituicao/instituicao/4f017770-cb63-4549-9f8d-efb88b6daf58/perfil/limine-trust-distribuidora-de-titulos-e-valores-mobiliarios-ltda.htm,2026-07-20,DTVM privada nacional sem banco controlador identificado; independente auditada para o ranking.,12846156931.69,7,False,
2025-12,administrador,Limine Trust,7,16,11173565190.61,0.01658017757618866,136,673911068760.61,3285,Informe Mensal da competência,independent_no_bank_parent,https://www.anbima.com.br/pt_br/institucional/perfil-da-instituicao/instituicao/4f017770-cb63-4549-9f8d-efb88b6daf58/perfil/limine-trust-distribuidora-de-titulos-e-valores-mobiliarios-ltda.htm,2026-07-20,DTVM privada nacional sem banco controlador identificado; independente auditada para o ranking.,12846156931.69,7,False,
2026-06,administrador,Limine Trust,7,16,12846156931.69,0.017876382534174153,151,718610541429.85,3472,Informe Mensal da competência,independent_no_bank_parent,https://www.anbima.com.br/pt_br/institucional/perfil-da-instituicao/instituicao/4f017770-cb63-4549-9f8d-efb88b6daf58/perfil/limine-trust-distribuidora-de-titulos-e-valores-mobiliarios-ltda.htm,2026-07-20,DTVM privada nacional sem banco controlador identificado; independente auditada para o ranking.,12846156931.69,7,False,
2025-12,administrador,Integral Investimentos,8,39,388813505.61,0.0005769507634368835,3,673911068760.61,3285,Informe Mensal da competência,independent_no_bank_parent,https://integralinvest.com.br/,2026-07-20,Gestora independente; Integral Access e Integral Investimentos devem compartilhar o grupo quando o nome jurídico corresponder ao Integral Group.,914500052.52,8,False,
2026-06,administrador,Integral Investimentos,8,36,914500052.52,0.0012725948198594197,4,718610541429.85,3472,Informe Mensal da competência,independent_no_bank_parent,https://integralinvest.com.br/,2026-07-20,Gestora independente; Integral Access e Integral Investimentos devem compartilhar o grupo quando o nome jurídico corresponder ao Integral Group.,914500052.52,8,False,
2024-12,custodiante,QI Tech,1,1,73469387365.99,0.1393599403057864,543,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",115312440225.41,1,True,1
2025-12,custodiante,QI Tech,1,1,105342426763.47,0.15631502678417983,621,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",115312440225.41,1,True,1
