papel,grupo_origem,grupo_destino,fundos,pl_origem_brl,pl_destino_brl,pl_comparavel_brl,share_pl_comparavel,competencia_origem,competencia_destino
administrador,Oliveira Trust,Bradesco,2,12616959055.86,6703117687.38,6703117687.38,0.011390055984544975,2024-12,2026-05
administrador,CBSF,Banco Master,6,2850463025.36,5209980443.23,5209980443.23,0.008852890803110561,2024-12,2026-05
administrador,CBSF,Planner Corretora De Valores,36,4068631960.12,4115147378.72,4115147378.72,0.006992531119738512,2024-12,2026-05
administrador,Finvest,BTG Pactual,1,1175931482.58,2978926368.29,2978926368.29,0.00506184430754376,2024-12,2026-05
administrador,Trustee,Hemera,2,828732474.3399999,2696264128.95,2696264128.95,0.004581539637246698,2024-12,2026-05
administrador,CBSF,Id Corretora De Titulos E Valores Mobiliarios,13,2266747714.08,2620908405.61,2620908405.61,0.004453493860993296,2024-12,2026-05
administrador,Banvox,Daycoval,15,3232537960.14,2448863574.17,2448863574.17,0.004161152244249411,2024-12,2026-05
administrador,Banvox,QI Tech,7,1645417442.1100001,2226268038.02,2226268038.02,0.0037829139770873,2024-12,2026-05
administrador,Trustee,Planner Corretora De Valores,8,1282722380.38,1732913822.09,1732913822.09,0.002944597778308105,2024-12,2026-05
administrador,CBSF,BRL Trust,7,977358496.88,1443846119.55,1443846119.55,0.0024534088317895025,2024-12,2026-05
administrador,Oliveira Trust,Vert,1,184795140.95,1369294417.41,1369294417.41,0.002326729262562124,2024-12,2026-05
administrador,QI Tech,BTG Pactual,5,1420636286.55,1337167686.65,1337167686.65,0.00227213895413807,2024-12,2026-05
administrador,Banco Master,Limine Trust,9,960859374.4200001,1195173115.47,1195173115.47,0.0020308592704639185,2024-12,2026-05
administrador,Planner Corretora De Valores,Qore,2,17400067.94,1193066404.23,1193066404.23,0.00202727950950999,2024-12,2026-05
administrador,Sefer Investimentos,Qore,1,84146025.61,993726298.14,993726298.14,0.0016885572799115289,2024-12,2026-05
administrador,QI Tech,Vórtx,4,635798322.5,971420032.32,971420032.32,0.0016506540789914138,2024-12,2026-05
administrador,Banco Master,Qore,15,1046042036.05,967972247.12,967972247.12,0.0016447955414746669,2024-12,2026-05
administrador,Finaxis,Hemera,4,517276768.46,895188933.04,895188933.04,0.001521120848477303,2024-12,2026-05
administrador,Banvox,Oslo Capital,5,864923271.06,872616076.74,872616076.74,0.001482764652304268,2024-12,2026-05
administrador,Daycoval,Itaú,2,833729331.5600001,815497297.88,815497297.88,0.0013857074142657494,2024-12,2026-05
administrador,Finvest,CBSF,1,724304597.36,802825634.81,802825634.81,0.0013641755005330807,2024-12,2026-05
administrador,CBSF,Qore,5,719030016.64,727773177.56,727773177.56,0.0012366450393769828,2024-12,2026-05
administrador,Banvox,Limine Trust,9,491025865.15,687274034.39,687274034.39,0.001167828179887723,2024-12,2026-05
administrador,QI Tech,Limine Trust,7,412688243.52,615619539.48,615619539.48,0.0010460715963645424,2024-12,2026-05
administrador,CBSF,Daycoval,3,517101300.16999996,590665499.06,590665499.06,0.0010036692500713367,2024-12,2026-05
administrador,Trustee,Actual,9,378068342.54,579104457.22,579104457.22,0.0009840245235517378,2024-12,2026-05
administrador,Banco Master,Catalise,4,178743909.97,555853114.4300001,555853114.4300001,0.0009445154311494739,2024-12,2026-05
administrador,QI Tech,Daycoval,4,249211243.26,551908425.71,551908425.71,0.0009378125463937738,2024-12,2026-05
administrador,QI Tech,BRL Trust,4,537510821.15,551497529.53,551497529.53,0.0009371143443462627,2024-12,2026-05
administrador,Id Corretora De Titulos E Valores Mobiliarios,Daycoval,4,141056805.12,527880275.72999996,527880275.72999996,0.0008969834894920119,2024-12,2026-05
administrador,BRL Trust,Vert,3,335606891.71999997,521047111.45,521047111.45,0.0008853724560400223,2024-12,2026-05
administrador,BTG Pactual,Limine Trust,1,350880056.36,517459019.09,517459019.09,0.0008792755061184863,2024-12,2026-05
administrador,Id Corretora De Titulos E Valores Mobiliarios,Vórtx,2,178445706.38000003,507833936.81,507833936.81,0.0008629203962818422,2024-12,2026-05
administrador,Trustee,Limine Trust,1,317432470.85,448714052.03,448714052.03,0.0007624628437146505,2024-12,2026-05
administrador,BTG Pactual,Finaxis,1,361567223.1,441710144.02,441710144.02,0.0007505616795004677,2024-12,2026-05
administrador,Banco Master,Id Corretora De Titulos E Valores Mobiliarios,4,157401221.22,373092709.92,373092709.92,0.0006339657233551256,2024-12,2026-05
administrador,Genial,Vert,1,516414889.23,350024576.35,350024576.35,0.000594767943295865,2024-12,2026-05
administrador,Banvox,BTG Pactual,1,99868782.02,340084676.34,340084676.34,0.0005778778896111695,2024-12,2026-05
administrador,Trustee,Fidd,2,194604869.51,321996114.21,321996114.21,0.0005471414853065705,2024-12,2026-05
administrador,Banco Master,QI Tech,3,436568481.73,321077353.32,321077353.32,0.0005455803105724297,2024-12,2026-05
administrador,Banco Master,Daycoval,3,219212837.65,314582693.87,314582693.87,0.0005345444705072424,2024-12,2026-05
administrador,QI Tech,Fidd,3,601321725.84,299557635.13,299557635.13,0.0005090136252795246,2024-12,2026-05
administrador,Hemera,Fidd,1,2113160.68,295657288.07,295657288.07,0.0005023860866557891,2024-12,2026-05
administrador,QI Tech,Oliveira Trust,2,215785390.18,294490182.59,294490182.59,0.0005004029204073287,2024-12,2026-05
administrador,Daycoval,BTG Pactual,1,50635911.01,294336482.85,294336482.85,0.0005001417510940247,2024-12,2026-05
administrador,Daycoval,Hemera,1,118047950.57,277862476.99,277862476.99,0.0004721488293244438,2024-12,2026-05
administrador,QI Tech,Vert,1,79065495.2,251954761.71,251954761.71,0.0004281259818625203,2024-12,2026-05
administrador,Banvox,Oliveira Trust,2,165702657.82,251220294.95,251220294.95,0.0004268779629696195,2024-12,2026-05
administrador,BRL Trust,BTG Pactual,1,234442952.61,250733172.57,250733172.57,0.00042605023601653756,2024-12,2026-05
administrador,Trustee,Oliveira Trust,1,260546066.46,246569348.75,246569348.75,0.0004189749930279098,2024-12,2026-05
administrador,QI Tech,Wnt Capital,4,601769446.4100001,242491447.95999998,242491447.95999998,0.0004120457519696829,2024-12,2026-05
administrador,QI Tech,Genial,3,64494303.61,240700625.89999998,240700625.89999998,0.0004090027554905728,2024-12,2026-05
administrador,Trustee,Catalise,1,122039931.76,236726720.82,236726720.82,0.0004022502257798556,2024-12,2026-05
administrador,CBSF,Finvest,2,25931116.42,205186092.60000002,205186092.60000002,0.00034865583314523424,2024-12,2026-05
administrador,Banco Master,Genial,1,207816895.87,203220393.54,203220393.54,0.00034531568257853293,2024-12,2026-05
administrador,QI Tech,Planner Corretora De Valores,4,172959426.1,195413761.64000002,195413761.64000002,0.00033205051575039554,2024-12,2026-05
administrador,Catalise,Daycoval,1,34658646.87,188906800.74,188906800.74,0.00032099377284406386,2024-12,2026-05
administrador,QI Tech,Baru,3,148743133.68,185873794.63,185873794.63,0.0003158400352840912,2024-12,2026-05
administrador,Finaxis,Vórtx,1,206642789.51,183551838.89,183551838.89,0.0003118945270734823,2024-12,2026-05
administrador,Maf,BTG Pactual,2,135256864.29999998,182635628.56,182635628.56,0.00031033768629594894,2024-12,2026-05
administrador,Limine Trust,Integral Access,1,38886161.43,181944777.56,181944777.56,0.00030916378007290985,2024-12,2026-05
administrador,Banco Master,Fidd,7,129637773.35,180491770.73,180491770.73,0.0003066948052001003,2024-12,2026-05
administrador,Azumi,Monetar,3,164945345.82,178709603.66,178709603.66,0.000303666515432888,2024-12,2026-05
