competencia,veiculos_total,fundos_total,veiculos_com_carteira_positiva,veiculos_com_campos_reportados,veiculos_incluidos_metrica,cobertura_quantidade,pl_total_brl,pl_coberto_brl,cobertura_pl,carteira_positiva_total_brl,carteira_coberta_brl,cobertura_carteira,casos_inad_supera_carteira,casos_inad_supera_carteira_share_n,casos_inad_supera_carteira_share_veiculos_total,casos_inad_supera_carteira_com_carteira_positiva,casos_inad_supera_carteira_share_carteira_positiva,casos_inad_supera_carteira_pl_brl,casos_inad_supera_carteira_share_pl,casos_inad_supera_carteira_dc_brl,casos_inad_supera_carteira_share_dc,inadimplencia_bruta_brl,inadimplencia_ajustada_brl,excesso_removido_brl,excesso_top1_share,excesso_top5_share,excesso_top10_share,inadimplencia_bruta_pct,inadimplencia_ajustada_pct,inadimplencia_ajustada_ex_np_pct,sensibilidade_ex_casos_acima_carteira_pct,veiculos_com_aging_ex360,cobertura_carteira_aging_ex360,aging_inadimplente_total_brl,aging_gap_vs_inadimplencia_reportada_brl,aging_reconciliacao_ratio,aging_publication_status,inadimplencia_ex_360d_publicavel,inadimplencia_ex_360d_pct_sobre_cobertura,inadimplencia_ex_360d_ajustada_pct_sobre_cobertura,casos_carteira_negativa,casos_inadimplencia_negativa,presenca_campo_exata,veiculos_com_presenca_campo_exata,cobertura_presenca_campo_exata_n,cobertura_presenca_campo_exata_pl,cobertura_presenca_campo_exata_carteira,qualidade_cobertura
2013-01,412,412,346,412,412,1.0,69051990816.48,69051990816.48,1.0,58154196617.36,58154196617.36,1.0,18,0.043689320388349516,0.043689320388349516,12,0.03468208092485549,218050583.95999998,0.003157774039267234,150362446.94000003,0.002585582050584365,1404607301.44,941709204.89,462898096.55,0.39953028644615196,0.7439339632989899,0.9452798575997946,0.024153154598316663,0.016193314664566857,0.014340649572719305,0.01364300772988487,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
2013-02,414,414,344,414,414,1.0,70227445134.46,70227445134.46,1.0,56748719854.65,56748719854.65,1.0,19,0.04589371980676329,0.04589371980676329,13,0.0377906976744186,165455581.64,0.0023559960258160146,91155534.58999999,0.0016063011610389778,1399748067.18,883098094.42,516649972.76,0.36161995180591794,0.7003718089579561,0.9525662205901556,0.024665720579515493,0.01556155093334037,0.013684656440723201,0.013977702171528173,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
2013-03,417,417,358,417,417,1.0,68095643741.26999,68095643741.26999,1.0,58189105913.31,58189105913.31,1.0,14,0.03357314148681055,0.03357314148681055,11,0.030726256983240222,70036295.74,0.0010284989155268658,31735069.759999998,0.0005453781985803121,1362913275.78,828254063.58,534659212.2,0.3514504510953978,0.7581617479890493,0.9861220789043016,0.023422138119985298,0.014233833817861563,0.01281556903948132,0.013695925078228302,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
2013-04,419,419,352,419,419,1.0,70202431319.89001,70202431319.89001,1.0,57638595743.83,57638595743.83,1.0,15,0.03579952267303103,0.03579952267303103,9,0.02556818181818182,165678801.14000002,0.00236001514513158,122517484.89000002,0.002125615367774033,1560748646.68,911395163.6800001,649353482.9999999,0.2913026918960871,0.7001522421802426,0.9454270512321254,0.02707818652655278,0.015812237475920143,0.014820247577964789,0.013715776573611935,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
2013-05,417,417,349,417,417,1.0,82130414632.11,82130414632.11,1.0,62893334368.02999,62893334368.02999,1.0,14,0.03357314148681055,0.03357314148681055,8,0.022922636103151862,159203378.98000002,0.0019384217125059697,94724645.71999998,0.001506115817706598,1459858187.62,787542866.05,672315321.57,0.2833509638381273,0.7176526041430759,0.973308280423992,0.02321165195467958,0.012521881276663947,0.011450302229475212,0.01103238150324636,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
2013-06,415,415,350,415,415,1.0,93007240019.90999,93007240019.90999,1.0,65218220759.09999,65218220759.09999,1.0,16,0.03855421686746988,0.03855421686746988,9,0.025714285714285714,172361729.44,0.001853207657845805,130570229.78,0.002002051393924011,1511337336.85,753236883.22,758100453.63,0.25304024456318935,0.6771188165394951,0.9583594850011697,0.023173544436799448,0.01154948531948259,0.01042548242967324,0.009566586723844143,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
2013-07,420,420,352,420,420,1.0,89103816885.98001,89103816885.98001,1.0,71468967934.53,71468967934.53,1.0,16,0.0380952380952381,0.0380952380952381,9,0.02556818181818182,137765146.95999998,0.0015461194792170184,89115101.90000002,0.0012469062374265007,1543161393.83,827504185.6199999,715657208.2099999,0.2547914778446468,0.7307503346162657,0.9795705009992581,0.02159204810741959,0.011578510359601736,0.009755123995581913,0.010344502747173764,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
2013-08,420,420,352,420,420,1.0,83429386915.9,83429386915.9,1.0,71669265369.41,71669265369.41,1.0,15,0.03571428571428571,0.03571428571428571,7,0.019886363636363636,129745981.03000002,0.0015551592289751442,96773511.10000001,0.0013502790994325588,1625456421.42,822921803.3,802534618.1200001,0.2291959088953549,0.6862961911602478,0.9761408269529166,0.022679964878135617,0.011482213457307752,0.009656042462765507,0.01014563379513927,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
2013-09,419,419,362,419,419,1.0,81646833715.91,81646833715.91,1.0,70695158070.64,70695158070.64,1.0,15,0.03579952267303103,0.03579952267303103,8,0.022099447513812154,129995287.07,0.0015921656866978865,93918569.82,0.001328500740123598,1813016437.42,976432317.5899999,836584119.8299999,0.2217633406401496,0.696820444067788,0.9770411064174839,0.025645553201937794,0.013811869783420378,0.010816850667063543,0.012499975269694095,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
2013-10,428,428,363,428,428,1.0,78563682492.29001,78563682492.29001,1.0,67261239026.95,67261239026.95,1.0,16,0.037383177570093455,0.037383177570093455,7,0.01928374655647383,230524727.46999997,0.002934240353265301,168432957.16,0.0025041607855679385,1991467181.94,1155009211.1299999,836457970.8100001,0.22286803992013715,0.7387271593952665,0.9542186894424389,0.029607946727565723,0.01717198832253469,0.014625800207288334,0.014704650345728015,0,,,,,bloqueado_cobertura_aging_insuficiente,False,,,0,0,False,0,0.0,,,cobertura mista: flags exatas onde houve match com o bruto; legado é limite superior
