competencia,cnpj_fundo,pl,carteira_dc,dc_inadimplentes,dc_inadimplentes_ajustado_recalculado,dc_a_vencer_com_parcela_inad,dc_parcelas_inadimplentes,inad_ate_30d,inad_31_60d,inad_61_90d,inad_91_120d,inad_121_150d,inad_151_180d,inad_181_360d,inad_361_720d,inad_721_1080d,inad_maior_1080d,inad_acima_360d,inad_aging_total,inadimplencia_ex_360d,inadimplencia_ex_360d_ajustada,cnpj_classe_count,cnpj_classes,is_fic_fidc,is_np,reports_carteira_dc,reports_dc_inadimplentes,reports_inad_acima_360d,field_presence_exact,is_fic,denominacao,cnpj_veiculo,admin_nome,admin_cnpj,gestor_nome,gestor_cnpj,custodiante_nome,custodiante_cnpj,segmento_principal,segmento_financeiro_principal,classificacao_anbima,publico_alvo,fund_key,cnpj_classe,cnpj_fundo_formatado,aggregation_warning,tab4_duplicate_detected,tab4_type_conflict,tab4_pl_conflict,tab4_duplicate_rows_dropped,tab4_warning,anbima_tipo,anbima_foco,classification_tier,classification_status,classification_source,classification_evidence,classification_requires_warning,classification_warning,anbima_tipo_oficial,anbima_foco_oficial,anbima_tipo_curado,anbima_foco_curado,tabela_ii_curada,taxonomia_funcional_n1_curada,taxonomia_funcional_n2_curada,taxonomy_review_status,taxonomy_review_applied,manual_override_applied,administrador_grupo,administrador_cnpj_normalizado,gestor_grupo,gestor_cnpj_normalizado,custodiante_grupo,custodiante_cnpj_normalizado,prestadores_ausentes,monoestrutura_conglomerado,monoestrutura_entidade_legal,definicao_mono_adotada,grupo_mono,modelo_prestacao,rank,market_share_ex_fic,is_top20_fidc
2026-06,09195235000150,61254971563.01,58239773982.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,09195235000150,False,False,True,True,True,True,False,FIDC DO SISTEMA PETROBRAS,09195235000150,BB GESTAO DE RECURSOS DTVM S.A,30822936000169.0,BB GESTAO DE RECURSOS DTVM S.A,30822936000169.0,BANCO DO BRASIL S.A.,191.0,Industrial,,,,09195235000150,09195235000150,09.195.235/0001-50,,False,False,False,0,,"Agro, Indústria e Comércio",Recebíveis Comerciais,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,"Agro, Indústria e Comércio",Recebíveis Comerciais,"Agro, Indústria e Comércio",Recebíveis Comerciais,N/D,Multissetorial / Outros,Multicarteira outros,aprovado,True,True,Banco do Brasil,30822936000169,Banco do Brasil,30822936000169,Banco do Brasil,00000000000191,False,True,False,mesmo conglomerado econômico normalizado,Banco do Brasil,Monoestrutura,1,0.07457735374951541,True
2026-06,26287464000114,41496046291.59,28186458808.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26287464000114,False,False,True,True,True,True,False,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,26287464000114,OLIVEIRA TRUST DTVM S.A.,36113876000191.0,OLIVEIRA TRUST SERVICER S/A,2150453000120.0,OLIVEIRA TRUST DTVM S.A.,36113876000191.0,Cartao de credito,,,,26287464000114,26287464000114,26.287.464/0001-14,,False,False,False,0,,Financeiro,Adquirência,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Financeiro,Crédito Pessoal,Financeiro,Adquirência,Adquirência,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,aprovado,True,True,Oliveira Trust,36113876000191,Oliveira Trust,02150453000120,Oliveira Trust,36113876000191,False,True,False,mesmo conglomerado econômico normalizado,Oliveira Trust,Monoestrutura,2,0.05052104742732339,True
2026-06,65473848000183,17971763062.82,17285378512.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,65473848000183,False,False,True,True,True,True,False,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,65473848000183,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123.0,BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,7625159000140.0,BANCO BTG PACTUAL S/A,30306294000145.0,Comercial,,,,65473848000183,65473848000183,65.473.848/0001-83,,False,False,False,0,,Outros,Multicedente/Multissacado,proxy_cvm,Proxy CVM; validar,equivalência metodológica a partir do segmento CVM,segmento CVM Comercial,True,proxy CVM não equivale a classificação ANBIMA publicada,"Agro, Indústria e Comércio",Recebíveis Comerciais,Outros,Multicedente/Multissacado,Comercial,Crédito PF,Auto/Veículos,aprovado,True,True,BTG Pactual,59281253000123,BTG Pactual,07625159000140,BTG Pactual,30306294000145,False,True,False,mesmo conglomerado econômico normalizado,BTG Pactual,Monoestrutura,3,0.021880453083872778,True
2026-06,62393679000183,10010957003.11,9443495620.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62393679000183,False,False,True,True,True,True,False,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,66670000100.0,BANCO BRADESCO S.A.,60746948000112.0,BANCO BRADESCO S.A.,60746948000112.0,Cartao de credito,,,,62393679000183,62393679000183,62.393.679/0001-83,,False,False,False,0,,Financeiro,Adquirência,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Outros,Multicarteira Outros,Financeiro,Adquirência,Adquirência,Meios de Pagamento e Cartões,Banco emissor/cartão de crédito,aprovado,True,True,Bradesco,00066670000100,Bradesco,60746948000112,Bradesco,60746948000112,False,True,False,mesmo conglomerado econômico normalizado,Bradesco,Monoestrutura,4,0.012188246320939709,True
2026-06,63953619000130,9407708295.27,421792986.97,0.0,0.0,326.38,326.38,0.0,207.81,118.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.38,326.38,326.38,4,63953620000165,False,False,True,True,True,True,False,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,63953620000165,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123.0,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,29650082000100.0,BANCO BTG PACTUAL S/A,30306294000145.0,,,,,63953619000130,63953620000165,63.953.619/0001-30,fundo agregado a partir de mais de um CNPJ reportante,False,False,False,0,,Financeiro,Crédito Consignado,evidencia_publicada,Evidência documental/manual publicada,"FundosNet, Regulamento id 1222855, 02/06/2026, páginas 3 e 15","O regulamento de 02/06/2026 declara para a Classe Consignado Privado: Tipo Financeiro e Foco de atuação Créditos Consignados; o fundo também contém classes INSS, Cartão Consignado e FGTS, todas de natureza financeira.",False,fundo agregado a partir de mais de um CNPJ reportante,Financeiro,Crédito Consignado,Financeiro,Crédito Consignado,Financeiro,Crédito PF,Consignado/INSS,aprovado,True,True,BTG Pactual,59281253000123,BTG Pactual,29650082000100,BTG Pactual,30306294000145,False,True,False,mesmo conglomerado econômico normalizado,BTG Pactual,Monoestrutura,5,0.011453796673252841,True
2026-06,53286499000101,8719298749.48,5715129617.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53286499000101,False,False,True,True,True,True,False,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53286499000101,INTRAG DTVM LTDA.,62418140000131.0,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,40430971000196.0,ITAU UNIBANCO S.A.,60701190000104.0,Servicos,,,,53286499000101,53286499000101,53.286.499/0001-01,,False,False,False,0,,Outros,Multicarteira Outros,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Outros,Multicarteira Outros,Outros,Multicarteira Outros,Comercial,Multissetorial / Outros,Multicarteira outros,aprovado,True,True,Itaú,62418140000131,Itaú,40430971000196,Itaú,60701190000104,False,True,False,mesmo conglomerado econômico normalizado,Itaú,Monoestrutura,6,0.010615664503554363,True
2026-06,52242420000188,8032044361.07,6719007472.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,52242420000188,False,False,True,True,True,True,False,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52242420000188,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123.0,BANCO BTG PACTUAL S/A,30306294000145.0,BANCO BTG PACTUAL S/A,30306294000145.0,Financeiro,Financeiro: consignado,,,52242420000188,52242420000188,52.242.420/0001-88,,False,False,False,0,,Financeiro,Crédito Consignado,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Financeiro,Crédito Pessoal,Financeiro,Crédito Consignado,Financeiro,Crédito PF,Consignado/INSS,aprovado,True,True,BTG Pactual,59281253000123,BTG Pactual,30306294000145,BTG Pactual,30306294000145,False,True,False,mesmo conglomerado econômico normalizado,BTG Pactual,Monoestrutura,7,0.009778938727139018,True
2026-06,52610624000124,7350884666.57,7365283084.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,52610624000124,False,False,True,True,True,True,False,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52610624000124,XP INVESTIMENTOS CCTVM S.A.,2332886000104.0,XP INVESTIMENTOS CCTVM S.A.,2332886000104.0,OLIVEIRA TRUST DTVM S.A.,36113876000191.0,Financeiro,Financeiro: outros,,,52610624000124,52610624000124,52.610.624/0001-24,,False,False,False,0,,"Agro, Indústria e Comércio",Infraestrutura,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,"Agro, Indústria e Comércio",Recebíveis Comerciais,"Agro, Indústria e Comércio",Infraestrutura,Serviços,Infra/Energia,Energia/infra,aprovado,True,True,XP,02332886000104,XP,02332886000104,Oliveira Trust,36113876000191,False,False,False,mesmo conglomerado econômico normalizado,,Administração + Gestão,8,0.008949633183434965,True
2026-06,26286939000158,6479950762.42,6096322521.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26286939000158,False,False,True,True,True,True,False,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,26286939000158,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,66670000100.0,BANCO BRADESCO S.A.,60746948000112.0,BANCO BRADESCO S.A.,60746948000112.0,Cartao de credito,,,,26286939000158,26286939000158,26.286.939/0001-58,,False,False,False,0,,Financeiro,Adquirência,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Financeiro,Multicarteira Financeiro,Financeiro,Adquirência,Adquirência,Meios de Pagamento e Cartões,Banco emissor/cartão de crédito,aprovado,True,True,Bradesco,00066670000100,Bradesco,60746948000112,Bradesco,60746948000112,False,True,False,mesmo conglomerado econômico normalizado,Bradesco,Monoestrutura,9,0.007889279318191094,True
2026-06,53216449000158,6390451812.87,5818229352.77,70961337.45,70961337.45,0.0,0.0,70961337.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70961337.45,70961337.45,70961337.45,1,53216449000158,False,True,True,True,True,True,False,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,53216449000158,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186.0,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134.0,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186.0,Financeiro,Financeiro: outros,,,53216449000158,53216449000158,53.216.449/0001-58,,False,False,False,0,,Outros,Recuperação,oficial_anbima,Classificação oficial ANBIMA por CNPJ da classe,ANBIMA Data — Fundos 175: características público,tipo e foco de atuação do cadastro público ANBIMA,True,classificação ANBIMA cadastral de dez/25 aplicada após a fotografia; validar novos fundos,Outros,Multicarteira Outros,Outros,Recuperação,N/D,Judicial/Precatórios/NPL,Não padronizado/NPL,aprovado,True,True,CBSF,34829992000186,CBSF,23863529000134,REAG,34829992000186,False,False,False,mesmo conglomerado econômico normalizado,,Administração + Gestão,10,0.0077803151859665845,True
