competencia,period_label,instrument_label,stock_brl,source_name,source_url,source_as_of_date,source_figure,metric,scope,limitation
2023-12,dez/23,Debêntures,960000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2023-12,dez/23,CRI,184000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2023-12,dez/23,CRA,128000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2024-12,dez/24,Debêntures,1169000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2024-12,dez/24,CRI,226000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2024-12,dez/24,CRA,152000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2025-12,dez/25,Debêntures,1454000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2025-12,dez/25,CRI,257000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2025-12,dez/25,CRA,178000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2026-06,jun/26,Debêntures,1511000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2026-06,jun/26,CRI,270000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
2026-06,jun/26,CRA,174000000000.0,Safra Credit Research — Atualização Mensal Anbima,https://oespecialista.safra.com.br/wp-content/uploads/2026/07/PROSPECT-36079.pdf,2026-07-27,Figura 3 — Estoque de Crédito Corporativo,Estoque consolidado,Estoque em aberto de crédito corporativo no mercado de capitais doméstico,"Compilação Safra sobre dados ANBIMA; a ANBIMA não publica a série de estoque em anexo aberto. Valores lidos do gráfico e conferidos contra o total impresso da barra."
