rank,period_label,period_start,period_end,originator_group,closed_offers,issuer_cnpjs,registered_volume_brl,mean_registered_ticket_brl,median_registered_ticket_brl,placed_volume_proxy_brl,offers_with_placed_quantity,placed_quantity_offer_coverage,placed_quantity_registered_volume_coverage,mean_placed_ticket_brl,median_placed_ticket_brl,share_of_total_registered_volume,share_of_identified_registered_volume,originator_source_fields,originator_evidence_sample,confidence,universe_closed_offers,universe_registered_volume_brl,identified_registered_volume_brl,unidentified_registered_volume_brl,identified_registered_volume_coverage,source_dataset,source_url,source_as_of_date,source_archive_sha256,latest_source_closing_date,scope,methodology,originator_methodology
1,2026 jan–jun,2026-01-01,2026-06-30,CloudWalk,1,1,5500000000.0,5500000000.0,5500000000.0,5500000000.0,1,1.0,1.0,5500000000.0,5500000000.0,0.08398469959689495,0.26066612612411083,Nome_Emissor,Nome_Emissor: \bCLOUDWALK\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
2,2026 jan–jun,2026-01-01,2026-06-30,Agibank,1,1,2500000000.0,2500000000.0,2500000000.0,2500000000.0,1,1.0,1.0,2500000000.0,2500000000.0,0.03817486345313407,0.11848460278368673,Nome_Emissor,Nome_Emissor: \bAGIBANK\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
3,2026 jan–jun,2026-01-01,2026-06-30,Banco Volkswagen,1,1,2000000000.0,2000000000.0,2000000000.0,2000000000.0,1,1.0,1.0,2000000000.0,2000000000.0,0.030539890762507255,0.09478768222694939,Nome_Emissor,Nome_Emissor: \bBANCO\s+VOLKSWAGEN\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
4,2026 jan–jun,2026-01-01,2026-06-30,Solfácil,3,3,1505500000.0,501833333.3333333,562500000.0,1480500000.0,3,1.0,1.0,493500000.0,562500000.0,0.022988902771477335,0.07135142779633616,Nome_Emissor,Nome_Emissor: \bSOL\s+AGORA\b | Nome_Emissor: \bSOLFACIL\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
5,2026 jan–jun,2026-01-01,2026-06-30,Mercado Pago / Mercado Crédito,1,1,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1,1.0,1.0,1500000000.0,1500000000.0,0.022904918071880442,0.07109076167021204,Ativos_alvo,Ativos_alvo: \bMERCADO\s+(?:PAGO|CREDITO)\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
6,2026 jan–jun,2026-01-01,2026-06-30,Banco Pine,1,1,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1,1.0,1.0,1250000000.0,1250000000.0,0.019087431726567034,0.05924230139184337,Nome_Emissor,Nome_Emissor: \bPINE\s+INSS\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
7,2026 jan–jun,2026-01-01,2026-06-30,PicPay,1,1,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1,1.0,1.0,1250000000.0,1250000000.0,0.019087431726567034,0.05924230139184337,Nome_Emissor,Nome_Emissor: \bPICPAY\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
8,2026 jan–jun,2026-01-01,2026-06-30,ICred,2,2,1169268000.0,584634000.0,584634000.0,155479000.0,2,1.0,1.0,77739500.0,77739500.0,0.017854658496047667,0.05541610181107033,Nome_Emissor,Nome_Emissor: \bICRED\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
9,2026 jan–jun,2026-01-01,2026-06-30,PagSeguro,1,1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1,1.0,1.0,1000000000.0,1000000000.0,0.015269945381253628,0.047393841113474694,Nome_Emissor,Nome_Emissor: \bPAGSEGURO\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
10,2026 jan–jun,2026-01-01,2026-06-30,Lavoro,1,1,730000000.0,730000000.0,730000000.0,44711000.0,1,1.0,1.0,44711000.0,44711000.0,0.011147060128315149,0.034597504012836525,Nome_Emissor,Nome_Emissor: \bLAVORO\b,alta - regra nominal auditável,771,65488118983.56,21099788000.0,44388330983.56,0.3221926103160307,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-21,ff53d4406953411a3153a2701669c6d06ebad56f5d849c7e0190406ac7bfa0f3,2026-06-30,Cotas de FIDC | oferta primária | Oferta Encerrada | Data_Encerramento até 30/06/2026 | Valor_Total_Registrado positivo,"Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado).","Uma oferta = Numero_Requerimento; coorte por Data_Encerramento; registered_volume_brl = Valor_Total_Registrado; placed_volume_proxy_brl = min(sum(Qtde_VM_*) * Valor_Total_Registrado / Qtde_Total_Registrada, Valor_Total_Registrado). Origem = primeiro match nominal auditável, pela prioridade da regra, em Nome_Emissor ou Ativos_alvo; o residual permanece não identificado."
