period_order,period_label,period_start,period_end,is_full_year,regime_order,placement_regime,closed_offers,closed_offers_share,registered_volume_brl,registered_volume_share,period_closed_offers,period_registered_volume_brl,source_dataset,source_url,source_as_of_date,source_archive_sha256,scope,methodology
1,2024 FY,2024-01-01,2024-12-31,True,1,Melhores esforços,945,0.9365708622398414,69340846133.79001,0.7267158384431652,1009,95416726133.75,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
1,2024 FY,2024-01-01,2024-12-31,True,2,Garantia firme,38,0.03766105054509415,13696583000.0,0.14354488521017658,1009,95416726133.75,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
1,2024 FY,2024-01-01,2024-12-31,True,3,Misto,26,0.02576808721506442,12379296999.96,0.12973927634665824,1009,95416726133.75,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
1,2024 FY,2024-01-01,2024-12-31,True,4,Não informado,0,0.0,0.0,0.0,1009,95416726133.75,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
2,2025 FY,2025-01-01,2025-12-31,True,1,Melhores esforços,1399,0.9517006802721089,87985449748.18,0.7562245029664897,1470,116348319054.76999,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
2,2025 FY,2025-01-01,2025-12-31,True,2,Garantia firme,50,0.034013605442176874,18248092653.59,0.15684019160603313,1470,116348319054.76999,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
2,2025 FY,2025-01-01,2025-12-31,True,3,Misto,21,0.014285714285714285,10114776653.0,0.08693530542747725,1470,116348319054.76999,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
2,2025 FY,2025-01-01,2025-12-31,True,4,Não informado,0,0.0,0.0,0.0,1470,116348319054.76999,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
3,2026 jan-jun,2026-01-01,2026-06-30,False,1,Melhores esforços,737,0.9559014267185474,45334126983.56,0.6922496429457774,771,65488118983.56,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
3,2026 jan-jun,2026-01-01,2026-06-30,False,2,Garantia firme,22,0.028534370946822308,14299992000.0,0.21836009679236382,771,65488118983.56,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta primária | status oficial Oferta Encerrada | Data_Encerramento no período | Valor_Total_Registrado positivo,Uma oferta = Numero_Requerimento. Regime usa o campo oficial Regime_distribuicao; Garantia Firme de Colocação e de Liquidação são consolidadas em Garantia firme. 2024/2025 são anos completos; 2026 cobre janeiro a junho.
