period_order,period_label,period_start,period_end,is_full_year,bucket_order,ticket_bucket,ticket_floor_brl,ticket_ceiling_brl,closed_offers,offer_share,registered_volume_brl,registered_volume_share,period_closed_offers,period_registered_volume_brl,period_mean_ticket_brl,period_median_ticket_brl,period_p25_ticket_brl,period_p75_ticket_brl,period_p90_ticket_brl,over_100m_closed_offers,over_100m_offer_share,over_100m_registered_volume_brl,over_100m_registered_volume_share,source_dataset,source_url,source_as_of_date,source_archive_sha256,scope,deduplication,methodology
1,2024 FY,2024-01-01,2024-12-31,True,1,< R$ 10 mi,0.0,10000000.0,231,0.22893954410307235,985861204.4300001,0.01033216338871314,1009,95416726133.75,94565635.41501486,29999999.98,10000000.0,78000000.0,200000000.0,181,0.17938553022794845,71992614281.85,0.7545072776960997,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
1,2024 FY,2024-01-01,2024-12-31,True,2,R$ 10–25 mi,10000000.0,25000000.0,237,0.2348860257680872,3447533173.06,0.03613132951373153,1009,95416726133.75,94565635.41501486,29999999.98,10000000.0,78000000.0,200000000.0,181,0.17938553022794845,71992614281.85,0.7545072776960997,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
1,2024 FY,2024-01-01,2024-12-31,True,3,R$ 25–50 mi,25000000.0,50000000.0,175,0.1734390485629336,5904953517.04,0.06188593715490464,1009,95416726133.75,94565635.41501486,29999999.98,10000000.0,78000000.0,200000000.0,181,0.17938553022794845,71992614281.85,0.7545072776960997,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
1,2024 FY,2024-01-01,2024-12-31,True,4,R$ 50–100 mi,50000000.0,100000000.0,158,0.1565906838453915,10385763957.37,0.10884636665076729,1009,95416726133.75,94565635.41501486,29999999.98,10000000.0,78000000.0,200000000.0,181,0.17938553022794845,71992614281.85,0.7545072776960997,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
1,2024 FY,2024-01-01,2024-12-31,True,5,R$ 100–200 mi,100000000.0,200000000.0,94,0.0931615460852329,12000105000.76,0.1257652142029994,1009,95416726133.75,94565635.41501486,29999999.98,10000000.0,78000000.0,200000000.0,181,0.17938553022794845,71992614281.85,0.7545072776960997,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
1,2024 FY,2024-01-01,2024-12-31,True,6,R$ 200–500 mi,200000000.0,500000000.0,83,0.08225966303270565,23402314897.17,0.24526428274604498,1009,95416726133.75,94565635.41501486,29999999.98,10000000.0,78000000.0,200000000.0,181,0.17938553022794845,71992614281.85,0.7545072776960997,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
1,2024 FY,2024-01-01,2024-12-31,True,7,≥ R$ 500 mi,500000000.0,inf,31,0.030723488602576808,39290194383.92,0.411774706342839,1009,95416726133.75,94565635.41501486,29999999.98,10000000.0,78000000.0,200000000.0,181,0.17938553022794845,71992614281.85,0.7545072776960997,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
2,2025 FY,2025-01-01,2025-12-31,True,1,< R$ 10 mi,0.0,10000000.0,350,0.23761031907671418,1371598307.19,0.011730951363519052,1473,116921319054.76999,79376319.79278342,25000000.0,10000000.0,67500000.0,170000000.0,227,0.15410726408689748,81769067300.87,0.6993512215044935,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
2,2025 FY,2025-01-01,2025-12-31,True,2,R$ 10–25 mi,10000000.0,25000000.0,375,0.2545824847250509,5545107015.43,0.047425970389818134,1473,116921319054.76999,79376319.79278342,25000000.0,10000000.0,67500000.0,170000000.0,227,0.15410726408689748,81769067300.87,0.6993512215044935,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
2,2025 FY,2025-01-01,2025-12-31,True,3,R$ 25–50 mi,25000000.0,50000000.0,240,0.1629327902240326,8239631165.57,0.07047158920359316,1473,116921319054.76999,79376319.79278342,25000000.0,10000000.0,67500000.0,170000000.0,227,0.15410726408689748,81769067300.87,0.6993512215044935,oferta_resolucao_160.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Cotas de FIDC | oferta pública primária encerrada | todos os ritos CVM | data de encerramento no período | volume registrado positivo,Rito automático: Numero_Requerimento. Ritos ordinários/legados: registro + emissor + data de encerramento + instrumento; classes do mesmo FIDC são somadas.,"Coorte por Data_Encerramento; ticket = Valor_Total_Registrado. 2024 e 2025 usam o ano completo; 2026 usa 1 jan a 30 jun. Os buckets são fechados à esquerda e abertos à direita, exceto o último."
