raiz_cnpj_foto,cnpj,denominacao_referencia,cedente_originador_literal,papel_literal,originador,cedente,sacado_devedor,tipo_recebivel_literal,fonte_imagem,localizacao_imagem,status_transcricao,confianca,observacao,updated_at_utc
42462306,42462306000100,GREEN SOLFACIL II FIDC,Solfácil,cedente,,Solfácil,,créditos originados para securitização posterior em CRIs,IMG_8704.JPG,planilha amarela; linha da raiz 42462306,confirmado_legivel,alta,OBS da foto: FIDC warehouse com finalidade de originar créditos para serem securitizados posteriormente em CRIs a mercado; texto final cortado pela foto.,2026-08-01T16:24:18Z
54810968,54810968000102,ANGA FGTS II FUNDO DE INVESTIMENTO EM DIREITOS CR...,BMG,cedente,,BMG,,Crédito FGTS,IMG_8704.JPG,planilha amarela; linha da raiz 54810968,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
53270983,53270983000142,ANGA FGTS MAIS AG FIDC RESPONSABILIDADE LIMITADA,QI Tech,cedente,,QI Tech,,,IMG_8704.JPG,planilha amarela; linha da raiz 53270983,confirmado_legivel,alta,,2026-08-01T16:24:18Z
52968533,52968533000165,MCPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIO,Maqcampo,cedente,,Maqcampo,,,IMG_8704.JPG,planilha amarela; linha da raiz 52968533,confirmado_legivel,alta,OBS da foto: atrasos elevados; em discussão de possível solução de parcela dos vencidos.,2026-08-01T16:24:18Z
52100879,52100879000147,SOTREQ FUNDO DE INVESTIMENTO EM DIREITOS CREDITORI...,Sotreq,cedente,,Sotreq,,,IMG_8704.JPG,planilha amarela; linha da raiz 52100879,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
53662209,53662209000187,PNEUCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITO...,Cantu Store,cedente,,Cantu Store,,,IMG_8704.JPG,planilha amarela; linha da raiz 53662209,confirmado_legivel,alta,OBS da foto: FIDC pulverizado com 20% de subordinação e baixa inadimplência.,2026-08-01T16:24:18Z
53577135,53577135000180,ANGA FGTS I FUNDO DE INVESTIMENTO EM DIREITOS CR...,QI Tech,cedente,,QI Tech,,Crédito FGTS,IMG_8704.JPG,planilha amarela; linha da raiz 53577135,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
62626887,62626887000185,TOP 2025 C FIDC RESP LTDA,Sumup IP,cedente,,Sumup IP,,,IMG_8704.JPG,planilha amarela; linha da raiz 62626887,confirmado_legivel,alta,OBS da foto: Risco Banco Emissor Itaú.,2026-08-01T16:24:18Z
50098465,50098465000103,CHEMICAL XII - FUNDO DE INVESTIMENTO EM DIREITOS...,Braskem,cedente,,Braskem,,,IMG_8704.JPG,planilha amarela; linha da raiz 50098465,confirmado_legivel,alta,OBS da foto: baixo nível de inadimplência (0% Over90 nos últimos meses). Denominação cortada.,2026-08-01T16:24:18Z
48967719,48967719000122,SOULPAY FIDC,Soulpay Soluções de Pagamentos,cedente,,Soulpay Soluções de Pagamentos,,,IMG_8704.JPG,planilha amarela; linha da raiz 48967719,confirmado_legivel,alta,OBS da foto: Risco Rede.,2026-08-01T16:24:18Z
37645417,37645417000111,UBYFOL AGRO FIDC II,Ubyfol,cedente,,Ubyfol,,Insumos Agrícolas - prazo Safra,IMG_8704.JPG,planilha amarela; linha da raiz 37645417,confirmado_legivel,alta,,2026-08-01T16:24:18Z
50832746,50832746000130,BOASAFRA FIDC DO AGRONEGOCIO,Boasafra (ID 5662361),cedente,,Boasafra (ID 5662361),,Insumos Agrícolas - prazo Safra,IMG_8704.JPG,planilha amarela; linha da raiz 50832746,confirmado_legivel,alta,,2026-08-01T16:24:18Z
33076242,33076242000118,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ALBA,Albaugh,cedente,,Albaugh,,,IMG_8704.JPG,planilha amarela; linha da raiz 33076242,confirmado_legivel,alta,OBS legível: evento de avaliação por não pagamento de juros; o identificador de concentração e o restante do texto exigem revisão.,2026-08-01T16:24:18Z
44173467,44173467000109,RECEIVABLES 48 FUNDO DE INVEST INSS MEUTUDO,Parati,cedente,,Parati,,Crédito consignado INSS,IMG_8704.JPG,planilha amarela; linha da raiz 44173467,confirmado_legivel,alta,"OBS da foto: Rating atual Baa1; se ajustar o rating na base, pode considerar perspectiva estável.",2026-08-01T16:24:18Z
54252144,54252144000164,J17 FGTS FUNDO DE INVESTIMENTO,J17,cedente,,J17,,FGTS Saque-aniversário,IMG_8704.JPG,planilha amarela; linha da raiz 54252144,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
48313595,48313595000161,BB2 AGRO BR FUNDO DE INVESTIMENTO EM DIREITOS CRE...,Multicedentes,cedente,,Multicedentes,,,IMG_8704.JPG,planilha amarela; linha da raiz 48313595,confirmado_legivel,alta,OBS da foto: Cota Jr 100% consumida; revisão de rating em out/25; fomos 100% resgatados na SR. Denominação cortada.,2026-08-01T16:24:18Z
32526025,32526025000110,COBUCCIO FUNDO I E D C NAO P...,Brazil Card (cartões) | Bolt (adquirente) | Agil (cred...),cedente,,Brazil Card (cartões) | Bolt (adquirente) | Agil (cred...),,cartões de crédito e adquirência,IMG_8704.JPG,planilha amarela; linha da raiz 32526025,revisao,média,Denominação e literal de cedente cortados. OBS também continua fora da foto; não elegível até revisão.,2026-08-01T16:24:18Z
45523699,45523699000102,VIXTRA FUNDO DE INVE E DC RL,Vixtra Tecnologia e Serviços Financeiros,cedente,,Vixtra Tecnologia e Serviços Financeiros,,FIDC Trading,IMG_8704.JPG,planilha amarela; linha da raiz 45523699,confirmado_legivel,alta,,2026-08-01T16:24:18Z
54083697,54083697000130,PERNAMBUCANAS FIDC DE RESPONSABILIDADE LIMITADA,Pernambucanas,cedente,,Pernambucanas,,,IMG_8704.JPG,planilha amarela; linha da raiz 54083697,confirmado_legivel,alta,,2026-08-01T16:24:18Z
56936116,56936116000191,FATOR TARKEN FUNDO DE INVESTIMENTO EM DIREITOS CRE...,Multicedente,cedente,,Multicedente,,,IMG_8704.JPG,planilha amarela; linha da raiz 56936116,confirmado_legivel,alta,OBS da foto: conta com seguro de crédito. Denominação cortada.,2026-08-01T16:24:18Z
50089559,50089559000108,AGRICONNECTION FIAGRO DIREITOS CREDITORIOS,Agriconnection,cedente,,Agriconnection,,Insumos Agrícolas - prazo Safra,IMG_8704.JPG,planilha amarela; linha da raiz 50089559,confirmado_legivel,alta,,2026-08-01T16:24:18Z
57131490,57131490000182,PONTO RURAL FIAGRO FIDC LTDA,PONTO RURAL,cedente,,PONTO RURAL,,Insumos Agrícolas - prazo Safra,IMG_8704.JPG,planilha amarela; linha da raiz 57131490,confirmado_legivel,alta,,2026-08-01T16:24:18Z
47151680,47151680000108,FARMTECH IBBA I FUNDO DE INVESTIMENTO EM DIREITOS...,Multicedentes,cedente,,Multicedentes,,,IMG_8704.JPG,planilha amarela; linha da raiz 47151680,confirmado_legivel,alta,OBS da foto: Multicedente análise FARM; fomos 100% resgatados em out/25. Denominação cortada.,2026-08-01T16:24:18Z
43309233,43309233000183,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS LIVE,Adama,cedente,,Adama,,Insumos Agrícolas - prazo Safra,IMG_8704.JPG,planilha amarela; linha da raiz 43309233,confirmado_legivel,alta,OBS da foto: fomos 100% resgatados em out/25.,2026-08-01T16:24:18Z
43616659,43616659000180,TALO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORI...,Yara,cedente,,Yara,,,IMG_8704.JPG,planilha amarela; linha da raiz 43616659,confirmado_legivel,alta,OBS da foto: subordinação mínima próxima ao limiar (atual Baa3). Denominação cortada.,2026-08-01T16:24:18Z
52343195,52343195000176,FARMTECH SYNGENTA FUNDO DE INVESTIMENTO EM DIREITO...,Multicedentes,cedente,,Multicedentes,,,IMG_8704.JPG,planilha amarela; linha da raiz 52343195,confirmado_legivel,alta,OBS da foto: Multicedente análise FARM. Denominação cortada.,2026-08-01T16:24:18Z
44574361,44574361000117,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL,UPL,cedente,,UPL,,Insumos Agrícolas - prazo Safra,IMG_8704.JPG,planilha amarela; linha da raiz 44574361,confirmado_legivel,alta,,2026-08-01T16:24:18Z
38376526,38376526000143,HOTFUND FIDC,Hotmart,cedente,,Hotmart,,antecipação de parcelas de criadores de conteúdo,IMG_8705.JPG,planilha amarela; linha da raiz 38376526,confirmado_legivel,média,OBS parcialmente legível: FIDC antecipa recebíveis de funding para a Hotmart antecipar parcelas aos criadores de conteúdo; final cortado pela foto.,2026-08-01T16:24:18Z
45598747,45598747000121,FIDC SUMIP,Sumup IP,cedente,,Sumup IP,,,IMG_8705.JPG,planilha amarela; linha da raiz 45598747,confirmado_legivel,alta,OBS da foto: Risco Banco Emissor Itaú.,2026-08-01T16:24:18Z
41197066,41197066000109,MOVILEPAY CREDITO I FIDC SEGMENTO FINANCEIRO DE RE...,MovilePay / iFood,cedente,,MovilePay / iFood,,CCB PJ - ecossistema iFood,IMG_8705.JPG,planilha amarela; linha da raiz 41197066,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
44124617,44124617000194,CLOUDWALK AKIRA II FUNDO DE INVESTIMENTO EM DIREIT...,Cloudwalk,cedente,,Cloudwalk,,,IMG_8705.JPG,planilha amarela; linha da raiz 44124617,confirmado_legivel,alta,OBS da foto: Alongamento discutido recentemente (mas com run-off). Denominação cortada.,2026-08-01T16:24:18Z
42085816,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIRE...,Cloudwalk IP,cedente,,Cloudwalk IP,,,IMG_8705.JPG,planilha amarela; linha da raiz 42085816,confirmado_legivel,alta,OBS da foto: Risco Banco Emissor Itaú. Denominação cortada.,2026-08-01T16:24:18Z
38385876,38385876000176,ESTRATEGIA EDUCACIONAL FIDC,Estratégia Concursos,cedente,,Estratégia Concursos,,recebíveis de cartão oriundos da venda de planos de cursos preparatórios,IMG_8705.JPG,planilha amarela; linha da raiz 38385876,confirmado_legivel,alta,,2026-08-01T16:24:18Z
40919667,40919667000107,RECARGAPAY I FUNDO DE INVESTIMENTO EM DIREITOS CRE...,RecargaPay,cedente,,RecargaPay,,recebíveis de cartão,IMG_8705.JPG,planilha amarela; linha da raiz 40919667,confirmado_legivel,alta,"OBS da foto: FIDC ""Bolso próprio"", onde a Recarga fez aportes iniciais e utiliza o veículo para antecipar os recebíveis de cartão. Denominação cortada.",2026-08-01T16:24:18Z
42102603,42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIR...,Cloudwalk,cedente,,Cloudwalk,,,IMG_8705.JPG,planilha amarela; linha da raiz 42102603,confirmado_legivel,alta,OBS da foto: Alongamento discutido recentemente (mas com run-off). Denominação cortada.,2026-08-01T16:24:18Z
28169275,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PAGS...,PagBank (originador) | PagSeguro (cedente),originador | cedente,PagBank,PagSeguro,,recebíveis dos ECs,IMG_8698.jpg + IMG_8705.JPG,"Top 15 Financeiro; planilha amarela, linha da raiz 28169275",confirmado_legivel,alta,IMG_8698 identifica PagBank como originador; IMG_8705 identifica PagSeguro como cedente e recebíveis dos ECs.,2026-08-01T20:00:00Z
38658727,38658727000133,FIDC FORNEC MADEIRA MADEIRA I,Fornecedores: Madeira/Madeira,cedente,,Fornecedores: Madeira/Madeira,Madeira/Madeira,,IMG_8705.JPG,planilha amarela; linha da raiz 38658727,confirmado_legivel,alta,OBS da foto: FIDC Multicedente (Fornecedores) & Monosacado (Madeira/Madeira). O sacado foi desmembrado somente porque a função Monosacado está escrita na fonte.,2026-08-01T16:24:18Z
52271464,52271464000136,KIWIFY FUNDO DE INVESTIMENTO E...,"Infoprodutores, representados pela Kiwify Educa...",cedente,,"Infoprodutores, representados pela Kiwify Educa...",,REDE / CIELO,IMG_8705.JPG,planilha amarela; linha da raiz 52271464,revisao,média,Denominação e literal de cedente cortados; não elegível até revisão.,2026-08-01T16:24:18Z
29226654,29226654000110,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDI...,CredSystem,cedente,,CredSystem,,Cartão de Crédito - ecossistema Credsystem,IMG_8705.JPG,planilha amarela; linha da raiz 29226654,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
54857414,54857414000160,INDEMERX RAZI CREDITO AGRO FUNDO DE INVESTIMEN...,Emissão direta de produtor rural,cedente,,Emissão direta de produtor rural,,risco produtor rural com passagem SIPAL e Fazendão,IMG_8705.JPG,planilha amarela; linha da raiz 54857414,confirmado_legivel,média,Literal preservado da coluna Cedente do Direito Creditório; OBS continua fora da foto. Denominação cortada.,2026-08-01T16:24:18Z
55401645,55401645000128,DUATA FIDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS C...,QI Tech,cedente,,QI Tech,,Crédito FGTS,IMG_8705.JPG,planilha amarela; linha da raiz 55401645,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
44272584,44272584000120,LAVORO AGRO FIDC DAS CADEIAS PRODUTIVAS AGROINDUST...,Lavoro,cedente,,Lavoro,,,IMG_8705.JPG,planilha amarela; linha da raiz 44272584,confirmado_legivel,alta,OBS da foto: Realizamos ajuste tempestivo para Ba1 - carteira vence em 30/04 - acompanhamento mensal. Denominação cortada.,2026-08-01T16:24:18Z
62838025,62838025000116,TOP 2025 J FIDC RESP LTDA,Pague Veloz / Serasa,cedente,,Pague Veloz / Serasa,,"recebíveis de Rede, GetNet, Cielo e Pag",IMG_8705.JPG,planilha amarela; linha da raiz 62838025,confirmado_legivel,alta,,2026-08-01T16:24:18Z
47280025,47280025000150,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ALBA,Albaugh,cedente,,Albaugh,,,IMG_8705.JPG,planilha amarela; linha da raiz 47280025,confirmado_legivel,alta,OBS da foto: fundo continua sofrendo com inadimplência da carteira antiga.,2026-08-01T16:24:18Z
57270666,57270666000187,MOBILITAS FIDC - RL,,,,,,Direitos Creditórios performados; REDE como adquirente,IMG_8705.JPG,planilha amarela; linha da raiz 57270666,confirmado_legivel,alta,Campo Cedente do Direito Creditório vazio na foto.,2026-08-01T16:24:18Z
58288437,58288437000152,ALTOMAX FIDC SEG RECEB COM LTDA,Cias do Grupo Altomax no Brasil (Altomax Com...),cedente,,Cias do Grupo Altomax no Brasil (Altomax Com...),,duplicatas,IMG_8705.JPG,planilha amarela; linha da raiz 58288437,revisao,média,Literal de cedente e OBS cortados; não elegível até revisão.,2026-08-01T16:24:18Z
55476342,55476342000174,LAVORO AGRO II FUNDO DE INVESTIMENTO EM DIREITOS C...,Lavoro,cedente,,Lavoro,,,IMG_8705.JPG,planilha amarela; linha da raiz 55476342,confirmado_legivel,alta,OBS da foto: em discussão para possível migração do FIDC para risco bilateral. Denominação cortada.,2026-08-01T16:24:18Z
63679792,63679792000192,BLUE HEALTH FIDC RECEBI LTDA,Empresas do Conglomerado Blue Health,cedente,,Empresas do Conglomerado Blue Health,,recebíveis de contrato de locação de equipamentos hospitalares,IMG_8705.JPG,planilha amarela; linha da raiz 63679792,confirmado_legivel,média,OBS continua fora da foto depois da descrição legível.,2026-08-01T16:24:18Z
42154687,42154687000160,MULTIPLIKE PLUS FUNDO I D CRED...,Multicedentes & Multisacados,cedente,,Multicedentes & Multisacados,,FIDC MultiCedente / Multisacado,IMG_8705.JPG,planilha amarela; linha da raiz 42154687,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
48946335,48946335000123,NAGRO OIKOS FIAGRO FUNDO DE INVESTIMENTO EM DIREI...,Multicedentes,cedente,,Multicedentes,,,IMG_8705.JPG,planilha amarela; linha da raiz 48946335,confirmado_legivel,alta,OBS da foto: análise NAGRO. Denominação cortada.,2026-08-01T16:24:18Z
55374251,55374251000128,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BLUE,Azul,cedente,,Azul,,Debênture,IMG_8705.JPG,planilha amarela; linha da raiz 55374251,confirmado_legivel,alta,OBS da foto: Book Special Sits; risco de repagamento Azul com 40% de subordinação.,2026-08-01T16:24:18Z
35868110,35868110000154,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BV -,Banco Votorantim,cedente,,Banco Votorantim,,Carteira Veículos com coobrigação BV,IMG_8705.JPG,planilha amarela; linha da raiz 35868110,confirmado_legivel,alta,,2026-08-01T16:24:18Z
48953864,48953864000154,FUNDO INVESTIMENTO E D C A II,Asaas IP,cedente,,Asaas IP,,80% Redecard e 20% Adyen,IMG_8705.JPG,planilha amarela; linha da raiz 48953864,confirmado_legivel,alta,,2026-08-01T16:24:18Z
50536324,50536324000117,MAQNELSON FUNDO DE INVESTIMENTO EM DIREITOS CREDIT...,Maqnelson,cedente,,Maqnelson,,máquinas agrícolas,IMG_8706.JPG,planilha amarela; linha da raiz 50536324,confirmado_legivel,média,OBS legível: houve desenquadramento da subordinação e haverá amortização de parcela da cota para reenquadramento; final cortado. Denominação cortada.,2026-08-01T16:24:18Z
57816252,57816252000100,NATURA PAY FUNDO DE INVESTIMENTO EM DIREITOS CREDI...,Natura &CO Pay Sociedade de Crédito Direto S.A.,cedente,,Natura &CO Pay Sociedade de Crédito Direto S.A.,,Duplicatas de venda de produtos a prazo para Consultoras Natura; em geral parcelado 3x sem juros,IMG_8706.JPG,planilha amarela; linha da raiz 57816252,confirmado_legivel,alta,Coluna adicional da foto: Duplicatas. Denominação cortada.,2026-08-01T16:24:18Z
50473039,50473039000102,SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITRI...,Mercado Pago (originador) | Mercado Livre (cedente),originador | cedente,Mercado Pago,Mercado Livre,,recebíveis com risco Grupo Mercado Livre,IMG_8698.jpg + IMG_8706.JPG,"Top 15 Financeiro; planilha amarela, linha da raiz 50473039",confirmado_legivel,alta,Os rótulos manuais são complementares; a entidade documental e o papel legal prevalecem no export.,2026-08-01T20:00:00Z
62588266,62588266000154,VTK FIDC RESP LIMIT,Facta,cedente,,Facta,,Crédito INSS,IMG_8706.JPG,planilha amarela; linha da raiz 62588266,confirmado_legivel,alta,,2026-08-01T16:24:18Z
50988212,50988212000105,CARTAO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM...,Supplier,cedente,,Supplier,,Crédito Curto Prazo com o segurado; Crédito PME,IMG_8706.JPG,planilha amarela; linha da raiz 50988212,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
