dimension_id,dimension_label,status_dossie,status_reasons,latest_competencia,atlas_values,atlas_values_with_pl,top_values_sample,pl_total_atual_brl,pl_top_20_brl,captacao_12m_top_20_brl,fundos_atuais_total,veiculos_atuais_total,links_catalogo,links_com_fonte,source_document_coverage,links_com_metodo,links_com_camada,traceability_links,traceability_coverage,links_curados,curated_coverage,links_ponderados,weighted_coverage,avg_confidence_score,source_documents_sample,source_pages_sample,source_methods_sample,review_status_mix,priority_2025_2026_links,profile_rows,profile_target_dimensions,profile_target_values,profile_links,profile_source_document_links,profile_curated_links,profile_weighted_links,profile_avg_confidence_score,heatmap_presets,heatmap_presets_ok,heatmap_preset_labels_sample,source_artifacts,source_method,rerun_command
admin,Administrador,ok,,2026-05,52,52,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM | QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. | OLIVEIRA TRUST DTVM S.A. | BB GESTAO DE RECURSOS DTVM S.A | BANCO DAYCOVAL S.A. | BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA. | INTRAG DTVM LTDA. | CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. | GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A. | HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,958535660089.7302,850508488399.4099,189185334808.7997,4219.0,4224.0,4224.0,0.0,0.0,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.0,,,snapshot_consolidado,,0.0,4680,29,922,74238.0,11360.0,3514.0,5830.0,0.23129957439873472,3,3,Administrador × Segmento | Cedente/sacado × Administrador | Administrador × Tipo de cota,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
fic_fidc,FIC-FIDC,ok,,2026-05,2,2,FIDC direto | FIC-FIDC,958535660089.7301,958535660089.7301,203613364851.85202,4219.0,4224.0,4224.0,0.0,0.0,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.0,,,snapshot_consolidado,,0.0,1307,29,922,74238.0,11360.0,3514.0,5830.0,0.23363370403387917,0,0,,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
subsegmento_estrategia,Subsegmento Estratégia,ok,,2026-05,19,19,Sem classificação | Arranjos de pagamento/adquirência | Sem oferta CVM mapeada | Consignado/INSS | Recebíveis comerciais/multissetorial | Agro | Crédito pessoal/consumo | Risco sacado/fornecedores | Não padronizado/NPL | Auto/Veículos,958535660089.7301,958535660089.7301,203613364851.85205,4219.0,4224.0,4224.0,0.0,0.0,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.0,,,snapshot_consolidado,,0.0,3105,29,922,74238.0,11360.0,3514.0,5830.0,0.22739199633058782,0,0,,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
camadas_evidencia,Camadas evidência,ok,,2026-05,6,5,1 camada | 2 camadas | 4 camadas | 3 camadas | 5 camadas | 0 camadas,958535660089.73,958535660089.73,203613364851.85202,4219.0,4224.0,4224.0,0.0,0.0,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.0,,,snapshot_consolidado,,0.0,2188,29,922,74238.0,11360.0,3514.0,5830.0,0.17171195274602358,0,0,,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
condominio,Condomínio,ok,,2026-05,2,2,FECHADO | ABERTO,958535660089.73,958535660089.73,203613364851.852,4219.0,4224.0,4224.0,0.0,0.0,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.0,,,snapshot_consolidado,,0.0,1385,29,922,74238.0,11360.0,3514.0,5830.0,0.22669347034259285,0,0,,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
documento_local,Documento local,ok,,2026-05,2,2,sem documento local | com documento local,958535660089.73,958535660089.73,203613364851.85205,4219.0,4224.0,4224.0,651.0,0.15411931818181818,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.0,assembleia | emissao | extracao_json | regulamento,,snapshot_consolidado,,0.0,1286,29,922,74238.0,20005.0,3514.0,5830.0,0.214960325871552,0,0,,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
emissao_2025_2026,Emissão 25-26,ok,,2026-05,2,2,sem emissão 2025-2026 | com emissão 2025-2026,958535660089.73,958535660089.73,203613364851.85205,4219.0,4224.0,4224.0,0.0,0.0,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.0,,,snapshot_consolidado,,0.0,1439,29,922,74238.0,11360.0,3514.0,5830.0,0.22572917268361264,0,0,,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
faixa_sub_minima,Faixa sub mín.,ok,,2026-05,5,5,sem sub mínima | <10% | >=25% | 15%-25% | 10%-15%,958535660089.73,958535660089.73,203613364851.85202,4219.0,4224.0,4224.0,550.0,0.13020833333333334,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.7495282701764567,1134285_regulamento_regulamento_1134285_2026-03-12.pdf | 895847_regulamento_regulamento_895847_2025-04-22.pdf | 1134284_regulamento_regulamento_1134284_2026-03-12.pdf | strategy_regulatory_feature_long | 826314_regulamento_regulamento_826314_2025-01-13.pdf | 1011996_regulamento_regulamento_1011996_2025-10-13.pdf | 913534_regulamento_regulamento_913534_2025-05-28.pdf | 1089197_assembleia_assembleia_1089197_2026-01-19.pdf,,snapshot_consolidado,,0.0,1733,29,922,74238.0,18403.0,3514.0,5830.0,0.5951848506662184,0,0,,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
sinal_cedente_sacado,Sinal ced/sacado,ok,,2026-05,2,2,sem sinal cedente/sacado | com sinal cedente/sacado,958535660089.73,958535660089.73,203613364851.85202,4219.0,4224.0,4224.0,550.0,0.13020833333333334,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.748843044980535,928766_assembleia_assembleia_928766_2025-06-30.pdf | 939819_assembleia_assembleia_939819_2025-06-30.pdf | 147591_assembleia_assembleia_147591_2021-02-05.pdf | 147607_regulamento_regulamento_147607_2021-02-05.pdf | 193190_assembleia_assembleia_193190_2021-07-13.pdf | strategy_regulatory_feature_long | 1192205_regulamento_regulamento_1192205_2026-03-25_2026-03-25.pdf | 1086270_regulamento_regulamento_1086270_2026-01-16_2026-01-16.pdf,,snapshot_consolidado,,0.0,1308,29,922,74238.0,18403.0,3514.0,5830.0,0.5420395386384647,0,0,,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
snapshot_status,Status snapshot,ok,,2026-05,3,3,basico | parcial | completo,958535660089.73,958535660089.73,203613364851.85205,4219.0,4224.0,4224.0,0.0,0.0,4219.0,4219.0,4219.0,0.9988162878787878,0.0,0.0,0.0,0.0,0.0,,,snapshot_consolidado,,0.0,1651,29,922,74238.0,11360.0,3514.0,5830.0,0.18807956540041518,0,0,,industry_dimension_value_atlas.csv.gz | industry_dimension_profiles.csv.gz | industry_heatmap_registry.csv,dimension_dossier,python scripts/build_fidc_industry_dimension_dossiers.py
