cnpj_fundo,denominacao,pl_ultima_competencia,competencia_referencia,competencias_sem_direitos_creditorios,competencias_observadas,forma_de_fic_no_nome,informe_documento_id,informe_competencia,vl_cota_fidc,vl_cota_fidc_nao_padrao,vl_soma_aplicacoes,share_cotas_fidc,vl_direitos_creditorios,veredito,evidencia,limitacao
30576260000170,ARTESANAL MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4520325687.36,2026-06,3.0,3,False,1250311,2026-06,4493877340.22,0.0,4525930844.43,0.9929178095486263,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1250311): cotas de FIDC R$ 4,493,877,340.22 de R$ 4,525,930,844.43 aplicados (99%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 3 de 3 competências observadas.",
53073485000100,EXPERT III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE ILIMITADA,3516792400.64,2026-06,4.0,4,False,1246225,2026-06,2997031517.81,0.0,3520183548.48,0.8513850134616149,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1246225): cotas de FIDC R$ 2,997,031,517.81 de R$ 3,520,183,548.48 aplicados (85%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 4 de 4 competências observadas.",
20441301000168,ARTESANAL CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,2531753764.54,2026-06,2.0,2,False,1250306,2026-06,2544245837.52,0.0,2551168195.77,0.9972865927611211,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1250306): cotas de FIDC R$ 2,544,245,837.52 de R$ 2,551,168,195.77 aplicados (100%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 2 de 2 competências observadas.",
22128298000152,VALORA GUARDIAN MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,2370125529.63,2026-06,3.0,3,False,1244550,2026-06,2001722830.65,0.0,2370341047.5,0.8444872659827658,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1244550): cotas de FIDC R$ 2,001,722,830.65 de R$ 2,370,341,047.50 aplicados (84%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 3 de 3 competências observadas.",
43690506000182,JIVE BOSSANOVA MASTER HIGH YIELD - FIDC DE RESPONSABILIDADE ILIMITADA,1318645748.87,2026-06,3.0,3,False,1249780,2026-06,1167255846.63,0.0,1390362569.62,0.8395334225295082,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1249780): cotas de FIDC R$ 1,167,255,846.63 de R$ 1,390,362,569.62 aplicados (84%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 3 de 3 competências observadas.",
29242769000106,COBUCCIO MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA,1308355355.32,2026-06,3.0,3,False,1248042,2026-06,1312674945.37,0.0,1312725922.72,0.9999611667987065,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1248042): cotas de FIDC R$ 1,312,674,945.37 de R$ 1,312,725,922.72 aplicados (100%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 3 de 3 competências observadas.",
55682228000109,SPECIALE FI EM COTAS DE FUNDOS DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1215486145.64,2026-06,3.0,3,True,1245171,2026-06,1112675917.81,0.0,1216554760.63,0.9146122754341072,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1245171): cotas de FIDC R$ 1,112,675,917.81 de R$ 1,216,554,760.63 aplicados (91%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 3 de 3 competências observadas.",
25213355000190,VALORA GUARDIAN ADVISORY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,1206500966.37,2026-06,3.0,3,False,1244551,2026-06,1161772837.0,0.0,1211474913.45,0.9589739119661503,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1244551): cotas de FIDC R$ 1,161,772,837.00 de R$ 1,211,474,913.45 aplicados (96%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 3 de 3 competências observadas.",
49916151000183,ASA LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVEST EM DIREITOS CREDITÓRIOS RESP. LTDA,1099424222.75,2026-06,4.0,4,True,1243381,2026-06,1069529320.51,0.0,1102799259.73,0.9698313732744566,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1243381): cotas de FIDC R$ 1,069,529,320.51 de R$ 1,102,799,259.73 aplicados (97%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 4 de 4 competências observadas.",
12236809000104,PLR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1064742280.9,2026-06,4.0,4,False,1241776,2026-06,1040865494.78,0.0,1064760337.04,0.9775584782520854,0.0,fic_confirmado,"Informe mensal 2026-06 (id 1241776): cotas de FIDC R$ 1,040,865,494.78 de R$ 1,064,760,337.04 aplicados (98%); direitos creditórios R$ 0.00. A base reporta carteira de direitos creditórios igual a zero em 4 de 4 competências observadas.",
