ordem_categoria,categoria,ordem_familia,familia_flagship,cnpj_fundo,representante_familia,pacote_documental
1,Consignado CLT,1,MT Consignado Privado I e II,60.010.416/0001-12,0,carteira_btg_pactual_1t26_56d75415
1,Consignado CLT,1,MT Consignado Privado I e II,58.458.416/0001-38,1,
1,Consignado CLT,2,Paketa,53.841.740/0001-17,1,
1,Consignado CLT,3,CLT Now,62.390.922/0001-00,1,
2,Consignado INSS,4,"Pine INSS I, II e III",61.271.872/0001-89,0,
2,Consignado INSS,4,"Pine INSS I, II e III",63.321.684/0001-43,0,
2,Consignado INSS,4,"Pine INSS I, II e III",63.546.406/0001-94,1,carteira_credito_ifs_-_mar26_73645b21
2,Consignado INSS,5,MT INSS Receivables VI,62.310.468/0001-30,1,
2,Consignado INSS,6,ICRED Chopin INSS,63.733.796/0001-01,1,
3,Consignado estadual,7,CM Estadual I e II,44.395.657/0001-70,0,
3,Consignado estadual,7,CM Estadual I e II,53.337.453/0001-74,1,
4,Consignado FGTS,8,PicPay FGTS I e II,58.148.845/0001-09,0,
4,Consignado FGTS,8,PicPay FGTS I e II,65.839.682/0001-76,1,
4,Consignado FGTS,9,MT FGTS II e IV,54.464.892/0001-00,0,
4,Consignado FGTS,9,MT FGTS II e IV,62.010.175/0001-37,1,
4,Consignado FGTS,10,Daycoval FGTS I,63.848.380/0001-39,1,
5,Adquirência — banco emissor,11,Cloudwalk Bela Pi e Big Picture I–IV,62.393.679/0001-83,1,carteira_cloudwalk_7681d350
5,Adquirência — banco emissor,11,Cloudwalk Bela Pi e Big Picture I–IV,60.356.171/0001-80,0,carteira_cloudwalk_7681d350
5,Adquirência — banco emissor,11,Cloudwalk Bela Pi e Big Picture I–IV,54.218.673/0001-41,0,carteira_cloudwalk_7681d350
5,Adquirência — banco emissor,11,Cloudwalk Bela Pi e Big Picture I–IV,54.218.941/0001-25,0,carteira_cloudwalk_7681d350
5,Adquirência — banco emissor,11,Cloudwalk Bela Pi e Big Picture I–IV,54.219.179/0001-00,0,carteira_cloudwalk_7681d350
5,Adquirência — banco emissor,11,Cloudwalk Bela Pi e Big Picture I–IV,54.248.022/0001-02,0,carteira_cloudwalk_7681d350
5,Adquirência — banco emissor,12,Cielo,26.286.939/0001-58,1,
5,Adquirência — banco emissor,13,"ACR BEM, ACR I e ACR IV",54.979.779/0001-68,1,
5,Adquirência — banco emissor,13,"ACR BEM, ACR I e ACR IV",52.256.912/0001-22,0,
5,Adquirência — banco emissor,13,"ACR BEM, ACR I e ACR IV",51.983.832/0001-06,0,
6,Adquirência — risco adquirente,14,Tapso,26.287.464/0001-14,1,
6,Adquirência — risco adquirente,15,"Seller I, II e III",50.473.039/0001-02,0,carteira_fidc_sellers_soma_47b0eb1b
6,Adquirência — risco adquirente,15,"Seller I, II e III",55.471.753/0001-77,0,carteira_fidc_sellers_soma_47b0eb1b
6,Adquirência — risco adquirente,15,"Seller I, II e III",63.572.282/0001-11,1,carteira_fidc_sellers_soma_47b0eb1b
6,Adquirência — risco adquirente,16,PagSeguro I,28.169.275/0001-72,1,carteira_credito_ifs_-_mar26_73645b21
7,Veículos,17,"BV Auto I, II e III",57.532.556/0001-46,0,
7,Veículos,17,"BV Auto I, II e III",60.598.366/0001-36,0,
7,Veículos,17,"BV Auto I, II e III",66.929.956/0001-80,1,
7,Veículos,18,"Creditas Auto X, XI e XII",53.095.241/0001-28,0,
7,Veículos,18,"Creditas Auto X, XI e XII",58.035.124/0001-92,0,
7,Veículos,18,"Creditas Auto X, XI e XII",59.929.098/0001-09,1,
7,Veículos,19,Santander Auto Loans I,63.662.224/0001-89,1,
7,Veículos,20,Driver Brasil Six Banco Volkswagen,50.114.948/0001-46,1,
8,Cartão consignado,21,Pine Lift I Cartão INSS,62.543.802/0001-03,1,
8,Cartão consignado,22,Somapay Cartão Consignado Público,55.316.469/0001-26,1,
8,Cartão consignado,23,MT Cartão Consignado I,58.188.881/0001-04,1,
9,Factoring,24,Fratto,12.803.721/0001-19,1,
9,Factoring,25,Brasilfactors Crédito Corporativo,12.778.706/0001-68,1,
10,Crédito PJ,26,"Mercado Crédito, Mercado Crédito I e II",33.254.370/0001-04,0,carteira_mercado_credito_soma_57f3418c
10,Crédito PJ,26,"Mercado Crédito, Mercado Crédito I e II",37.511.828/0001-14,0,carteira_mercado_credito_soma_57f3418c
10,Crédito PJ,26,"Mercado Crédito, Mercado Crédito I e II",41.970.012/0001-26,1,carteira_mercado_credito_soma_57f3418c
