onboarding_id,competencia_atual,cnpj_fundo,fundo,status_delta,priority_band,priority_score,pl_atual,admin_nome,gestor_nome,segmento_principal,overall_status,discovery_status,processing_status,incorporation_status,missing_steps,discovery_evidence,processing_evidence,incorporation_evidence,document_rows,document_chunk_ids,document_chunk_statuses,cedente_rows,criteria_rows,tem_sub_minima,camadas_com_evidencia,open_queue_rows,open_high_priority_rows,queue_domains,queue_action_types,queue_next_actions,queue_status_mix,next_actions,rerun_command,source_artifacts
202605_66737102000100,2026-05,66737102000100,PAN CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,novo_no_ime,alta,115.0,992851359.12,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,,bloqueado,bloqueado,bloqueado,bloqueado,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,0 docs; chunks n/d,status chunks n/d; ações n/d,cedentes 0; critérios 0; sub mínima não,0,,,0,0,False,1,2,1,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_65783221000129,2026-05,65783221000129,FIDC JOHN DEERE I SEGMENTO RECEBÍVEIS COMERCIAIS - RESPONSABILIDADE LIMITADA,novo_no_ime,alta,115.0,736393218.62,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BANCO BRADESCO S.A.,,bloqueado,bloqueado,bloqueado,bloqueado,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,0 docs; chunks n/d,status chunks n/d; ações n/d,cedentes 0; critérios 0; sub mínima não,0,,,0,0,False,1,2,1,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_64756643000142,2026-05,64756643000142,ARVIN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS RESP LIMITADA,novo_no_ime,alta,112.0,105286796.46,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,VERT GESTORA DE RECURSOS FINANCEIROS LTDA.,Servicos,bloqueado,ok,atenção,bloqueado,processamento documental | incorporação estruturada | fechar fila única,9 docs; chunks doc-0110,status chunks pendente; ações revisar candidatos,cedentes 0; critérios 0; sub mínima não,9,doc-0110,pendente,0,0,False,3,2,2,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem cedente/sacado | sem critérios | sem sub mínima,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_53823295000162,2026-05,53823295000162,ITAÚ HIMALAIA PRIVATE MARKETS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITAD,novo_no_ime,alta,107.0,313853650.62,INTRAG DTVM LTDA.,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Servicos,bloqueado,ok,atenção,bloqueado,processamento documental | incorporação estruturada | fechar fila única,2 docs; chunks doc-0110,status chunks pendente; ações revisar candidatos,cedentes 0; critérios 0; sub mínima não,2,doc-0110,pendente,0,0,False,2,2,1,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem cedente/sacado | sem critérios | sem sub mínima,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_66790195000129,2026-05,66790195000129,ORIZ JURI LSN III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,novo_no_ime,alta,104.0,84949618.3,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ORIZ ASSET MANAGEMENT LTDA.,Servicos,bloqueado,ok,atenção,bloqueado,processamento documental | incorporação estruturada | fechar fila única,8 docs; chunks doc-0110,status chunks pendente; ações revisar candidatos,cedentes 0; critérios 0; sub mínima não,8,doc-0110,pendente,0,0,False,2,2,1,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem cedente/sacado | sem critérios | sem sub mínima,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_66282853000171,2026-05,66282853000171,BTG LEGATO CW II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,novo_no_ime,alta,101.0,59933941.0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,,bloqueado,bloqueado,bloqueado,bloqueado,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,0 docs; chunks n/d,status chunks n/d; ações n/d,cedentes 0; critérios 0; sub mínima não,0,,,0,0,False,1,2,1,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_66120764000129,2026-05,66120764000129,BS2 FUNDO DE INVESTIMENTO FINANCEIRO,novo_no_ime,alta,101.0,56028166.65,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBS ASSET MANAGEMENT - ADMINISTRADORA DE RECURSOS LTDA,,bloqueado,bloqueado,bloqueado,bloqueado,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,0 docs; chunks n/d,status chunks n/d; ações n/d,cedentes 0; critérios 0; sub mínima não,0,,,0,0,False,1,2,1,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_65813874000103,2026-05,65813874000103,POLO CAPITAL YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,novo_no_ime,alta,101.0,53648284.37,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,POLO CAPITAL GESTÃO DE RECURSOS LTDA,,bloqueado,ok,atenção,bloqueado,processamento documental | incorporação estruturada | fechar fila única,2 docs; chunks doc-0079,status chunks pendente; ações revisar candidatos,cedentes 0; critérios 0; sub mínima não,2,doc-0079,pendente,0,0,False,3,2,2,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem cedente/sacado | sem critérios | sem sub mínima,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_66710965000186,2026-05,66710965000186,PONTAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,novo_no_ime,alta,101.0,47556117.79,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,UJAY CAPITAL INVESTIMENTOS LTDA,,bloqueado,bloqueado,bloqueado,bloqueado,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,0 docs; chunks n/d,status chunks n/d; ações n/d,cedentes 0; critérios 0; sub mínima não,0,,,0,0,False,2,2,2,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_66571503000125,2026-05,66571503000125,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NEXA CITRINO - RESPONSABILIDADE LIMITADA,novo_no_ime,alta,101.0,40352658.18,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,NEXA FINANCE LTDA.,Financeiro,bloqueado,ok,atenção,bloqueado,processamento documental | incorporação estruturada | fechar fila única,2 docs; chunks doc-0110,status chunks pendente; ações revisar candidatos,cedentes 0; critérios 0; sub mínima não,2,doc-0110,pendente,0,0,False,2,2,1,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem cedente/sacado | sem critérios | sem sub mínima,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
202605_61942198000117,2026-05,61942198000117,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS HAM - RESPONSABILIDADE LIMITADA,novo_no_ime,alta,101.0,30336116.32,BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,Financeiro,bloqueado,ok,atenção,bloqueado,processamento documental | incorporação estruturada | fechar fila única,7 docs; chunks doc-0110,status chunks pendente; ações revisar candidatos,cedentes 0; critérios 0; sub mínima não,7,doc-0110,pendente,0,0,False,3,2,2,monthly_delta | snapshot_gap,novo_no_ime | completar camadas estruturadas,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem cedente/sacado | sem critérios | sem sub mínima,pendente,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv
