year,period,investor_bucket,offers,registered_volume_brl,placed_volume_proxy_brl,total_offers,total_volume,offer_share,volume_share
2024,2024,1 investidor,331,23634618358.03,17561424157.301907,1227,109532641355.51,0.2697636511817441,0.21577694160884095
2024,2024,2 investidores,181,14119136726.89,10198706406.726723,1227,109532641355.51,0.14751426242868787,0.12890346249446802
2024,2024,21+ investidores,152,36227041034.25,31067586073.733696,1227,109532641355.51,0.12387938060309699,0.3307419650062845
2024,2024,3-5 investidores,274,13282742657.57,9334019270.03245,1227,109532641355.51,0.22330888345558272,0.12126743674936327
2024,2024,6-20 investidores,289,22269102578.77,17911954389.789627,1227,109532641355.51,0.23553382233088835,0.20331019414104326
2025,2025,1 investidor,402,20275884539.19,14982568099.367466,1447,124917413878.28,0.2778161713890809,0.1623143155921151
2025,2025,2 investidores,214,9900409626.79,7985478274.069258,1447,124917413878.28,0.14789219073946094,0.07925564034200226
2025,2025,21+ investidores,169,56339793193.31,47331821078.22394,1447,124917413878.28,0.11679336558396683,0.4510163270607548
2025,2025,3-5 investidores,306,12424652086.78,9098596702.343473,1447,124917413878.28,0.21147201105736005,0.09946293075588827
2025,2025,6-20 investidores,356,25976674432.21,20243688266.74261,1447,124917413878.28,0.2460262612301313,0.2079507862492396
2026,2026YTD,1 investidor,63,2958816850.71,2737804444.1180634,209,33582962565.75,0.3014354066985646,0.08810470026035125
2026,2026YTD,2 investidores,34,1255860495.04,1080016328.1646647,209,33582962565.75,0.16267942583732056,0.03739576258590137
2026,2026YTD,21+ investidores,31,23379169046.79,21483788006.70155,209,33582962565.75,0.14832535885167464,0.6961616028072978
2026,2026YTD,3-5 investidores,37,2471523164.81,2136958161.327874,209,33582962565.75,0.17703349282296652,0.073594554380697
2026,2026YTD,6-20 investidores,44,3517593008.4,3252486228.534658,209,33582962565.75,0.21052631578947367,0.10474337996575266
