year,period,investor_type,investor_accounts,offers_present,placed_volume_proxy_brl,offers_total,offer_presence_share,value_share
2024,2024,Pessoa natural,50634.0,361,5039274235.378769,1227,0.29421352893235536,0.0577574961204082
2025,2025,Pessoa natural,118400.0,396,5939333434.322675,1447,0.2736696613683483,0.05918463301299239
2026,2026YTD,Pessoa natural,13469.0,44,1101091532.5307164,209,0.21052631578947367,0.03587345249902517
2024,2024,Fundos de investimento,8159.0,931,50948058287.36827,1227,0.758761206193969,0.5839396987399368
2025,2025,Fundos de investimento,11745.0,1127,66822263189.808655,1447,0.778852798894264,0.6658745745998733
2026,2026YTD,Fundos de investimento,1820.0,167,22567871128.501083,209,0.7990430622009569,0.7352589943832127
2024,2024,Instituições financeiras,217.0,173,19359716083.67704,1227,0.14099429502852487,0.22189082680695496
2025,2025,Instituições financeiras,404.0,218,20694688831.54886,1447,0.15065653075328264,0.2062197008060332
2026,2026YTD,Instituições financeiras,44.0,35,6579821064.307967,209,0.1674641148325359,0.2143699151514022
2024,2024,Demais pessoas jurídicas,6396.0,215,8400119646.084646,1227,0.1752241238793806,0.09627772873790261
2025,2025,Demais pessoas jurídicas,24074.0,231,5641988737.658148,1447,0.15964063579820317,0.05622163439621975
2026,2026YTD,Demais pessoas jurídicas,765.0,22,280813178.38458586,209,0.10526315789473684,0.00914886539244066
2024,2024,Previdência,8.0,4,369850000.76,1227,0.0032599837000814994,0.00423902510287239
2025,2025,Previdência,33.0,11,264468126.16648197,1447,0.007601935038009675,0.0026353881565805743
2026,2026YTD,Previdência,0.0,0,0.0,209,0.0,0.0
2024,2024,Seguradoras,3.0,3,14328000.0,1227,0.0024449877750611247,0.0001642199582240055
2025,2025,Seguradoras,4.0,3,3799000.0,1447,0.002073255010366275,3.785650751934914e-05
2026,2026YTD,Seguradoras,3.0,2,13174000.0,209,0.009569377990430622,0.0004292076083229473
2024,2024,Investidor estrangeiro,42.0,25,2747155706.164516,1227,0.020374898125509373,0.0314864457915393
2025,2025,Investidor estrangeiro,42.0,25,855262245.4722934,1447,0.017277125086385625,0.008522569525332273
2026,2026YTD,Investidor estrangeiro,0.0,0,0.0,209,0.0,0.0
2024,2024,Clubes de investimento,97.0,13,370332804.34,1227,0.010594947025264874,0.004244558742161753
2025,2025,Clubes de investimento,16.0,8,130824000.0,1447,0.0055286800276434,0.001303642995449153
2026,2026YTD,Clubes de investimento,31.0,1,151000000.0,209,0.004784688995215311,0.0049195649655962535
