competencia,n_veiculos,n_registros_classe,n_registros_fundo,pl_total,pl_fic_fidc,ativo_total,carteira_dc,dc_inadimplentes,dc_a_vencer_com_parcela_inad,inad_pct,dc_inadimplentes_ajustado,inad_pct_ajustada,carteira_dc_np,inad_pct_ajustada_ex_np,pl_condominio_aberto,pl_condominio_fechado,pl_exclusivo,x4_linhas_descartadas,x4_valor_descartado,captacoes,resgates,amortizacoes,captacao_liquida,cotistas_total,vl_cotas_total,vl_cotas_subordinadas,subordinacao_pct,x2_pl_coberto,vl_recompras,vl_substituicoes
2013-01,412,0,412,69051990816.48001,800653010.1200001,69867057960.02,58154196617.36,1404607301.44,7485101654.349999,0.024153154598316663,941709204.89,0.016193314664566857,5251514302.800001,0.014340649572719305,27815281950.47,40805193215.39,1629260982.7,0,0.0,5084899927.440001,5661826395.22,1120767875.68,-1697694343.4599998,21460,68977315497.3,20040807914.050003,0.29054201036331234,69014900443.99,148775875.56,4721094.92
2013-02,414,0,414,70227445134.45999,848588423.04,69603606938.53,56748719854.649994,1399748067.18,7678902884.33,0.024665720579515497,883098094.4199998,0.01556155093334037,4745497513.44,0.0136846564407232,28557538560.27,41233692319.69,1510546465.26,0,0.0,5216945175.05,3504972744.57,1575191423.03,136781007.45000005,9087,69247459897.20001,20093580519.51,0.29017065101506306,70191474912.33,158919374.16000003,3016511.91
2013-03,417,0,417,68095643741.270004,862038911.46,70566826882.37,58189105913.31,1362913275.78,7302809869.889999,0.023422138119985298,828254063.5799999,0.01423383381786156,5380146016.559999,0.01281556903948132,27845766209.83,39836299310.82,1612992481.72,0,0.0,12719428365.28,1206436096.55,1278089132.5,10234903136.230001,8601,67999338058.130005,20647493026.690002,0.30364255912372645,68087407083.61001,111260853.64,0.0
2013-04,419,0,419,70202431319.89,860474601.02,70729291105.53,57638595743.83,1560748646.6799998,7255500679.029999,0.027078186526552778,911395163.6800001,0.015812237475920143,5283405998.98,0.014820247577964785,30611940545.1,39171301992.79,1696948243.03,1,3999999998.0,7205553244.160001,5903227871.6,1312626304.06,-10300931.499999523,8829,67291025648.850006,20266891284.16,0.30118267761172635,69139475964.45999,202081193.37,0.0
2013-05,417,0,417,82130414632.10999,862395462.0300001,82912108669.75,62893334368.03,1459858187.62,7416524547.35,0.023211651954679578,787542866.0500001,0.012521881276663949,5445799891.89,0.011450302229475214,42904885817.21,38801032970.9,1700641536.27,0,0.0,17730653663.82,4920909392.85,1212693239.8300002,11597051031.14,8787,81289782578.97,19431752312.61,0.23904298542972208,81221172334.81,144009099.25,0.0
2013-06,415,0,415,93007240019.91,849984105.9,94965724312.34999,65218220759.100006,1511337336.85,7266984842.59,0.023173544436799445,753236883.22,0.011549485319482588,5270939297.939999,0.010425482429673241,53545455016.58,39057515619.92,2081372036.03,0,0.0,15594812792.98,4701798356.71,671395356.92,10221619079.35,8817,91875309020.3461,19630280227.9461,0.21366219539570644,91737649813.29001,292282443835344.6,0.0
2013-07,420,0,420,89103816885.98001,1044745892.23,90356978265.29001,71468967934.53,1543161393.83,6956433348.82,0.02159204810741959,827504185.62,0.011578510359601737,5265720118.049999,0.009755123995581915,50103901616.33,38590097494.85,1710031446.55,0,0.0,8618062739.39,11653787561.929998,794241165.89,-3829965988.429999,8451,89046772525.1893,18943182292.2893,0.21273294646283453,88978825834.62,147110312.25,0.0
2013-08,420,0,420,83429386915.90001,1028281053.9300001,84150423349.95999,71669265369.41,1625456421.42,6716953538.11,0.022679964878135617,822921803.3000001,0.011482213457307754,5520439691.289999,0.009656042462765508,44404653236.38,38609909380.28,1813458736.5,0,0.0,9824992182.83,15451122153.0,652222823.07,-6278352793.24,8390,83614122803.32349,18825952553.903496,0.2251527842752804,83381436443.79001,166104798.76,0.0
2013-09,419,0,419,81646833715.91,1027330408.5100001,82152492969.89,70695158070.64,1813016437.42,6992264939.14,0.025645553201937794,976432317.59,0.01381186978342038,5893713036.89,0.010816850667063541,42385184060.17,38967377297.62,1717290082.69,0,0.0,7555694610.889999,9718433976.99,1146877048.17,-3309616414.2700005,8324,81457829678.75919,19426836438.059196,0.23848949222771776,81379003672.70999,124626967.03,6115129.76
2013-10,428,0,428,78563682492.29,1301696131.75,79372647279.99,67261239026.95,1991467181.94,7006695138.72,0.029607946727565723,1155009211.1299999,0.01717198832253469,6137751348.34,0.01462580020728833,39517777078.88,38771262011.68,1963547376.03,0,0.0,1750249620.68,925930784.4499999,1522513702.46,-698194866.2299999,8456,78119240311.90001,19161111207.739998,0.24528030650627256,78536249248.14,206353175.51999998,0.0
2013-11,430,0,430,83088917751.1,1372636086.9299998,83856075137.49,71698572187.73,2010705014.07,6147930522.220001,0.028043864092653414,1132406729.42,0.015793992751417615,6444462287.62,0.013169180849535295,44468461998.66,38440331673.8,1869299116.41,0,0.0,1446437938.41,1252375004.3400002,956220451.04,-762157516.97,8534,82784382286.61,19114857007.77,0.23089931312879702,82741929593.21,145099079.3,0.0
2013-12,430,0,430,84521499149.37,1631880191.59,85235173661.1,71271286345.85,2236480079.34,6298680981.530001,0.03137981919517054,1298772267.57,0.018222938495421517,7309220464.76,0.015377360836007421,44787885397.939995,39733613751.43,1796668706.93,0,0.0,4014174604.15,29113581291.91,851679058.52,-25951085746.28,9410,84258235501.123,19509246992.583,0.23154112920300804,84304331063.03,163068245.84999996,0.0
2014-01,431,0,431,85879786096.91,1660637709.9400003,87036131184.6,67414729896.549995,2616403114.54,4990512281.599999,0.03881055547585746,1673515647.19,0.024824183820925515,7153915012.84,0.021027000148856764,46270783514.08,39609002582.83,1780299820.98,0,0.0,12786234794.17,10977306596.160002,929940591.48,878987606.5299983,8713,85495587020.1673,19095998769.6473,0.223356543129446,85511143478.5,169980996.76000002,0.0
2014-02,430,0,430,80087063970.5,1673564710.2299998,88675619371.09999,69263522411.29001,2635097340.0200005,4984996737.360001,0.03804451821512441,1786582781.81,0.02579399256077663,6990523213.75,0.022272389483286522,41136891177.21,38950172793.29,7181025384.78,0,0.0,12253804043.539999,11397413432.77,801296241.73,55094369.03999853,8681,79683247316.86002,19014041955.35,0.2386203197736252,79689731387.01,225004935.76000002,0.0
2014-03,435,0,435,82008316621.08,1691884977.3500001,82914988107.26001,68819634054.05,2592350082.42,5160394962.98,0.0376687571512514,1662621888.4899998,0.024159121322618472,7130130389.719999,0.020682527595983,43602540459.24,38405776161.84,7053066502.6,0,0.0,28477183513.59,28999940323.02,1101981416.79,-1624738226.2200003,8717,78174118507.00821,19078008781.730003,0.24404507714429405,81387415543.1,155852878.74,0.0
2014-04,436,0,436,76178864842.94,1691007748.53,91560388178.52,64012437402.12,2683698467.4300003,5209713184.809999,0.04192464115326938,1642593630.69,0.02566053875392034,6998058535.289999,0.02233408040126561,37448951410.22,38729913432.72,6810791203.91,0,0.0,21249917762.59,16332686438.430002,781915273.73,4135316050.429998,10014,82288789818.06981,19119224829.48,0.23234300652312675,75960894611.05,177504002.46,0.0
