year,period,originator_group,offers,funds,volume_brl,evidence_sample,share_of_identified,share_of_total,identified_volume_coverage,rank,confidence
2024,2024,CloudWalk,5,5,4144163000.0,campo_1: \bCLOUDWALK\b,0.16080665903399913,0.03641129933887152,0.2264290518663977,1,alta - regra nominal auditável
2024,2024,Stone,3,2,3628250000.0,campo_2: \bSISTEMA\s+STONE\b | campo_1: \bSTONE\b,0.14078759948392652,0.03187840266569162,0.2264290518663977,2,alta - regra nominal auditável
2024,2024,Banco BV,1,1,3510000000.0,campo_1: \bFIDC\s+BV\s+AUTO\b,0.13619912469884438,0.0308394386705926,0.2264290518663977,3,alta - regra nominal auditável
2024,2024,Mercado Pago / Mercado Crédito,3,3,1805000000.0,campo_2: \bMERCADO\s+(?:PAGO|CREDITO)\b | campo_1: \bMERCADO\s+(?:PAGO|CREDITO)\b,0.0700397208209157,0.015859027578467133,0.2264290518663977,4,alta - regra nominal auditável
2024,2024,BRB,6,4,1790956730.29,campo_2: \bBRB\b,0.0694947974470092,0.015735641095573648,0.2264290518663977,5,alta - regra nominal auditável
2024,2024,Solfácil,2,2,1531830000.0,campo_1: \bSOLFACIL\b | campo_1: \bSOL\s+AGORA\b,0.05943985902775805,0.013458910922727595,0.2264290518663977,6,alta - regra nominal auditável
2024,2024,D365,1,1,1500000000.0,campo_1: \bD365\b,0.05820475414480528,0.013179247295125042,0.2264290518663977,7,alta - regra nominal auditável
2024,2024,ICred,3,1,1193965000.0,campo_1: \bICRED\b,0.046329626188334964,0.010490373331149314,0.2264290518663977,8,alta - regra nominal auditável
2024,2024,PagSeguro,1,1,1000000000.0,campo_1: \bPAGSEGURO\b,0.03880316942987019,0.008786164863416695,0.2264290518663977,9,alta - regra nominal auditável
2024,2024,Creditas,4,3,931726000.0,campo_1: \bCREDITAS\b,0.036153921840215236,0.008186298243531783,0.2264290518663977,10,alta - regra nominal auditável
2024,2024,AgroGalaxy,2,1,910000000.0,campo_1: \bAGROGALAXY\b,0.035310884181181876,0.007995410025709193,0.2264290518663977,11,alta - regra nominal auditável
2024,2024,Pravaler,5,3,895200000.0,campo_1: \bCREDITO\s+UNIVERSITARIO\b,0.034736597273619794,0.007865374785730626,0.2264290518663977,12,alta - regra nominal auditável
2024,2024,Bayer,1,1,800000000.0,campo_1: \bCITI[ -]?BAYER\b,0.031042535543896153,0.0070289318907333555,0.2264290518663977,13,alta - regra nominal auditável
2024,2024,PicPay,1,1,700000000.0,campo_1: \bPICPAY\b,0.027162218600909133,0.006150315404391687,0.2264290518663977,14,alta - regra nominal auditável
2024,2024,Sabemi,2,2,562000000.0,campo_1: \bSABEMI\b,0.021807381219587047,0.004937824653240183,0.2264290518663977,15,alta - regra nominal auditável
2024,2024,Verdecard,1,1,400000000.0,campo_1: \bVERDECARD\b,0.015521267771948077,0.0035144659453666778,0.2264290518663977,16,alta - regra nominal auditável
2024,2024,Lavoro,1,1,248000000.0,campo_1: \bLAVORO\b,0.009623186018607807,0.0021789688861273402,0.2264290518663977,17,alta - regra nominal auditável
2024,2024,Cielo,2,1,220000000.0,campo_2: \bCIELO\b,0.008536697274571441,0.0019329562699516728,0.2264290518663977,18,alta - regra nominal auditável
2025,2025,CloudWalk,2,2,7341592653.59,campo_2: \bCLOUDWALK\b | campo_1: \bCLOUDWALK\b,0.23666251234902197,0.05607788401625606,0.23695296504566074,1,alta - regra nominal auditável
2025,2025,Banco Santander,1,1,3000000000.0,campo_1: \bSANTANDER\s+AUTO\b,0.09670756340586205,0.02291514389136025,0.23695296504566074,2,alta - regra nominal auditável
2025,2025,Banco Pine,2,2,2250000000.0,campo_1: \bPINE\s+INSS\b,0.07253067255439653,0.017186357918520186,0.23695296504566074,3,alta - regra nominal auditável
2025,2025,Agibank,1,1,2000000000.0,campo_1: \bAGIBANK\b,0.06447170893724137,0.015276762594240167,0.23695296504566074,4,alta - regra nominal auditável
2025,2025,Stellantis,2,2,1800000000.0,campo_1: \bSTELLANTIS\b,0.058024538043517225,0.01374908633481615,0.23695296504566074,5,alta - regra nominal auditável
2025,2025,Banco BV,1,1,1500000000.0,campo_1: \bFIDC\s+BV\s+AUTO\b,0.048353781702931024,0.011457571945680124,0.23695296504566074,6,alta - regra nominal auditável
2025,2025,Banco Volkswagen,1,1,1500000000.0,campo_1: \bDRIVER(?:\s+MASTER)?\s+BRASIL\b,0.048353781702931024,0.011457571945680124,0.23695296504566074,7,alta - regra nominal auditável
2025,2025,Mercado Pago / Mercado Crédito,1,1,1500000000.0,campo_2: \bMERCADO\s+(?:PAGO|CREDITO)\b,0.048353781702931024,0.011457571945680124,0.23695296504566074,8,alta - regra nominal auditável
2025,2025,ICred,3,3,1469268000.0,campo_1: \bICRED\b,0.04736310942340137,0.01122282921165703,0.23695296504566074,9,alta - regra nominal auditável
2025,2025,Creditas,2,1,1250000000.0,campo_1: \bCREDITAS\b | campo_2: \bCREDITAS\b,0.040294818085775855,0.009547976621400105,0.23695296504566074,10,alta - regra nominal auditável
2025,2025,Cielo,1,1,1000000000.0,campo_1: \bCIELO\b,0.032235854468620685,0.007638381297120083,0.23695296504566074,11,alta - regra nominal auditável
2025,2025,Bayer,2,1,900000000.0,campo_1: \bCITI[ -]?BAYER\b,0.029012269021758613,0.006874543167408075,0.23695296504566074,12,alta - regra nominal auditável
2025,2025,iFood,2,2,772000000.0,campo_1: \bIFOOD\b,0.024886079649775166,0.005896830361376704,0.23695296504566074,13,alta - regra nominal auditável
2025,2025,Lavoro,1,1,730000000.0,campo_1: \bLAVORO\b,0.023532173762093097,0.00557601834689766,0.23695296504566074,14,alta - regra nominal auditável
2025,2025,Minerva,2,1,720000000.0,campo_1: \bMINERVA\b,0.023209815217406893,0.00549963453392646,0.23695296504566074,15,alta - regra nominal auditável
2025,2025,Solfácil,1,1,700000000.0,campo_1: \bSOL\s+AGORA\b,0.022565098128034478,0.005346866907984058,0.23695296504566074,16,alta - regra nominal auditável
2025,2025,Pravaler,3,3,588000000.0,campo_1: \bCREDITO\s+UNIVERSITARIO\b,0.018954682427548962,0.004491368202706609,0.23695296504566074,17,alta - regra nominal auditável
2025,2025,MRV,1,1,570000000.0,campo_1: \bMRV\b,0.01837443704711379,0.0043538773393584475,0.23695296504566074,18,alta - regra nominal auditável
2025,2025,SumUp,2,2,522500000.0,campo_1: \bSUMUP\b,0.016843233959854306,0.003991054227745244,0.23695296504566074,19,alta - regra nominal auditável
2025,2025,Verdecard,1,1,400000000.0,campo_1: \bVERDECARD\b,0.012894341787448273,0.003055352518848033,0.23695296504566074,20,alta - regra nominal auditável
2025,2025,D365,2,2,330000000.0,campo_1: \bD365\b,0.010637831974644825,0.002520665828049627,0.23695296504566074,21,alta - regra nominal auditável
2025,2025,Asaas,1,1,95000000.0,campo_1: \bASAAS\b,0.003062406174518965,0.0007256462232264079,0.23695296504566074,22,alta - regra nominal auditável
2025,2025,Sabemi,1,1,59997907.68,campo_1: \bSABEMI\b,0.0019340838203942192,0.00045828689588924937,0.23695296504566074,23,alta - regra nominal auditável
2025,2025,Stone,1,1,23000000.0,campo_2: \bSISTEMA\s+STONE\b,0.0007414246527782757,0.0001756827698337619,0.23695296504566074,24,alta - regra nominal auditável
2026,2026YTD,CloudWalk,1,1,5500000000.0,campo_1: \bCLOUDWALK\b,0.22364464056696168,0.07318924201575938,0.3272568563691814,1,alta - regra nominal auditável
2026,2026YTD,Banco BV,1,1,3350000000.0,campo_1: \bBV\s+AUTO\b,0.1362199174362403,0.04457890195505344,0.3272568563691814,2,alta - regra nominal auditável
2026,2026YTD,Agibank,1,1,2500000000.0,campo_1: \bAGIBANK\b,0.10165665480316441,0.033267837279890626,0.3272568563691814,3,alta - regra nominal auditável
2026,2026YTD,Banco Volkswagen,1,1,2000000000.0,campo_1: \bBANCO\s+VOLKSWAGEN\b,0.08132532384253152,0.026614269823912504,0.3272568563691814,4,alta - regra nominal auditável
2026,2026YTD,Solfácil,3,3,1505500000.0,campo_1: \bSOL\s+AGORA\b | campo_1: \bSOLFACIL\b,0.061217637522465604,0.020033891609950137,0.3272568563691814,5,alta - regra nominal auditável
2026,2026YTD,Creditas,1,1,1500000000.0,campo_1: \bCREDITAS\b,0.06099399288189864,0.019960702367934378,0.3272568563691814,6,alta - regra nominal auditável
2026,2026YTD,Mercado Pago / Mercado Crédito,1,1,1500000000.0,campo_2: \bMERCADO\s+(?:PAGO|CREDITO)\b,0.06099399288189864,0.019960702367934378,0.3272568563691814,7,alta - regra nominal auditável
2026,2026YTD,Banco Pine,1,1,1250000000.0,campo_1: \bPINE\s+INSS\b,0.050828327401582205,0.016633918639945313,0.3272568563691814,8,alta - regra nominal auditável
2026,2026YTD,PicPay,1,1,1250000000.0,campo_1: \bPICPAY\b,0.050828327401582205,0.016633918639945313,0.3272568563691814,9,alta - regra nominal auditável
2026,2026YTD,PagSeguro,1,1,1000000000.0,campo_1: \bPAGSEGURO\b,0.04066266192126576,0.013307134911956252,0.3272568563691814,10,alta - regra nominal auditável
2026,2026YTD,ICred,1,1,731250000.0,campo_1: \bICRED\b,0.029734571529925587,0.00973084240436801,0.3272568563691814,11,alta - regra nominal auditável
2026,2026YTD,Pravaler,4,4,708335747.0,campo_1: \bCREDITO\s+UNIVERSITARIO\b | campo_1: \bPRAVALER\b,0.02880281700700824,0.009425919348290311,0.3272568563691814,12,alta - regra nominal auditável
2026,2026YTD,iFood,1,1,600000000.0,campo_1: \bIFOOD\b,0.024397597152759458,0.00798428094717375,0.3272568563691814,13,alta - regra nominal auditável
2026,2026YTD,Verdecard,1,1,450000000.0,campo_1: \bVERDECARD\b,0.01829819786456959,0.0059882107103803135,0.3272568563691814,14,alta - regra nominal auditável
