motivo,chave,cnpjs,detalhe,pl_envolvido
familia_de_fundos_com_tipos_divergentes,BTG PACTUAL,59595605000115; 60570464000165; 40771109000147; 62696791000193,"Agro, Indústria e Comércio vs Financeiro vs Outros",2051116138.34
foco_minoritario_no_mesmo_gestor_e_foco_oficial,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA. | Multicarteira Outros,62681110000113; 59385783000111; 35179032000180,"Poder Público em 4 fundos contra Crédito Corporativo em 1, Multicarteira Outros em 1, Fomento Mercantil em 1",1798817339.62
foco_minoritario_no_mesmo_gestor_e_foco_oficial,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA | Multicarteira Outros,46450551000158; 35654828000148; 54851950000159; 59550323000100,"Multicarteira Outros em 4 fundos contra Crédito Imobiliário em 1, Recebíveis Comerciais em 1, Multicarteira Financeiro em 1, Agronegócio em 1",1705747918.36
familia_de_fundos_com_tipos_divergentes,PCS II,53864681000100; 47463381000109; 39615917000136; 32388130000130,"Agro, Indústria e Comércio vs Outros",1646010474.46
foco_minoritario_no_mesmo_gestor_e_foco_oficial,JIVE HIGH YIELD GESTÃO DE RECURSOS LTDA. | Multicarteira Outros,55595137000128; 60261869000111,"Poder Público em 4 fundos contra Multicarteira Financeiro em 1, Recebíveis Comerciais em 1",1579038417.46
foco_minoritario_no_mesmo_gestor_e_foco_oficial,BTG PACTUAL ASSET MANAGEMENT S/A DTVM | Multicarteira Outros,59595605000115; 62696791000193; 52315385000180,"Multicarteira Outros em 6 fundos contra Adquirência em 1, Agronegócio em 1, Recebíveis Comerciais em 1",1301145547.9
foco_minoritario_no_mesmo_gestor_e_foco_oficial,BLESS CAPITAL GESTORA DE RECURSOS LTDA. | Multicarteira Outros,54029912000115; 51292131000120; 58304663000180,"Poder Público em 10 fundos contra Multicarteira Financeiro em 1, Recebíveis Comerciais em 1, Crédito Imobiliário em 1",1142519049.51
foco_minoritario_no_mesmo_gestor_e_foco_oficial,SUESTE CAPITAL GESTÃO DE RECURSOS LTDA | Multicarteira Outros,28481469000109; 51628065000117; 33512447000107; 59685331000155,"Multicarteira Financeiro em 3 fundos contra Poder Público em 1, Crédito Pessoal em 1, Fomento Mercantil em 1, Crédito Corporativo em 1",1077491792.78
familia_de_fundos_com_tipos_divergentes,ATACADO,26405874000112; 42265317000108,Financeiro vs Outros,1045326785.67
foco_minoritario_no_mesmo_gestor_e_foco_oficial,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA. | Multicarteira Outros,53073256000195; 22945880000101; 49161166000189,"Poder Público em 6 fundos contra Multicarteira Financeiro em 1, Multicarteira Outros em 1, Crédito Pessoal em 1",991751071.52
foco_minoritario_no_mesmo_gestor_e_foco_oficial,PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA | Multicarteira Outros,17015979000174; 17474548000176; 19424674000141; 51769350000158; 54075641000134; 11813230000196,"Recebíveis Comerciais em 5 fundos contra Crédito Imobiliário em 1, Adquirência em 1, Poder Público em 1, Multicarteira Outros em 1, Crédito Corporativo em 1, Agronegócio em 1",979672732.86
familia_de_fundos_com_tipos_divergentes,G5 SPECIAL,37120828000193; 26648770000139,Financeiro vs Outros,940629344.26
foco_minoritario_no_mesmo_gestor_e_foco_oficial,SMART AGRO INVESTIMENTOS LTDA. | Multicarteira Outros,36246327000195; 32156057000170; 53314518000166,"Poder Público em 4 fundos contra Fomento Mercantil em 1, Recebíveis Comerciais em 1, Multicarteira Outros em 1",843478667.49
foco_minoritario_no_mesmo_gestor_e_foco_oficial,SOLIS INVESTIMENTOS S A | Multicarteira Outros,29828733000109; 55633169000170; 57690544000140; 42794237000131,"Multicarteira Outros em 23 fundos contra Adquirência em 1, Crédito Consignado em 1, Recuperação em 1, Fomento Mercantil em 1",808933684.68
foco_minoritario_no_mesmo_gestor_e_foco_oficial,MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA. | Multicarteira Outros,40211675000102; 33823944000118; 33447973000122; 32525711000176,"Poder Público em 4 fundos contra Crédito Consignado em 1, Multicarteira Financeiro em 1, Crédito Imobiliário em 1, Agronegócio em 1",792341558.41
foco_minoritario_no_mesmo_gestor_e_foco_oficial,VERSAL FINANCE GESTÃO DE RECURSOS LTDA | Multicarteira Outros,30144066000116; 61529519000156,"Poder Público em 6 fundos contra Recuperação em 1, Recebíveis Comerciais em 1",775412329.71
foco_minoritario_no_mesmo_gestor_e_foco_oficial,RENOVA GESTORA DE RECURSOS LTDA | Multicarteira Outros,32113780000172,Multicarteira Outros em 4 fundos contra Recuperação em 1,765710103.17
foco_minoritario_no_mesmo_gestor_e_foco_oficial,VALORA RENDA FIXA LTDA. | Multicarteira Outros,17313316000136; 38267680000187; 57391545000193,"Poder Público em 3 fundos contra Multicarteira Outros em 1, Recuperação em 1, Multicarteira Agro, Indústria e Comércio em 1",720903734.94
foco_minoritario_no_mesmo_gestor_e_foco_oficial,OURO PRETO GESTÃO DE RECURSOS S.A. | Multicarteira Outros,28079873000150,Fomento Mercantil em 15 fundos contra Crédito Imobiliário em 1,717547129.56
familia_de_fundos_com_tipos_divergentes,ITAÚ POOL,61289587000195; 61289111000154,"Agro, Indústria e Comércio vs Outros",704120921.62
familia_de_fundos_com_tipos_divergentes,CHIMERA ALTERNATIVE,61085925000177; 53908929000180; 53908944000128; 49319863000115; 54875483000105; 56659005000185; 54679234000136; 51017188000111; 53311084000140; 55808689000177,"Agro, Indústria e Comércio vs Outros",671627823.51
familia_de_fundos_com_tipos_divergentes,JIVEMAUÁ BOSSANOVA,57377286000146; 60261869000111,"Agro, Indústria e Comércio vs Outros",666765078.93
familia_de_fundos_com_tipos_divergentes,CREDIT RESTRUCTURING,56544469000146; 54335957000118,"Agro, Indústria e Comércio vs Outros",656755427.23
familia_de_fundos_com_tipos_divergentes,POLÍGONO MASTER,55325522000155; 61290215000189; 59272723000192; 55327697000100,Financeiro vs Outros,623584547.85
foco_minoritario_no_mesmo_gestor_e_foco_oficial,ASAROCK ASSET MANAGEMENT LTDA. | Multicarteira Outros,46744586000108; 49427492000195; 57127130000107,"Poder Público em 4 fundos contra Recebíveis Comerciais em 1, Crédito Corporativo em 1, Multicarteira Outros em 1",596378994.9999999
foco_minoritario_no_mesmo_gestor_e_foco_oficial,BLUE SOLUTIONS ASSET MANAGEMENT LTDA. | Multicarteira Outros,53314997000110; 22003546000139; 57191922000140; 62447201000199,"Poder Público em 7 fundos contra Multicarteira Agro, Indústria e Comércio em 1, Crédito Pessoal em 1, Agronegócio em 1, Multicarteira Financeiro em 1",590165454.29
