review_scope,rank_reference,cnpj_fundo,nome_fidc,pl_max,competencia_pl_max,competencias_observadas,tipo_anbima_oficial,foco_anbima_oficial,document_id,document_reference_date,document_url,local_path,documentos_lidos,paginas_lidas,pagina_clausula,cedent_originator_explicit,evidence_summary,tipo_anbima_sugerido,foco_anbima_sugerido,tabela_ii_sugerida_documental,taxonomia_funcional_n1_sugerida,taxonomia_funcional_n2_sugerida,decision_status,confianca_documental,justificativa_curta,family_scores,perimeter_proposal,is_fic_fidc_suggested,manual_validation_reason,reading_method,source_limitations
outros_expansao_documental,Outros — PL máximo em 2025-12,55859549000128,ZETA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,4172307002.74,2025-12,"2025-12, 2024-12",Outros,Multicarteira Outros,,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=55859549000128,,,0,N/D,,,,,,,,pendente,baixa,Nenhum documento com camada de texto foi obtido; a leitura documental não pôde ser concluída.,,,False,Reprocessar quando houver documento legível.,sem_documento,Regulamento ausente no FundosNet ou PDF sem texto extraível.
outros_expansao_documental,Outros — PL máximo em 2023-12,53323654000112,POSITIVO IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO INVESTIMENTO NO EXTERIOR RESP LIMITADA,3002443914.92,2023-12,2023-12,N/D,N/D,,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53323654000112,,,0,N/D,,,,,,,,pendente,baixa,Nenhum documento com camada de texto foi obtido; a leitura documental não pôde ser concluída.,,,False,Reprocessar quando houver documento legível.,sem_documento,Regulamento ausente no FundosNet ou PDF sem texto extraível.
outros_expansao_documental,Outros — PL máximo em 2025-12,55344996000144,SCARLET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,2718756283.07,2025-12,"2025-12, 2024-12",Outros,Multicarteira Outros,1012738,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=55344996000144,data/raw/industry_outros_reclassification/55344996000144/1012738_regulamento.pdf,regulamento 1012738,54,regulamento 1012738 p. 21,,"regulamento 1012738 p. 21 [precatórios e requisitórios contra entes públicos]: ACAO DO RESPECTIVO CEDENTE. 3.2.2. OBSERVADO O DISPOSTO NO PRESENTE ANEXO, A CLASSE PODERA ADQUIRIR DO(S) CEDENTE(S) DIREITOS CREDITORIOS, TOTAL OU PARCIALMENTE: I –ORIGINARIOS DE PRECATORIOS OU AINDA CREDITOS DECORRENTES DE RECEITAS OU DIVIDAS PUBLICAS ORIGINARIAS OU DERIVADAS DA UNIAO, ESTADOS, DISTRITO FEDERAL E MUNICIPIOS, AUTARQUIAS E FUNDACOES; II - QUE ESTEJAM VENCIDOS E PENDENTES DE PAGAMENTO QUANDO DE SUA CESSAO PARA A CLASSE; III – QUE RESULTEM DE ACOES JUDICIAIS OU PROCEDIMENTOS ARBITRAIS EM CUR || CEDENTE/ORIGINADOR: regulamento 1012738 p. 18: CEDENTES: PESSOA JURIDICA E/OU FISICA, IDENTIFICADA PELO SEU NUMERO DE INSCRICAO NO CNPJ/MF OU CPF/MF OU FUNDOS DE INVESTIMENTO, CONFORME O CASO, QU",Outros,Poder Público,Ações judiciais,Judicial/Precatórios/NPL,Precatórios/direitos judiciais,aprovado,media,"A família precatórios e requisitórios contra entes públicos domina a definição do lastro (escore 8.8 contra 0.0 da família seguinte), com as ocorrências concentradas em definições, política de investimento e critérios de elegibilidade.",precatórios e requisitórios contra entes públicos=8.8,,False,,leitura_pagina_a_pagina_regulamento,A conclusão descreve o mandato permitido pelo regulamento; a materialidade efetiva depende da carteira da competência.
outros_expansao_documental,Outros — PL máximo em 2025-12,23954863000101,JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP,2421813713.29,2025-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Poder Público,796058,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=23954863000101,data/raw/industry_outros_reclassification/23954863000101/796058_regulamento.pdf,regulamento 796058,66,regulamento 796058 p. 4,,"regulamento 796058 p. 4 [precatórios e requisitórios contra entes públicos]: MEDIDAS, EXISTENTES OU FUTURAS, QUE SEJAM A ELES CONEXAS OU INCIDENTAIS OU DELES DECORRENTES, E OS RESPECTIVOS RECURSOS, EXISTENTES OU FUTUROS, EM QUALQUER INSTANCIA, INCLUINDO OS PRECATORIOS (CONFORME AD IANTE DEFINIDOS) QUE VENHAM A SER EXPEDIDOS NOS AUTOS DA REFERIDA ACAO JUDICIAL; (II) “ACAO RESCISORIA”: SIGNIFICA O PROCESSO N.O 1999.01.00.087314-2, ORA EM TRAMITE PERANTE O SUPREMO TRIBUNAL FEDERAL SOB O N.O 860.284, AJUIZADA PELA DEVEDORA EM FACE DA CEDENTE, COM O OBJETIVO DE RESCINDIR O ACORDAO DE ME || CEDENTE/ORIGINADOR: regulamento 796058 p. 5: CEDENTE E A JUS, CONTRATO ESTE QUE ESTIPULA AS CONDICOES INICIAIS PARA, APOS CUMPRIDAS DETERMINADAS PREMISSAS, SEJA FORMALIZADA A CESSAO EM DEFINITIVO DOS DIREITOS CREDITORIOS NOS TERMOS DO ",Outros,Poder Público,Ações judiciais,Judicial/Precatórios/NPL,Precatórios/direitos judiciais,aprovado,alta,"A família precatórios e requisitórios contra entes públicos domina a definição do lastro (escore 59.9 contra 0.0 da família seguinte), com as ocorrências concentradas em definições, política de investimento e critérios de elegibilidade.",precatórios e requisitórios contra entes públicos=59.9,,True,,leitura_pagina_a_pagina_regulamento,A conclusão descreve o mandato permitido pelo regulamento; a materialidade efetiva depende da carteira da competência.
outros_expansao_documental,Outros — PL máximo em 2025-12,18048642000126,BLC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,2412154585.34,2025-12,"2026-06, 2025-12",Outros,Poder Público,1200673,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=18048642000126,data/raw/industry_outros_reclassification/18048642000126/1200673_regulamento.pdf,regulamento 1200673,45,regulamento 1200673 p. 33,,"regulamento 1200673 p. 33 [precatórios e requisitórios contra entes públicos]:  PACTUAL SAC: 0800 772 28 27 - OUVIDORIA: 0800 722 00 48 - BTGPACTUAL.COM 24 CLASSE E, CONSEQUENTEMENTE, AOS SEUS COTISTAS; (III) APESAR DAS REGRAS DISCIPLINADAS PARA PAGAMENTO DE PRECATORIOS JUDICIAIS PREVISTAS NA CONSTITUICAO FEDERAL, NAO EXISTE OBICE PARA QUE A ENTIDADE DE DIREITO PUBLICO FACA O PAGAMENTO ANTECIPADO, O QUE, NA HIPOTESE DE NAO HAVER OUTROS DIREITOS CREDITORIOS NA CARTEIRA DA CLASSE, PODE ACARRETAR NA ANTECIPACAO DO PRAZO DE DURACAO EM RELACAO AQUELE ORIGINALMENTE ESTIPULADO NO ITEM 1.2 D || CEDENTE/ORIGINADOR: regulamento 1200673 p. 8: CEDENTE E OS COTISTAS",Outros,Poder Público,Ações judiciais,Judicial/Precatórios/NPL,Precatórios/direitos judiciais,aprovado,alta,"A família precatórios e requisitórios contra entes públicos domina a definição do lastro (escore 51.6 contra 0.0 da família seguinte), com as ocorrências concentradas em definições, política de investimento e critérios de elegibilidade.",precatórios e requisitórios contra entes públicos=51.6,,False,,leitura_pagina_a_pagina_regulamento,A conclusão descreve o mandato permitido pelo regulamento; a materialidade efetiva depende da carteira da competência.
outros_expansao_documental,Outros — PL máximo em 2026-06,22128298000152,VALORA GUARDIAN MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,2370125529.63,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,792566,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=22128298000152,data/raw/industry_outros_reclassification/22128298000152/792566_regulamento.pdf,regulamento 792566,30,"regulamento 792566 p. 3, regulamento 792566 p. 14, regulamento 792566 p. 14",,"regulamento 792566 p. 3 [créditos inadimplidos / NPL]: DO CONTRATO DE CREDITO DECORRENTE DE DETERIORACAO NA CLASSIFICA CAO DO RISCO DO TOMADOR, REDUCAO DE GANHOS OU REMUNERACOES, AS VANTAGENS CONCEDIDAS NA RENEGOCIACAO E AOS CUSTOS DA RECUPERACAO DE CREDITO. IV. RISCO DE PRECIFICACAO - AS COTAS DAS CLASSES INVESTIDAS PODERAO SOFRER COM AUMENTO OU REDUCAO NO SEU VALOR EM VIRTUDE DA PRECIFICACAO DOS ATIVOS FINANCEIROS DE SUAS RESPECTIVAS CARTEIRAS PELOS SEUS ADMINISTRADORES, OU TERCEIROS CONTRATADOS, O QUE IMPACTA DIRETAMENTE NA PRECIFICACAO DAS COTAS DA CLASSE. V. RISCO D | regulamento 792566 p. 14 [receitas e dívidas do poder público]: ADOS” ENTENDA-SE OS DIREITOS CREDITORIOS QUE POSSUAM AO MENOS UMA DAS SEGUINTES CARACTERISTICAS: (A) ESTEJAM VENCIDOS E PENDENTES DE PAGAMENTO QUANDO DA CESSAO; (B) DECORRENTES DE RECEITAS PUBLICAS ORIGINARIAS OU DERIVADAS DA UNIAO, DOS ESTADOS, DO DISTRITO FEDERAL E DOS MUNICIPIOS, BEM COMO DE SUAS AUTARQUIAS E FUNDACOES; (C) RESULTEM DE ACOES JUDICIAIS OU PROCEDIMENTOS ARBITRAIS EM CURSO, CONSTITUAM SEU OBJETO DE LITIGIO, TENHAM SIDO JUDICIALMENTE PENHORADOS OU DADOS EM GARANTIA; (D) A CONSTITUICAO OU VALIDADE | regulamento 792566 p. 14 [precatórios e requisitórios contra entes públicos]: ADE ESTEJA SUJEITA A PLANO DE RECUPERACAO HOMOLOGADO EM JUIZO, INDEPENDENTEMENTE DO TRANSITO EM JULGADO DA HOMOLOGACAO DO PLANO DE RECUPERACAO JUDICIAL OU EXTRAJUDICIAL; E (II) OS PRECATORIOS FEDERAIS, DESDE QUE CUMULATIVAMENTE ATENDAM AOS SEGUINTES REQUISITOS: (A) NAO APRESENTEM NENHUMA IMPUGNACAO, JUDICIAL OU NAO; E (B) JA TENHAM SIDO EXPEDIDOS E REMETIDOS AO TRIBUNAL REGIONAL FEDERAL COMPETENTE. PARAGRAFO PRIMEIRO – OS PERCENTUAIS E LIMITES DE COMPOSICAO E DE DIVERSIFICACAO ESTABELECIDOS NESTE CAPITULO ",Outros,Multicarteira Outros,N/D,Multissetorial / Outros,Multicarteira outros,em_revisao,baixa,"O documento foi lido integralmente, mas nenhuma família de direitos creditórios atingiu evidência suficiente na definição do lastro, na política de investimento ou nos critérios de elegibilidade.",créditos inadimplidos / NPL=5.0; receitas e dívidas do poder público=4.5; precatórios e requisitórios contra entes públicos=3.5,,False,"Confirmar o lastro predominante com prospecto, suplemento ou anexo descritivo antes de reclassificar.",leitura_pagina_a_pagina_regulamento,O regulamento não individualiza o lastro em cláusula decisiva.
outros_expansao_documental,Outros — PL máximo em 2026-06,55720253000121,ITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE ILIMITADA,2302518318.66,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,1198083,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=55720253000121,data/raw/industry_outros_reclassification/55720253000121/1198083_regulamento.pdf,regulamento 1198083,44,regulamento 1198083 p. 21,,"regulamento 1198083 p. 21 [precatórios e requisitórios contra entes públicos]: ES CONTIDAS NO RELATORIO TRIMESTRAL DA GESTORA A QUE SE REFERE O § 3O DO ARTIGO 27 DO ANEXO II DA RESOLUCAO CVM 175; E) NO CASO DE CLASSE DESTINADA AO PUBLICO EM GERAL QUE ADQUIRA PRECATORIOS FEDERAIS: 1. SE O PRECATORIO PERMANECE NA ORDEM DE PAGAMENTO DA UNIAO; E 2. SOBRE EVENTUAL EXISTENCIA DE IMPUGNACAO JUDICIAL OU FATOS SUPERVENIENTES CAPAZES DE ALTERAR A ORDEM OU O PRAZO DE PAGAMENTO DO PRECATORIO E AVALIACAO, FUNDAMENTADA, SOBRE A CHANCE DE EXITO DAS IMPUGNACOES. 10.2. A ADMINISTRADORA ESTA DISPENSAD || CEDENTE/ORIGINADOR: regulamento 1198083 p. 25: CEDENTES: PESSOA JURIDICA E/OU FISICA, IDENTIFICADA PELO SEU NUMERO DE INSCRICAO NO CNPJ/MF OU CPF/MF OU FUNDOS DE",Outros,Poder Público,Ações judiciais,Judicial/Precatórios/NPL,Precatórios/direitos judiciais,aprovado,alta,"A família precatórios e requisitórios contra entes públicos domina a definição do lastro (escore 35.0 contra 0.0 da família seguinte), com as ocorrências concentradas em definições, política de investimento e critérios de elegibilidade.",precatórios e requisitórios contra entes públicos=35.0,,False,,leitura_pagina_a_pagina_regulamento,A conclusão descreve o mandato permitido pelo regulamento; a materialidade efetiva depende da carteira da competência.
outros_expansao_documental,Outros — PL máximo em 2026-06,59929098000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XII,2207591119.67,2026-06,"2026-06, 2025-12",Outros,Multicarteira Outros,1251746,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=59929098000109,data/raw/industry_outros_reclassification/59929098000109/1251746_regulamento.pdf,regulamento 1251746,134,regulamento 1251746 p. 20,,"regulamento 1251746 p. 20 [financiamento de veículos]: ANEXO COMPLEMENTAR V DAS REGRAS E PROCEDIMENTOS DE ADMINISTRACAO E GESTAO DE RECURSOS DE TERCEIROS, DA ANBIMA, A CLASSE CLASSIFICA -SE COMO TIPO “FINANCEIRO”, COM FOCO DE ATUACAO “FINANCIAMENTO DE VEICULOS”. CAPITULO II - DO OBJETIVO DA CLASSE E DA POLITICA DE INVESTIMENTO",Financeiro,Financiamento de Veículos,Financeiro,Crédito PF,Auto/Veículos,aprovado,alta,"A família financiamento de veículos domina a definição do lastro (escore 83.0 contra 11.0 da família seguinte), com as ocorrências concentradas em definições, política de investimento e critérios de elegibilidade.",financiamento de veículos=83.0; créditos inadimplidos / NPL=11.0; banco emissor / cartão de crédito=4.0,,False,,leitura_pagina_a_pagina_regulamento,A conclusão descreve o mandato permitido pelo regulamento; a materialidade efetiva depende da carteira da competência.
outros_expansao_documental,Outros — PL máximo em 2026-06,40801446000130,EB VESTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2202074010.33,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=40801446000130,,,0,N/D,,,,,,,,pendente,baixa,Nenhum documento com camada de texto foi obtido; a leitura documental não pôde ser concluída.,,,False,Reprocessar quando houver documento legível.,sem_documento,Regulamento ausente no FundosNet ou PDF sem texto extraível.
outros_expansao_documental,Outros — PL máximo em 2025-12,61432674000150,MARNE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO - PADRONIZADOS,2185245638.12,2025-12,"2026-06, 2025-12",Outros,Multicarteira Outros,1011116,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=61432674000150,data/raw/industry_outros_reclassification/61432674000150/1011116_regulamento.pdf,regulamento 1011116,60,"regulamento 1011116 p. 35, regulamento 1011116 p. 35, regulamento 1011116 p. 12",,"regulamento 1011116 p. 35 [CCB e capital de giro]: O E DE PRESTACAO DE SERVICOS REPRESENTADOS POR (A) TITULOS DE CREDITO, TAIS COMO MAS NAO MAS LIMITADAMENTE A DUPLICATAS, NOTAS PROMISSORIAS, CHEQUES, DEBENTURES, NOTAS COMERCIAIS, CEDULAS DE CREDITO BANCARIO – CCB, RECEBIVEIS DE SACADOS ENTES PUBLICOS, RECEBIVEIS DE CARTAO DE CREDITO, CEDULA DE PRODUTOR RURAL COM LIQUIDACAO FINANCEIRA, DIREITOS CREDITORIOS . TODOS OS DIREITOS CREDITORIOS SERAO REPRESENTADOS PELOS DOCUMENTOS REPRESENTATIVOS DE CREDITO E DEVERAO SER ACEITOS PREVIA E FORMALMENTE PELA ADMINISTRADORA (TODOS DE | regulamento 1011116 p. 35 [crédito corporativo / mercado de capitais]: IAL, DO AGRONEGOCIO, FINANCEIRO E DE PRESTACAO DE SERVICOS REPRESENTADOS POR (A) TITULOS DE CREDITO, TAIS COMO MAS NAO MAS LIMITADAMENTE A DUPLICATAS, NOTAS PROMISSORIAS, CHEQUES, DEBENTURES, NOTAS COMERCIAIS, CEDULAS DE CREDITO BANCARIO – CCB, RECEBIVEIS DE SACADOS ENTES PUBLICOS, RECEBIVEIS DE CARTAO DE CREDITO, CEDULA DE PRODUTOR RURAL COM LIQUIDACAO FINANCEIRA, DIREITOS CREDITORIOS . TODOS OS DIREITOS CREDITORIOS SERAO REPRESENTADOS PELOS DOCUMENTOS REPRESENTATIVOS DE CREDITO E DEVERAO SER ACEITOS PRE | regulamento 1011116 p. 12 [precatórios e requisitórios contra entes públicos]: MAR, IMEDIATAMENTE, VIA COMUNICADO AO MERCADO OU FATO RELEVANTE, A DEPENDER DA RELEVANCIA, SOBRE QUAISQUER EVENTOS DE REAVALIACAO DO ATIVO NO QUE SE REFERE A CLASSE QUE ADQUIRA OS PRECATORIOS FEDERAIS PREVISTOS NO ART. 2O, § 1O , INCISO II , DO ANEXO NORMATIVO II DA RCVM 175 , OBSERVADAS AS EXIGENCIAS ATINENTES AO RESPECTIVO PUBLICO-ALVO. 1.1.8. O DOCUMENTO REFERIDO NA ALINEA “B” DEVE SER ENCAMINHADO MENSALMENTE, EM ATE 10 (DEZ) DIAS UTEIS APOS O ENCERRAMENTO DO MES A QUE SE REFERIREM. 1.2. DA GESTORA 1.2. || CEDENTE/ORIGINADOR: regulamento 1011116 p. 56: CEDENTE E A NATUREZA DO DIREITO CREDITORIO A SER ADQUIRIDO",Outros,Multicarteira Outros,N/D,Multissetorial / Outros,Multicarteira outros,aprovado,media,O mandato enumera 6 famílias de direitos creditórios sem predominância de um único tipo ANBIMA; a classificação multicarteira Outros é a leitura correta.,CCB e capital de giro=10.0; crédito corporativo / mercado de capitais=10.0; precatórios e requisitórios contra entes públicos=7.0; recebíveis comerciais / multissetorial=5.0; banco emissor / cartão de crédito=4.0; agronegócio=4.0,,False,,leitura_pagina_a_pagina_regulamento,Mandato multicarteira sem predominância mensurável no documento.
