cnpj_fundo,denominacao,pl_max,competencia_pl_max,competencias_observadas,anbima_tipo,anbima_foco,is_np
55859549000128,ZETA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,4172307002.74,2025-12,"2025-12, 2024-12",Outros,Multicarteira Outros,False
53323654000112,POSITIVO IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO INVESTIMENTO NO EXTERIOR RESP LIMITADA,3002443914.92,2023-12,2023-12,N/D,N/D,False
55344996000144,SCARLET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,2718756283.07,2025-12,"2025-12, 2024-12",Outros,Multicarteira Outros,True
23954863000101,JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP,2421813713.29,2025-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Poder Público,True
18048642000126,BLC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,2412154585.34,2025-12,"2026-06, 2025-12",Outros,Poder Público,True
22128298000152,VALORA GUARDIAN MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,2370125529.63,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
55720253000121,ITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE ILIMITADA,2302518318.66,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,True
59929098000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XII,2207591119.67,2026-06,"2026-06, 2025-12",Outros,Multicarteira Outros,False
40801446000130,EB VESTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2202074010.33,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
61432674000150,MARNE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO - PADRONIZADOS,2185245638.12,2025-12,"2026-06, 2025-12",Outros,Multicarteira Outros,False
