#,CNPJ,Fundo,PL de referência,Competência do PL,Cedente / originador,Devedor / sacado,Instrumento,Natureza econômica,Categoria Tabela II,Valor em Cartão,Tipo ANBIMA,Foco ANBIMA,Regulamento primário,cnpj_fundo
1,26.287.464/0001-14,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,41496046291.59,2026-06,Estabelecimentos credenciados e instituições financeiras parceiras,"Stone, Pagar.me e demais credenciadoras ou subadquirentes autorizadas do grupo Stone","UR, cessão eletrônica e contratos de sub-rogação","Créditos dos lojistas gerados por transações de pagamento, inclusive após sub-rogação por instituição financeira",Cartão de crédito,28186458808.25,Financeiro,Crédito Pessoal,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1066031&cvm=true,26287464000114
2,62.393.679/0001-83,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,10010957003.11,2026-06,CloudWalk Instituição de Pagamento e Serviços Ltda.,"Emissores agrupados por qualidade de crédito, incluindo grandes bancos e instituições de pagamento","Promessa de cessão, termos individuais e termo consolidado mensal",Créditos da credenciadora contra emissores de cartão pela liquidação de compras,Cartão de crédito,9443495620.98,Outros,Multicarteira Outros,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1117954,62393679000183
3,26.286.939/0001-58,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,6479950762.42,2026-06,Estabelecimentos credenciados da Cielo,Cielo S.A. – Instituição de Pagamento,"UR, contrato de credenciamento e cessão eletrônica",Créditos dos lojistas contra a Cielo gerados por compras com instrumentos de pagamento,Cartão de crédito,6096322521.75,Financeiro,Multicarteira Financeiro,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,26286939000158
4,28.169.275/0001-72,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,6234652185.61,2026-06,"Estabelecimentos credenciados, representados pelo PagSeguro",PagSeguro Internet S.A.,"UR, contrato PagBank e cessão eletrônica",Créditos dos lojistas contra o PagSeguro por transações de crédito e débito,Cartão de crédito,3951484670.94,Outros,Multicarteira Outros,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1149521&cvm=true,28169275000172
5,32.527.650/0001-86,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PICPAY I,4762640671.11,2026-06,"Usuários finais, clientes e estabelecimentos subcredenciados do PicPay",PicPay,Cessão eletrônica de direitos de transações de pagamento,"Créditos contra o PicPay originados por cash-in, pagamentos, boletos e compras processados no Sistema PicPay",Cartão de crédito,3800289166.59,Financeiro,Multicarteira Financeiro,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1203914&cvm=true,32527650000186
6,54.979.779/0001-68,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,3677016076.94,2026-06,Stone Instituição de Pagamento S.A.,"Emissores de cartões dos grupos Itaú, Bradesco, Santander, Caixa e Banco do Brasil",Cessão de recebíveis de liquidação,"Créditos da Stone contra emissores, líquidos das taxas do arranjo, gerados por transações no Sistema Stone",Cartão de crédito,3568445607.68,Financeiro,Multicarteira Financeiro,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=656484&cvm=true,54979779000168
7,50.473.039/0001-02,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,3656448188.16,2026-06,N/D,N/D,Direitos de transações de pagamento,Direitos ligados a transações de pagamento,Servicos,,Financeiro,Crédito Pessoal,brief_2026-07-21#Adquirência-SELLER,50473039000102
8,60.356.171/0001-80,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,3254537202.75,2026-06,CloudWalk,Emissores e instituições de pagamento,Direitos de transações de pagamento,"Crédito adquirido da CloudWalk contra emissores de cartões, originado por transações processadas no Sistema CloudWalk.",Comercial,,Financeiro,Multicarteira Financeiro,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=993687&cvm=true,60356171000180
9,55.471.753/0001-77,SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO RESP LTDA,2879663753.83,2026-06,N/D,N/D,Direitos de transações de pagamento,Direitos ligados a transações de pagamento,Servicos,,Financeiro,Crédito Pessoal,brief_2026-07-21#Adquirência-SELLER-2,55471753000177
10,57.609.282/0001-46,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,2700487143.69,2026-06,CloudWalk,Emissores e instituições de pagamento,Direitos de transações de pagamento,"Crédito adquirido da CloudWalk contra emissores de cartões, originado por transações processadas no Sistema CloudWalk.",Comercial,,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=993693&cvm=true,57609282000146
