regra,cnpj_fundo,nome_fidc,competencias_afetadas,pl_max,classificacao_atual,classificacao_potencial,motivo,evidencia,acao_sugerida
aprovado_sem_evidencia_suficiente,62393679000183,CLOUDWALK BELA,"2026-03, 2026-04, 2026-05, 2026-06",10010957003.11,Financeiro | Cartão de crédito | Cartão de crédito | Meios de Pagamento e Cartões | Banco emissor/cartão de crédito,em revisão até haver leitura documental,"Decisão aprovada com evidência de 12 caracteres, abaixo do mínimo de 120.",Cloudwalk IP,revisar manualmente
aprovado_sem_evidencia_suficiente,53286499000101,ITAÚ CRÉDITO PRIVADO,"2026-03, 2026-04, 2026-05, 2026-06",8719298749.48,Fomento Mercantil | Fomento Mercantil | Comercial | Crédito PJ | Recebíveis comerciais/multissetorial,em revisão até haver leitura documental,"Decisão aprovada com evidência de 24 caracteres, abaixo do mínimo de 120.",Multicedente/Multisacado,revisar manualmente
aprovado_sem_evidencia_suficiente,61285603000171,MAROBÁ FIDC,"2026-03, 2026-04, 2026-05, 2026-06",8529609659.07,Financeiro | Multicarteira Financeiro | Financeiro | Multissetorial / Outros | Multicarteira financeiro,em revisão até haver leitura documental,"Decisão aprovada com evidência de 27 caracteres, abaixo do mínimo de 120.",Itaú Unibanco (Veículo IOF),revisar manualmente
aprovado_sem_evidencia_suficiente,53216449000158,RIO VERMELHO FIDC NP,"2026-03, 2026-04, 2026-05, 2026-06",7750505295.46,Outros | Recuperação | N/D | Judicial/Precatórios/NPL | Não padronizado/NPL,em revisão até haver leitura documental,"Decisão aprovada com evidência de 12 caracteres, abaixo do mínimo de 120.",Special Sits,revisar manualmente
aprovado_sem_evidencia_suficiente,28169275000172,PAGSEGURO I,"2026-03, 2026-04, 2026-05, 2026-06",7246308426.69,Financeiro | Adquirência | Adquirência | Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,em revisão até haver leitura documental,"Decisão aprovada com evidência de 26 caracteres, abaixo do mínimo de 120.",PagSeguro IP (Adquirência),revisar manualmente
aprovado_sem_evidencia_suficiente,29225241000110,ALTERNATIVE ASSETS III BTG,"2026-03, 2026-04, 2026-05, 2026-06",5861437942.62,Outros | Poder Público | Ações judiciais | Judicial/Precatórios/NPL | Precatórios/direitos judiciais,em revisão até haver leitura documental,"Decisão aprovada com evidência de 82 caracteres, abaixo do mínimo de 120.","Precatórios BTG (Whirlpool Brastemp, Usina Central Paraná, Sertrading e Comexport)",revisar manualmente
aprovado_sem_evidencia_suficiente,42922136000107,MONEE I,"2026-03, 2026-04, 2026-05, 2026-06",5751418460.99,Financeiro | Crédito PF | Cartão de crédito | Crédito PF | Crédito PF parcelado / BNPL,em revisão até haver leitura documental,"Decisão aprovada com evidência de 42 caracteres, abaixo do mínimo de 120.",SHPPP Brasil IP (Shopee BNPL – Crédito PF),revisar manualmente
aprovado_sem_evidencia_suficiente,34197588000137,DAY MAXX 2,"2026-03, 2026-04, 2026-05, 2026-06",4165222373.51,Fomento Mercantil | Fomento Mercantil | Factoring | Crédito PJ | Recebíveis comerciais/multissetorial,em revisão até haver leitura documental,"Decisão aprovada com evidência de 44 caracteres, abaixo do mínimo de 120.",Daycoval Duplicatas Multicedente/Multisacado,revisar manualmente
aprovado_sem_evidencia_suficiente,12817329000129,HAVAN FIDC,"2026-03, 2026-04, 2026-05, 2026-06",4062998535.96,Financeiro | Multicarteira Financeiro | Financeiro | Multissetorial / Outros | Multicarteira financeiro,em revisão até haver leitura documental,"Decisão aprovada com evidência de 78 caracteres, abaixo do mínimo de 120.",Havan S.A. (Cedente) e BMP SCD (Bancarizadora) – Arranjo Fechado (Adquirência),revisar manualmente
aprovado_sem_evidencia_suficiente,17250006000110,RED REAL LP,"2026-03, 2026-04, 2026-05, 2026-06",3645802129.23,Fomento Mercantil | Fomento Mercantil | Factoring | Crédito PJ | Recebíveis comerciais/multissetorial,em revisão até haver leitura documental,"Decisão aprovada com evidência de 9 caracteres, abaixo do mínimo de 120.",Factoring,revisar manualmente
aprovado_sem_evidencia_suficiente,07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,"2026-03, 2026-04, 2026-05, 2026-06",3631317864.88,Outros | Recuperação | N/D | Judicial/Precatórios/NPL | Não padronizado/NPL,em revisão até haver leitura documental,"Decisão aprovada com evidência de 63 caracteres, abaixo do mínimo de 120.","Multicedente/Multisacado (Special Sits, Precatórios, NPL, CCBs)",revisar manualmente
aprovado_sem_evidencia_suficiente,29301202000155,RSCRED MULTIESTRATÉGIA FIDC,"2026-03, 2026-04, 2026-05, 2026-06",3604839909.91,Outros | Poder Público | Ações judiciais | Judicial/Precatórios/NPL | Precatórios/direitos judiciais,em revisão até haver leitura documental,"Decisão aprovada com evidência de 76 caracteres, abaixo do mínimo de 120.",Special Sits - Precatórios INCRA x Fazenda São Bernardino (Nova Iguaçu – RJ),revisar manualmente
aprovado_sem_evidencia_suficiente,48349509000170,OCCAM CRÉDITO CORP 30,"2026-03, 2026-04, 2026-05, 2026-06",3470655083.68,"Agro, Indústria e Comércio | Crédito Corporativo | Comercial | Crédito PJ | Crédito privado/mercado de capitais",em revisão até haver leitura documental,"Decisão aprovada com evidência de 53 caracteres, abaixo do mínimo de 120.",Multicedente/Multisacado (Debêntures + FI FIDC Occam),revisar manualmente
aprovado_sem_evidencia_suficiente,49826785000145,ASA,"2026-03, 2026-04, 2026-05, 2026-06",3364983017.12,Fomento Mercantil | Fomento Mercantil | Comercial | Crédito PJ | Recebíveis comerciais/multissetorial,em revisão até haver leitura documental,"Decisão aprovada com evidência de 24 caracteres, abaixo do mínimo de 120.",Multicedente/Multisacado,revisar manualmente
divergencia_aprovada_versus_publicada,53323654000112,POSITIVO IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO INVESTIMENTO NO EXTERIOR RESP LIMITADA,"2024-06, 2024-07, 2024-08, 2024-09",3075304952.17,Outros | Poder Público | Ações judiciais | Judicial/Precatórios/NPL | Precatórios/direitos judiciais,Financeiro | Multicarteira Financeiro,"A decisão aprovada difere da classificação publicada em tipo_analitico, foco_analitico.","Anexo Descritivo A, p. 48: os Direitos Creditórios Elegíveis Classe A podem referir-se a créditos que «VIEREM A SER ATRIBUÍDOS, CONSTITUÍDOS E/OU RECONHECIDOS EM SEU ÂMBITO, E AOS OFÍCIOS REQUISITÓRIOS E/OU PRECATÓRIOS JÁ EXPEDIDOS OU A EXPEDIR; OU, AINDA, SER ORIGINADOS DE EMPRESAS EM PROCESSO DE RECUPERAÇÃO JUDICIAL OU EXTRAJUDICIAL». As demonstrações financeiras de 09/10/2024 confirmam que o CNPJ operava como POSITIVO III FIDC, criado em 28/12/2023 pela cisão do POSITIVO II FIDC-NP.",corrigir via backend
