review_scope,rank_reference,cnpj_fundo,nome_fidc,document_id,document_reference_date,document_url,local_path,pagina_clausula,cedent_originator_explicit,evidence_summary,tipo_anbima_sugerido,foco_anbima_sugerido,tabela_ii_sugerida_documental,taxonomia_funcional_n1_sugerida,taxonomia_funcional_n2_sugerida,reclassification_status,confianca_documental,perimeter_proposal,is_fic_fidc_suggested,manual_validation_reason,reading_method,source_limitations
top100_outros,25,40801446000130,EB VESTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1093636,2025-12-23,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=40801446000130,,"p. 4 e p. 19, cláusula 6.1",Ausência de cedente ou originador nominal; o regulamento define cedentes genericamente.,"O documento está em nome de CTG FIDC para o mesmo CNPJ e admite direitos e títulos de crédito, valores mobiliários de crédito, certificados de recebíveis ou securitização e cotas de FIDC; a descrição específica remete a Anexo Descritivo ausente.",Outros,Multicarteira Outros,N/D,Multissetorial / Outros,Multicarteira outros,manter_outros,media,,False,Validar a denominação documental anterior e obter o Anexo Descritivo antes de qualquer alteração.,Cache local paginado conciliado ao SHA-256 do inventário.,Anexo Descritivo ausente; Tabela II Setor público permanece apenas como dado CVM reportado.
top100_outros,32,39669950000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOMACRED BACH - RESPONSABILIDADE LIMITADA,1180237,2026-04-30,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=39669950000149,,"arquivo de 12 páginas; cláusula de política não disponível",Ausência de cedente ou originador nominal no documento disponível.,A retificação de AGC contém suplementos de cotas rating sobretaxa e carência; não contém política de investimento nem objeto dos direitos.,Outros,Multicarteira Outros,N/D,,,ambigua,baixa,,False,Obter regulamento consolidado e Anexo Descritivo completos.,Cache local paginado conciliado ao SHA-256 do inventário.,O instrumento disponível não sustenta proposta documental além da manutenção provisória em Outros.
top100_outros,55,49916151000183,ASA LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1179608,2026-05-04,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=49916151000183,,"p. 14, cláusula 4.1; p. 34, cláusula 7.2",Ausência de cedente ou originador nominal; o ASA FIDC é fundo investido.,O regulamento classifica expressamente o veículo como FICFIDC e exige no mínimo 95% do PL em cotas do ASA FIDC CNPJ 49.826.785/0001-45.,Outros,Multicarteira Outros,N/D,,,potencial_reclassificacao,alta,Excluir do perímetro ex-FIC após validação do indicador FIC-FIDC,True,O payload marca is_fic_fidc=False em conflito direto com o regulamento; a correção é de perímetro e não de Tipo ANBIMA.,Cache local paginado conciliado ao SHA-256 do inventário.,A taxonomia controlada de Tipo ANBIMA não possui categoria FIC; a classificação oficial fica preservada até corrigir o perímetro.
top100_outros,66,35880835000168,FUNDO DE GESTÃO E RECUPERAÇÃO - FIDC - RESPONSABILIDADE LIMITADA,699958,2024-07-10,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=35880835000168,,"pp. 5–15; p. 21, cláusula 2.7",Ausência de cedente ou originador nominal; cedentes definidos genericamente na p. 8.,O regulamento admite créditos distressed precatórios ações e demandas créditos consumer e corporate NPLs e ativos oportunísticos e classifica expressamente o fundo como Outros – Recuperação.,Outros,Recuperação,N/D,Judicial/Precatórios/NPL,Não padronizado/NPL,manter_outros,alta,,False,A diversidade de espécies impede selecionar uma única categoria analítica da Tabela II.,Cache local paginado conciliado ao SHA-256 do inventário.,Ações judiciais permanece como categoria CVM reportada; o regulamento sustenta manutenção em Outros.
top100_outros,69,50327909000127,TAMBASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1007241,2025-10-06,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=50327909000127,,"pp. 44–45, cláusulas 6.1 e 6.10; pp. 60–61",Múltiplas cedentes não previamente conhecidas; nenhuma entidade nominal é indicada.,O regulamento abrange segmentos industrial comercial agronegócio financeiro e serviços e várias espécies de direitos inclusive cotas de FIDC e direitos não padronizados.,Outros,Multicarteira Outros,N/D,Multissetorial / Outros,Multicarteira outros,manter_outros,alta,,False,A carteira é expressamente multissetorial e multiespécie.,Cache local paginado conciliado ao SHA-256 do inventário.,Categorias Comercial e Financeiro permanecem como reporte CVM; não há categoria única de Tabela II sustentada pelo documento.
top100_outros,70,35754011000141,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PORTO DESAP - RESPONSABILIDADE LIMITADA,785712,2024-11-18,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=35754011000141,,arquivo de 2 páginas; Anexo I indisponível,Ausência de cedente ou originador nominal no instrumento disponível.,O instrumento disponível trata apenas de adaptação à RCVM 175 responsabilidade e razão social; o Anexo I aparece somente na folha de rosto.,Outros,Recuperação,N/D,,,ambigua,baixa,,False,Obter o Anexo I e o regulamento consolidado completos.,Cache local paginado conciliado ao SHA-256 do inventário.,Ações judiciais permanece como categoria CVM reportada; o arquivo não contém objeto dos direitos.
top100_outros,75,53779703000126,XP CREDIT OPPORTUNITIES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,609898,2024-02-23,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53779703000126,,arquivo de 3 páginas; item 15.3.4,Ausência de cedente ou originador nominal no instrumento disponível.,O instrumento altera apenas o lote adicional da oferta e a versão consolidada termina na capa do Anexo; não há política de investimento.,Outros,Multicarteira Outros,N/D,,,ambigua,baixa,,False,Obter regulamento consolidado completo.,Cache local paginado conciliado ao SHA-256 do inventário.,Serviços permanece como categoria CVM reportada; o documento não sustenta foco alternativo.
top100_outros,98,57535898000110,ARTESANAL CRÉDITO ESTRUTURADO II FIDC DE RESPONSABILIDADE LIMITADA,837176,2025-02-07,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=57535898000110,,"p. 17, cláusula 10.1; pp. 19–20, cláusulas 11.4 e 11.7",Ausência de cedente ou originador nominal; o regulamento menciona cedente apenas de forma genérica.,O regulamento admite títulos e direitos de crédito valores mobiliários certificados de recebíveis ou securitização e cotas de FIDC com devedores pessoas físicas ou jurídicas.,Outros,Multicarteira Outros,N/D,Multissetorial / Outros,Multicarteira outros,manter_outros,media,,False,A documentação permite várias naturezas e não sustenta Crédito Corporativo exclusivamente.,Cache local paginado conciliado ao SHA-256 do inventário.,Nenhuma entidade cedente ou originadora é identificada nominalmente.
top20_tipo,Fomento-2,11468186000124,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,1130307,2026-03-06,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=11468186000124,outputs/fidc_director_deep_diagnostic_20260609/pdf_text_cache/11468186000124_1130307_regulamento_regulamento_1130307_2026-03-06_2026-03-06.txt,"p. 4 e p. 68 do regulamento consolidado ID 1130308",Ausência de entidade nominal; múltiplos cedentes não conhecidos previamente.,O regulamento define cedentes genericamente e informa que os múltiplos cedentes não são conhecidos previamente.,,,,,,ambigua,media,,False,Regulamento consolidado ID 1130308 está vinculado ao ato da mesma data mas não consta do inventário canônico.,Leitura do text_cache canônico e do anexo consolidado vinculado ao ato.,A fonte complementar foi usada somente por vínculo expresso com o ato selecionado.
top20_tipo,Fomento-5,42154687000160,MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1140137,2026-03-18,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=42154687000160,outputs/fidc_director_deep_diagnostic_20260609/pdf_text_cache/42154687000160_1140137_regulamento_regulamento_1140137_2026-03-18.txt,p. 81,Ausência de entidade nominal; credores originais definidos genericamente.,O regulamento define empresas e instituições financeiras como originadoras e alienantes de recebíveis sem individualizar razões sociais.,,,,,,ambigua,alta,,False,Nenhum cedente ou originador nominal foi localizado.,Leitura do text_cache canônico e conferência do PDF.,A ausência nominal foi registrada sem inferência pelo nome do fundo ou prestadores.
