view,competence,effect,from_type,from_focus,to_type,to_focus,decision_count,pl_brl,cnpjs,source,note
source_gross_decision_flow,2026-06,Migra de Tipo,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência,3,4169387794.259999752045,52327260000170 | 54218673000141 | 63572282000111,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Migra de Tipo,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Multicarteira Financeiro,2,2602055566.710000038147,32526025000110 | 50168890000113,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Migra de Tipo,"Agro, Indústria e Comércio",Recebíveis Comerciais,Outros,Multicedente/Multissacado,1,17971763062.819999694824,65473848000183,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Migra de Tipo,Financeiro,Financiamento de Veículos,"Agro, Indústria e Comércio",Recebíveis Comerciais,2,5389242716.569999694824,21126275000146 | 47166884000112,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Migra de Tipo,Fomento Mercantil,Fomento Mercantil,"Agro, Indústria e Comércio",Crédito Corporativo,2,4069550749.879999637604,06182371000118 | 62393829000159,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Migra de Tipo,Outros,Multicarteira Outros,"Agro, Indústria e Comércio",Crédito Corporativo,3,5316150794.279999732971,40770670000101 | 48349509000170 | 57976916000107,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Migra de Tipo,Outros,Multicarteira Outros,Financeiro,Adquirência,2,16245609188.720001220703,28169275000172 | 62393679000183,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Migra de Tipo,Outros,Multicarteira Outros,Financeiro,Crédito Consignado,1,1461275229.609999895096,39669950000149,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Migra de Tipo,Outros,Multicarteira Outros,Financeiro,Financiamento de Veículos,1,2207591119.670000076294,59929098000109,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Migra de Tipo,Outros,Multicarteira Outros,Financeiro,Multicarteira Financeiro,2,7362124557.369999885559,26722650000134 | 42922136000107,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
