view,competence,universe,dimension,category,decision_count,impacted_pl_brl,before_brl,after_brl,delta_brl,denominator_brl,before_share,after_share,delta_pp,source,note
source_decision_summary,2026-06,37 decisões documentais no Top 200 da fonte auditada,classe_decisao,Migra de Tipo,19,66794750779.89,,,,880375346502.310058593750,,,,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,PL impactado soma os casos da classe; mudanças só de Foco não alteram o gráfico por Tipo.
source_decision_summary,2026-06,37 decisões documentais no Top 200 da fonte auditada,classe_decisao,Só Foco,18,55694538021.58,,,,880375346502.310058593750,,,,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,PL impactado soma os casos da classe; mudanças só de Foco não alteram o gráfico por Tipo.
source_gross_stock_type,2026-06,PL ex-FIC da aba Mix ANBIMA do workbook auditado,tipo_anbima_exibido,Fomento Mercantil,2,4069550749.8799996,86656563703.92,82587012954.04,-4069550749.8799996,880375346502.310058593750,0.09843138389574681,0.09380886605032084,-0.4622517845425969,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,saídas: 2 fundos / R$ 4069550749.88; entradas: 0 fundos / R$ 0.00. Perímetro da fonte preservado; N/D permanece no denominador.
source_gross_stock_type,2026-06,PL ex-FIC da aba Mix ANBIMA do workbook auditado,tipo_anbima_exibido,"Agro, Indústria e Comércio",13,39518150684.52,189237904816.9,179269642653.84,-9968262163.06,880375346502.310058593750,0.21495139041402433,0.20362864926428242,-1.132274114974191,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,saídas: 6 fundos / R$ 24743206423.79; entradas: 7 fundos / R$ 14774944260.73. Perímetro da fonte preservado; N/D permanece no denominador.
source_gross_stock_type,2026-06,PL ex-FIC da aba Mix ANBIMA do workbook auditado,tipo_anbima_exibido,Financeiro,13,39437286172.909996,239368129137.53,268026929877.3,28658800739.769997,880375346502.310058593750,0.27189326698950433,0.3044462012051546,3.2552934215650255,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,saídas: 2 fundos / R$ 5389242716.57; entradas: 11 fundos / R$ 34048043456.34. Perímetro da fonte preservado; N/D permanece no denominador.
source_gross_stock_type,2026-06,PL ex-FIC da aba Mix ANBIMA do workbook auditado,tipo_anbima_exibido,Outros,10,50564513952.47,345190454306.7,330569466479.87,-14620987826.83,880375346502.310058593750,0.3920946397217113,0.3754869645012289,-1.6607675220482374,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,saídas: 9 fundos / R$ 32592750889.65; entradas: 1 fundos / R$ 17971763062.82. Perímetro da fonte preservado; N/D permanece no denominador.
source_gross_stock_type,2026-06,PL ex-FIC da aba Mix ANBIMA do workbook auditado,tipo_anbima_exibido,N/D,0,0.0,19922294537.26,19922294537.26,0.0,880375346502.310058593750,0.022629318979013144,0.022629318979013144,0.0,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,saídas: 0 fundos / R$ 0.00; entradas: 0 fundos / R$ 0.00. Perímetro da fonte preservado; N/D permanece no denominador.
current_bundle_incremental_stock_type,2026-06,"mesma base corrente de fundos, ex-FIC; varia somente o ledger",tipo_anbima_exibido,Fomento Mercantil,,,95856240079.55,88392374770.26,-7463865309.290009,821361559284.449951171875,0.11670407385884678,0.10761688780184121,-0.9087186057005571,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Campos oficiais e PL de 2026-06 são idênticos nas duas fotos; N/D segue a regra de exibição em Outros.
current_bundle_incremental_stock_type,2026-06,"mesma base corrente de fundos, ex-FIC; varia somente o ledger",tipo_anbima_exibido,"Agro, Indústria e Comércio",,,209314431066.25,203885868144.1,-5428562922.149994,821361559284.449951171875,0.25483835796820054,0.24822913349112707,-0.660922447707344,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Campos oficiais e PL de 2026-06 são idênticos nas duas fotos; N/D segue a regra de exibição em Outros.
current_bundle_incremental_stock_type,2026-06,"mesma base corrente de fundos, ex-FIC; varia somente o ledger",tipo_anbima_exibido,Financeiro,,,327050657318.82,323893158722.31,-3157498596.51001,821361559284.449951171875,0.39818110991673206,0.39433688496997327,-0.38442249467588246,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Campos oficiais e PL de 2026-06 são idênticos nas duas fotos; N/D segue a regra de exibição em Outros.
