competence,tipo_anbima,foco_anbima,before_denominator_brl,after_denominator_brl,delta_denominator_brl,before_positive_denominator_brl,after_positive_denominator_brl,before_funds,after_funds,scope_total_before_brl,scope_total_after_brl,before_share_scope,after_share_scope,delta_pp,roles_reconciled,source,note
2026-06,"Agro, Indústria e Comércio",Agronegócio,16724323448.799995422363,16724323448.799995422363,0.000000000000,16724323448.799995422363,16724323448.799995422363,83,83,716971851321.910034179688,716971851321.909912109375,0.023326332014,0.023326332014,0.000000000000,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,"Agro, Indústria e Comércio",Crédito Corporativo,19426222279.279998779297,28811923823.439998626709,9385701544.159999847412,19450689736.319999694824,28836391280.479999542236,120,125,716971851321.910034179688,716971851321.909912109375,0.027094818637,0.040185571819,1.309075318209,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,"Agro, Indústria e Comércio",Infraestrutura,17615808761.990001678467,17615808761.990001678467,0.000000000000,17615928803.940002441406,17615928803.940002441406,33,33,716971851321.910034179688,716971851321.909912109375,0.024569735520,0.024569735520,0.000000000000,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,"Agro, Indústria e Comércio","Multicarteira Agro, Indústria e Comércio",18744355478.360000610352,18744355478.360000610352,0.000000000000,18744355478.360000610352,18744355478.360000610352,96,96,716971851321.910034179688,716971851321.909912109375,0.026143781578,0.026143781578,0.000000000000,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,"Agro, Indústria e Comércio",N/D,147501531.310000002384,147501531.310000002384,0.000000000000,147501531.310000002384,147501531.310000002384,4,4,716971851321.910034179688,716971851321.909912109375,0.000205728483,0.000205728483,0.000000000000,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,"Agro, Indústria e Comércio",Recebíveis Comerciais,75401248003.499984741211,60586983537.189994812012,-14814264466.309989929199,75401888001.820007324219,60587623535.510009765625,450,449,716971851321.910034179688,716971851321.909912109375,0.105166259825,0.084503991929,-2.066226789657,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Financeiro,Adquirência,57771473084.539993286133,60234522801.040000915527,2463049716.500007629395,57771473084.539993286133,60234522801.040000915527,28,30,716971851321.910034179688,716971851321.909912109375,0.080577044940,0.084012395591,0.343535065144,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Financeiro,Cartão de crédito,3658259842.960000038147,288003547.970000028610,-3370256294.989999771118,3658259842.960000038147,288003547.970000028610,6,4,716971851321.910034179688,716971851321.909912109375,0.005102375827,0.000401694359,-0.470068146856,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Financeiro,Crédito Consignado,65870913213.169998168945,69581175382.300003051758,3710262169.130004882812,65871399439.979995727539,69581661609.110000610352,163,165,716971851321.910034179688,716971851321.909912109375,0.091873778715,0.097048685041,0.517490632622,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Financeiro,Crédito Imobiliário,12281325827.530000686646,12281325827.530000686646,0.000000000000,12281993538.510000228882,12281993538.510000228882,117,117,716971851321.910034179688,716971851321.909912109375,0.017129439329,0.017129439329,0.000000000000,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Financeiro,Crédito PF,5751418460.989999771118,0.000000000000,-5751418460.989999771118,5751418460.989999771118,0.000000000000,1,0,716971851321.910034179688,716971851321.909912109375,0.008021819058,0.000000000000,-0.802181905801,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Financeiro,Crédito Pessoal,39691068591.760002136230,33660593524.259998321533,-6030475067.500003814697,39691447966.990005493164,33660972899.489997863770,146,142,716971851321.910034179688,716971851321.909912109375,0.055359312250,0.046948277624,-0.841103462623,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Financeiro,Financiamento de Veículos,19323532940.880001068115,16642602682.759996414185,-2680930258.120004653931,19323532940.880001068115,16642602682.759996414185,29,29,716971851321.910034179688,716971851321.909912109375,0.026951592179,0.023212351576,-0.373924060363,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Financeiro,Multicarteira Financeiro,81206619065.399993896484,89708888664.860015869141,8502269599.460021972656,81206653778.789993286133,89708923378.250015258789,611,614,716971851321.910034179688,716971851321.909912109375,0.113263329538,0.125121911689,1.185858215184,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Financeiro,N/D,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1,1,716971851321.910034179688,716971851321.909912109375,0.000000000000,0.000000000000,0.000000000000,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Fomento Mercantil,Fomento Mercantil,95799059821.190002441406,88335194511.899993896484,-7463865309.290008544922,95802391947.639999389648,88338526638.349990844727,592,589,716971851321.910034179688,716971851321.909912109375,0.133616207728,0.123205945044,-1.041026268399,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Fomento Mercantil,N/D,57180258.359999999404,57180258.359999999404,0.000000000000,57180258.359999999404,57180258.359999999404,2,2,716971851321.910034179688,716971851321.909912109375,0.000079752445,0.000079752445,0.000000000000,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
2026-06,Outros,Multicarteira Outros,76907273907.039993286133,68533015815.159996032715,-8374258091.879997253418,76941172645.799987792969,68566914553.919998168945,354,350,716971851321.910034179688,716971851321.909912109375,0.107266796828,0.095586759353,-1.168003747489,3,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Denominador idêntico em administração, gestão e custódia; PL negativo permanece no denominador bruto e sai do denominador positivo de publicação."
