Rank PL,CNPJ,FIDC,PL (R$),Foco publicado hoje,Balde proposto,Base da alocação,Sacado / cedente relevante (Tabela I + Receita),Tem informe jun/26?,Observação,cnpj_fundo
3,65.473.848/0001-83,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,17971763062.82,Recebíveis Comerciais,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Comercial 100% da carteira,,Sim,"decisão do usuário: manter em Outros para não poluir os demais Tipos, dado que o lastro não é identificável",65473848000183
4,62.393.679/0001-83,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,10010957003.11,Multicarteira Outros,Sai do balde Outros,"Reclassificar de ""Outros/Multicarteira Outros"" para Financeiro, ou levar para o carve-out de Adquirência já existente na aba Taxonomia adquirência. Maior fundo do balde Outros: sozinho responde por R$ 10,0 bi dos R$ 136,0 bi hoje em Multicarteira Outros.",,Sim,"Reclassificar de ""Outros/Multicarteira Outros"" para Financeiro, ou levar para o carve-out de Adquirência já existente na aba Taxonomia adquirência. Maior fundo do balde Outros: sozinho responde por R$ 10,0 bi dos R$ 136,0 bi hoje em Multica",62393679000183
6,53.286.499/0001-01,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,8719298749.48,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Serviços 84% da carteira,,Sim,"O Tipo ""Outros"" é defensável pelo mandato aberto, mas a carteira atual está 84% concentrada em serviços. Para efeito de gráfico por Tipo, tratar como concentração monitorada e não como multicedente. R$ 8,72 bi.",53286499000101
10,53.216.449/0001-58,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,6390451812.87,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,"Manter ""Outros/Multicarteira Outros"".",53216449000158
11,28.169.275/0001-72,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,6234652185.61,Multicarteira Outros,Sai do balde Outros,"Reclassificar de ""Outros/Multicarteira Outros"" para Financeiro/Adquirência. R$ 6,2 bi.",,Sim,"Reclassificar de ""Outros/Multicarteira Outros"" para Financeiro/Adquirência. R$ 6,2 bi.",28169275000172
13,29.225.241/0001-10,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,5861437942.62,Multicarteira Outros,Sai do balde Outros,"Mover de ""Multicarteira Outros"" para ""Poder Público"": é o maior fundo de precatório do Top 200 sentado no balde residual. R$ 5,86 bi.",,Sim,"Mover de ""Multicarteira Outros"" para ""Poder Público"": é o maior fundo de precatório do Top 200 sentado no balde residual. R$ 5,86 bi.",29225241000110
14,42.922.136/0001-07,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,5751418460.99,Multicarteira Outros,Sai do balde Outros,"Reclassificar de ""Outros/Multicarteira Outros"" para Financeiro. R$ 5,75 bi.",,Sim,"Reclassificar de ""Outros/Multicarteira Outros"" para Financeiro. R$ 5,75 bi.",42922136000107
16,61.285.603/0001-71,MAROBÁ FUNDO DE INVESTMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,4467343585.25,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,"Manter ""Outros/Multicarteira Outros"". Divergência apoiada apenas em campo residual.",61285603000171
18,34.197.588/0001-37,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,4015059128.44,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,34197588000137
20,12.817.329/0001-29,"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",3666009327,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Comercial 100% da carteira,79379491000183 HAVAN S.A (114.9%),Sim,,12817329000129
22,29.301.202/0001-55,RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3599850973.43,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,"Revisar o Foco de ""Multicarteira Outros"" para ""Recuperação"" e cobrar reporte da Tabela II no campo J.",29301202000155
23,48.349.509/0001-70,OCCAM CRÉDITO CORPORATIVO 30 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3470655083.68,Multicarteira Outros,Sai do balde Outros,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Agro, Indústria e Comércio/Crédito Corporativo"". O próprio nome do fundo declara crédito corporativo. R$ 3,47 bi.",,Sim,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Agro, Indústria e Comércio/Crédito Corporativo"". O próprio nome do fundo declara crédito corporativo. R$ 3,47 bi.",48349509000170
24,17.250.006/0001-10,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,3394314559.41,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II,34337707000100 BMP SOCIEDADE DE CREDITO DIRETO S.A (40.5%),Sim,"Manter o Tipo ""Outros"" e revisar o Foco de ""Multicarteira Outros"" para ""Recuperação"".",17250006000110
