rank_outros,cnpj_fundo,nome_fidc,pl_atual_brl,competencia_pl,existente_ativo,document_id,document_reference_date,document_url,cedent_originator_explicit,evidence_summary,proposed_category,reclassification_status,manual_validation_reason,reading_method,source_limitations
1,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,10010957003.11,2026-06,True,1117954,2026-02-19,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=62393679000183,CloudWalk Instituição de Pagamento e Serviços Ltda. (cedente).,A definição de Cedente identifica expressamente a CloudWalk; os direitos decorrem de transações processadas no Sistema CloudWalk.,Financeiro — Meios de pagamento,potencial_reclassificação,Validar aderência da categoria proposta à taxonomia oficial antes de alterar o cadastro analítico.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
2,53286499000101,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,8719298749.48,2026-06,True,579249,2023-12-21,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53286499000101,Ausência de cedente ou originador único expressamente identificado.,O regulamento admite aquisição de instrumentos de diferentes emissores e no mercado; não nomeia cedente ou originador único.,Financeiro — Crédito privado/mercado de capitais,potencial_reclassificação,Confirmar que a política de investimento vigente permanece concentrada em crédito privado e não representa carteira multicarteira.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
3,53216449000158,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,6390451812.87,2026-06,True,880741,2025-04-11,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53216449000158,"Pessoas físicas, pessoas jurídicas ou fundos de investimento; nomes individuais não informados.","A definição de Cedentes é genérica; a política permite precatórios, créditos públicos, vencidos e litigiosos.",Outros — Recuperação/Judicial,manter_em_outros,"A documentação sustenta subcategoria econômica, mas permanece compatível com Outros na taxonomia vigente.",FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
4,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,6234652185.61,2026-06,True,1149521,2026-03-25,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=28169275000172,Estabelecimentos credenciados ao Sistema PagSeguro (cedentes).,O regulamento declara que a classe adquire dos estabelecimentos os recebíveis de transações de pagamento.,Financeiro — Meios de pagamento,potencial_reclassificação,Validar aderência da categoria proposta à taxonomia oficial antes de alterar o cadastro analítico.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
5,29225241000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,5861437942.62,2026-06,True,784984,2024-11-21,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=29225241000110,Pessoas jurídicas ou fundos de investimento; nomes individuais não informados.,"A definição de Cedente é genérica; a política concentra direitos litigiosos, precatórios e créditos vencidos.",Outros — Recuperação/Judicial,manter_em_outros,"A documentação sustenta subcategoria econômica, mas permanece compatível com Outros na taxonomia vigente.",FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
6,42922136000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,5751418460.99,2026-06,True,1159092,2026-04-10,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=42922136000107,SHPP Brasil Instituição de Pagamento e Serviços de Pagamentos Ltda. (originadora); estabelecimentos (cedentes de recebíveis de pagamento); instituições financeiras parceiras (endossantes).,O anexo identifica a originadora e descreve operações de pagamento e empréstimos originados por correspondente bancário.,Financeiro — Meios de pagamento,potencial_reclassificação,A carteira também contém empréstimos; validar a categoria dominante pela composição atual.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
7,61285603000171,MAROBÁ FUNDO DE INVESTMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,4467343585.25,2026-06,True,1230828,2026-06-10,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=61285603000171,Ausência de originador ou cedente nominal no regulamento consultado.,O texto atribui seleção a múltiplos cedentes e mantém classificação ANBIMA Outros/Multicarteira Outros.,Outros — Multicarteira,manter_em_outros,Nenhum nome de cedente ou originador foi localizado no regulamento vigente.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
8,34197588000137,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,4015059128.44,2026-06,True,974471,2025-08-11,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=34197588000137,Pessoas físicas ou jurídicas que cedam direitos; nomes individuais não informados.,"A definição de Cedente é genérica; Banco Daycoval aparece como consultoria especializada, sem ser identificado como cedente.",N/D,validação_manual,O regulamento não permite atribuir originador pelo prestador ou pelo nome do fundo.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
9,12817329000129,"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",3666009327.0,2026-06,True,932759,2025-06-25,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=12817329000129,Havan S.A. (cedente) e BMP Sociedade de Crédito Direto S.A. ou outra instituição autorizada (cedente de CCB).,"As definições do regulamento nomeiam Havan e BMP SCD e descrevem recebíveis comerciais, de pagamento e CCB.","Agro, Indústria e Comércio — Recebíveis comerciais",potencial_reclassificação,"A carteira combina recebíveis comerciais, pagamentos e crédito; validar a categoria dominante pela composição atual.",FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
10,29301202000155,RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3599850973.43,2026-06,True,897410,2025-05-08,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=29301202000155,Múltiplos cedentes; nomes individuais não informados.,O regulamento prevê carteira multiestratégia com diversas espécies de direitos creditórios.,Outros — Multicarteira,manter_em_outros,A menção a crédito consignado é uma possibilidade de investimento e não comprova predominância.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
