review_scope,rank_reference,cnpj_fundo,nome_fidc,document_id,document_reference_date,document_url,local_path,pagina_clausula,cedent_originator_explicit,evidence_summary,tipo_anbima_sugerido,foco_anbima_sugerido,tabela_ii_sugerida_documental,taxonomia_funcional_n1_sugerida,taxonomia_funcional_n2_sugerida,reclassification_status,confianca_documental,perimeter_proposal,is_fic_fidc_suggested,manual_validation_reason,reading_method,source_limitations
top20_documental_concluido_periodos_2023_2026,"8, 13, 12",42358004000196,ACONCÁGUA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,777021,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=42358004000196,data/raw/industry_top20_taxonomy/42358004000196/777021_regulamento.pdf,p. 37,N/D — cedente/originador nominal não identificado no regulamento disponível.,"E/OU DA GESTORA, OU DE QUALQUER MECANISMO DE SEGURO OU, AINDA NO FUNDO GARANTIDOR DE CREDITOS - FGC POLITICA DE INVESTIMENTO OS DIREITOS CREDITORIOS QUE INTEGRARAO A CARTEIRA D A CLASSE CONSISTEM NAQUELES ORIGINADOS DE ACOES JUDICIAIS MOVIDAS POR COMPANHIA USINA CAMBAHYBA, COMPANHIA USINA DO OUTEIRO, USINA SAO JOAO B LYZANDRO S.A E COMPANHIA ACUCAREIRA PARAISO – EM RECUPERACAO JUDICIAL CONTRA A UNIAO FEDERAL DO BRASIL, NA POSICAO DE SUCESSORA DO ANTIGO INSTITUTO DO ACUCAR E DO ALCOOL, POR MEIO DAS QUAIS CADA CEDENTE PLEITEIA INDENIZACAO PELOS PREJUIZOS PATRIMONIAIS DECORRENTES DA FIXACAO DE PRECOS DOS PRODUTOS DO SETOR SUCROALCOOLEIRO ABAIXO DOS RESPECTIVOS CUSTOS MEDIOS DE PRODUCAO, EM DESACORDO COM A LEI FEDERAL NO 4.870/1965 (“ACOES JUDICIAIS”). OS DIREITOS CREDITORIOS TEM ORIGEM NAS RESPECTIVAS ACOES JUDI",Outros,Poder Público,N/D,Multissetorial / Outros,Multicarteira outros,manter_classificacao_oficial,media,,False,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual.,"revisão documental assistida de 52 páginas; definição, política de investimento, elegibilidade e lastro",A cláusula disponível não individualiza o lastro; a conclusão mantém a classificação oficial.
top20_documental_concluido_periodos_2023_2026,"2, 2, 3",52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,794164,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52610624000124,data/raw/industry_top20_taxonomy/52610624000124/794164_regulamento.pdf,p. 7 — política/definição do lastro,p. 5: CNPJ SOB O NO 36.113.876/0001-91; “CVM”: COMISSAO DE VALORES MOBILIARIOS; “DATA DE AQUISICAO E PAGAMENTO”: E A DATA EM QUE E EFETUADO O PAGAMENTO DO PRECO DE CESSAO AO CEDENTE,"TE AOS CRITERIOS DE ELEGIBILIDADE E A POLITICA DE INVESTIMENTOS DO FUNDO DELINEADA NESTE REGULAMENTO E NO ANEXO DESCRITIVO DA CLASSE UNICA; “DIREITOS CREDITORIOS INADIMPLIDOS”: OS DIREITOS CREDITORIOS INTEGRANTES DA CARTEIRA VENCIDOS E NAO PAGOS; “DISPONIBILIDADES”: SAO, EM CONJUNTO: (A) RECURSOS EM CAIXA; (B) DEPOSITOS BANCARIOS A VISTA EM INSTITUICAO AUTORIZADA; E (C) DEMAIS ATIVOS FINANCEIROS DE LIQUIDEZ; “DOCUMENTOS COMPLEMENTARES”: SIGNIFICAM AS NOTAS FISCAIS REFERENTES A COMPRA E VENDA DE ENERGIA OBJETO DOS CONTRATOS DE VENDA DE ENERGIA; “DOCUMENTOS COMPROBATORIOS”: SIGNIFICA OS DOCUMENTOS QUE FORMALIZAM A ORIGEM E A EXEQUIBILIDADE DOS DIREITOS CREDITORIOS, BEM C OMO OS RESPECTIVOS INSTRUMENTOS QUE GARANTEM OS DIREITOS CREDITORIOS, QUAIS SEJAM, (I) OS CONTRATOS DE VENDA DE ENERGIA; (II) OS INSTRUMENTOS QUE COMPROVEM A ANUENCIA PREVIA DOS DEVEDORES PARA CESSAO DOS RESPECTIVOS DIREITOS CREDITORIOS; E (III) OS RESPECTIVOS INSTRUMENTOS DE CONSTITUICAO DE GARANTIA FIDUCIARIA OUTORGADA POR TERCEIROS; “EVENTO DE","Agro, Indústria e Comércio",Infraestrutura,Serviços,Infra/Energia,Energia/infra,propor_reclassificacao_documental,alta,,False,Conclusão documental propõe reclassificação; confirmar a materialidade do lastro antes de Aprovar e aplicar.,"revisão documental assistida de 76 páginas; definição, política de investimento, elegibilidade e lastro",A proposta deriva da definição ou política de investimento; a composição efetiva da carteira pode variar dentro dos limites do regulamento.
top20_documental_concluido_periodos_2023_2026,"7, 5, 3, 9",47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,987484,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=47228232000165,data/raw/industry_top20_taxonomy/47228232000165/987484_regulamento.pdf,p. 7 — política/definição do lastro,"p. 4: CEDENTES DE DIREITOS CREDITORIOS A CLASSE UNICA. “AGROMATIC” OU “AGENTE EXTRAORDINARIO” SIGNIFICA AGROMATIC SOLUCOES DE TECNOLOGIA DIGITAL LTDA., DEVIDAMENTE INSCRITA NO CNPJ/MF SOB O NO 37.178.510/0001-63, COM SEDE NA RUA GENERAL AUGUSTO SOARES DOS SANT","O E REGIDO PELO DISPOSTO NO ANEXO DESCRITIVO I. “CLIENTES” SIGNIFICA, EM CONJUNTO (I) OS CLIENTES DA COOPERATIVA QUE SE QUALIFICAM COMO PRODUTORES RURAIS E REALIZAM OPERACOES PARA AQUISICAO DE INSUMOS (“ CLIENTES COOPERATIVA”); (II) OS CLIENTES DOS FORNECEDORES QUE SE QUALIFICAM COMO PRODUTORES RURAIS, COOPERATIVAS OU REVENDA E REALIZAM OPERACOES PARA AQUISICAO DE INSUMOS (“CLIENTES FORNECEDOR”); (III) OS CLIENTES DA REVENDA QUE SE QUALIFICAM COMO PRODUTORES RURAIS OU COOPERATIVAS E REALIZAM OPERACOES PARA AQUISICAO DE INSUMOS (“CLIENTES REVENDA”). “CMN” SIGNIFICA O CONSELHO MONETARIO NACIONAL. “CNPJ/MF” SIGNIFICA O CADASTRO NACIONAL DA PESSOA JURIDICA DO MINISTERIO DA FAZENDA. “CODIGO ANBIMA” SIGNIFICA O CODIGO ANBIMA DE ADMINISTRACAO E GESTAO DE RECURSOS DE TERCEIROS.","Agro, Indústria e Comércio",Agronegócio,Agronegócio,Agro,Agro,manter_classificacao_oficial,media,,False,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual.,"revisão documental assistida de 97 páginas; definição, política de investimento, elegibilidade e lastro",A proposta deriva da definição ou política de investimento; a composição efetiva da carteira pode variar dentro dos limites do regulamento.
top20_documental_concluido_periodos_2023_2026,"9, 10",57833038000162,ALDEBARAN II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,1231073,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=57833038000162,data/raw/industry_top20_taxonomy/57833038000162/1231073_regulamento.pdf,p. 29 — política/definição do lastro,N/D — cedente/originador nominal não identificado no regulamento disponível.,"A POLITICA DE EXERCICIO DE DIREITO DE VOTO DA GESTORA ESTA DISPONIVEL NA PAGINA DA GESTORA NA REDE MUNDIAL DE COMPUTADORES , NO SEGUINTE ENDERECO: HTTPS://WWW.EMERALD.COM.BR/ 11. DIREITOS CREDITORIOS CARACTERISTICAS DOS DIREITOS CREDITORIOS 11.1. OS DIREITOS CREDITORIOS A SEREM ADQUIRIDOS PELO FUNDO SERAO DECORRENTES DE OPERACOES REALIZADAS NOS SEGMENTOS MERCANTIL, COMERCIAL E FINANCEIRO, REPRESENTADOS POR (A) DIREITOS E TITULOS DE CREDITO, TAIS COMO, MAS NAO SE LIMITANDO DUPLICATAS, CHEQUES, NOTAS PROMISSORIAS, CEDULAS DE CREDITO BANCARIO (CCB), RECEBIVEIS DE CARTAO DE CREDITO, CEDULAS DE PRODUTOR RURAL FINANCEIRAS, CEDULAS DE CREDITO IMOBILIARIO, PARCELAS DE EMPRESTIMOS CONSIGNADOS, NOTAS COMERCIAIS (NC), NOTAS DE CREDITO DE EXPORTACAO (NCE) OU INSTRUMENTOS CONTRATUAIS DECORRENTES DE OPERACAO DE CREDITO; (B) VALORES MOBILIARIOS REPRESENTATIVOS DE CREDITO; (C) CERTIFICADOS DE RECEBIVEIS E OUTROS VALORES MOBILIARIOS REPRESENTATIVOS DE OPERACOES DE SECURITIZACAO, QUE NAO SEJAM LASTREADOS EM DI",Fomento Mercantil,Fomento Mercantil,Factoring,Crédito PJ,Recebíveis comerciais/multissetorial,manter_classificacao_oficial,alta,,False,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual.,"revisão documental assistida de 77 páginas; definição, política de investimento, elegibilidade e lastro",A proposta deriva da definição ou política de investimento; a composição efetiva da carteira pode variar dentro dos limites do regulamento.
top20_documental_concluido_periodos_2023_2026,3,36886028000115,ALEPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,190101,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=36886028000115,data/raw/industry_top20_taxonomy/36886028000115/190101_regulamento.pdf,p. 3,N/D — cedente/originador nominal não identificado no regulamento disponível.,"INSTRUCAO CVM 444. OS DIREITOS DE CREDITO SERAO ADQUIRIDOS INTEGRAL OU PARCIALMENTE DE ACORDO COM A POLITICA DE INVESTIMENTO DESCRITA NO CAPITULO IV ABAIXO E COM OS CRITERIOS ESTABELECIDOS NA LEGISLACAO E NA REGULAMENTACAO VIGENTES. PARAGRAFO 1O. O AGENTE DE COBRANCA REALIZARA A CO BRANCA EXTRAJUDICIAL OU JUDICIAL DOS DIREITOS DE CREDITO INADIMPLIDOS INTEGRANTES DA CARTEIRA DO FUNDO. TODAS AS DESPESAS NECESSARIAS PARA A EFETIVACAO DA COBRANCA EXTRAJUDICIAL E JUDICIAL DOS DIREITOS DE CREDITO INADIMPLIDOS SERAO DE RESPONSABILIDADE DO FUNDO. PARAGRAFO 2O. OS VALORES RECEBIDOS EM NOME DO FUNDO DEVERAO SER DEPOSITADOS, SEM QUALQUER DEDUCAO OU DESCONTO, DIRETAMENTE EM (I) CONTA DE TITULARIDADE DO FUNDO; OU (II) CONTA ESPECIAL INSTITUIDA PELAS PARTES JUNTO AS INSTITUICOES FINANCEIRAS, DE TI TULARIDADE DE CADA CEDENT",Financeiro,Multicarteira Financeiro,N/D,Multissetorial / Outros,Multicarteira outros,manter_classificacao_oficial,media,,False,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual.,"revisão documental assistida de 45 páginas; definição, política de investimento, elegibilidade e lastro",A cláusula disponível não individualiza o lastro; a conclusão mantém a classificação oficial.
top20_documental_concluido_periodos_2023_2026,18,57325251000163,ANGICO FIDC SEGMENTO INFRAESTRUTURA E AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA,1086644,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=57325251000163,data/raw/industry_top20_taxonomy/57325251000163/1086644_regulamento.pdf,p. 8 — objetivo e política de investimento,N/D — cedente/originador nominal não identificado no regulamento disponível.,"O regulamento declara o segmento Agro, Indústria e Comércio e admite direitos creditórios de infraestrutura e agronegócio. A classificação documental mantém o foco ANBIMA Agronegócio preservado na fotografia oficial.","Agro, Indústria e Comércio",Agronegócio,Agronegócio,Agro,Agro,manter_classificacao_oficial,alta,,False,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual.,"revisão documental assistida de 67 páginas; definição, política de investimento, elegibilidade e lastro",O mandato admite infraestrutura e agronegócio; a composição efetiva pode variar.
top20_documental_concluido_periodos_2023_2026,11,34218625000146,APOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,785169,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=34218625000146,data/raw/industry_top20_taxonomy/34218625000146/785169_regulamento.pdf,p. 19,N/D — cedente/originador nominal não identificado no regulamento disponível.,"TABELECER, NECESSARIAMENTE, OS TERMOS E CONDICOES A SEREM OBSERVADOS PARA A REALIZACAO DA CESSAO DE DIREITOS CREDITORIOS A CLASSE; CRITERIOS DE ELEGIBILIDADE: TEM O SIGNIFICADO QUE LHE E ATRIBUIDO NO ITEM 6.1 DESTE ANEXO; DATA DA 1A INTEGRALIZACAO DE COTAS: E A DATA EM QUE OS RECURSOS RELACIONADOS A PRIMEIRA SUBSCRICAO DE COTAS SAO EFETIVAMENTE COLOCADOS, PELOS INVESTIDORES PROFISSIONAIS, A DISPOSICAO DA CLASSE; DATA DE AMORTIZACAO: SIGNIFICA CADA UMA DAS DATAS DE AMORTIZACAO CONSTANTES DO ANEXO I-A; DATA DE AQUISICAO: E A DATA NA QUAL A CLASSE E A CEDENTE CONCRETIZAM A CESSAO DOS DIREITOS CREDITORIOS, APOS A CELEBRACAO E FORMALIZACAO DO CONTRATO DE CESSAO, ATRAVES DO EFETIVO PAGAMENTO A CEDENTE DO PRECO DE AQUISICAO DO DIREITO CREDITORIO, CONFORME DISPOSTO NO CONTRATO DE CESSAO; DATA DE ENCERRAMENTO: E A DAT","Agro, Indústria e Comércio","Multicarteira Agro, Indústria e Comércio",N/D,Multissetorial / Outros,Multicarteira outros,manter_classificacao_oficial,media,,False,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual.,"revisão documental assistida de 44 páginas; definição, política de investimento, elegibilidade e lastro",A cláusula disponível não individualiza o lastro; a conclusão mantém a classificação oficial.
top20_documental_concluido_periodos_2023_2026,20,20441301000168,ARTESANAL CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,997050,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=20441301000168,data/raw/industry_top20_taxonomy/20441301000168/997050_regulamento.pdf,p. 20 — política/definição do lastro,N/D — cedente/originador nominal não identificado no regulamento disponível.,"DE INVESTIMENTO 4.1. A CLASSE TERA COMO OBJETIVO PROPORCIONAR AOS COTISTAS A VALORIZACAO DAS COTAS DE SUAS RESPECTIVAS TITULARIDADES POR MEIO DA APLICACAO DOS RECURSOS DA CLASSE, PREPONDERANTEMENTE NA AQUISICAO DE DIREITOS CREDITORIOS REPRESENTADOS POR COTAS DE EMISSAO DE FIDCS (“DIREITOS CREDITORIOS”). 4.1.1. A CLASSE PODERA ADQUIRIR DIREITOS CREDITORIOS RELATIVOS A DIFERENTES SEGMENTOS ECONOMICOS, EM OBSERVANCIA AS REGRAS E PROCEDIMENTOS ESTABELECIDOS POR MEIO DESTE REGULAMENTO, SEM OBRIGACAO DE INVESTIMENTO OU CONCENTRACAO EM NENHUM SEGMENTO ESPECIFICO. 4.1.2. ADICIONALMENTE, CARACTERIZAM-SE COMO PASSIVEIS DE CESSAO AO FUNDO DIREITO S CREDITORIOS QUE ATENDAM AOS CRITERIOS DE ELEGIBILIDADE, INCLUINDO TODOS E QUAISQUER DIREITOS, GARANTIAS, PRIVILEGIOS, PREFERENCIAS E PRERROGATIVAS RELA",Outros,Multicarteira Outros,N/D,Multissetorial / Outros,Multicarteira outros,manter_classificacao_oficial,alta,Excluir do perímetro ex-FIC após validação do cadastro fonte,True,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual.,"revisão documental assistida de 48 páginas; definição, política de investimento, elegibilidade e lastro",A proposta deriva da definição ou política de investimento; a composição efetiva da carteira pode variar dentro dos limites do regulamento.
top20_documental_concluido_periodos_2023_2026,"10, 7, 7",30576260000170,ARTESANAL MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,703355,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=30576260000170,data/raw/industry_top20_taxonomy/30576260000170/703355_regulamento.pdf,p. 13,N/D — cedente/originador nominal não identificado no regulamento disponível.,"S FINANCEIROS O E, CONFORME O CASO, ALIENACAO PELO FUNDO E/OU PELA CLASSE, EM ESTRITA OBSERVANCIA A POLITICA DE INVESTIMENTO, BEM COMO A COMPOSICAO E A DIVERSIFICACAO DA CARTEIRA DO FUNDO; B) EFETUAR A DEVIDA FORMALIZACAO DOS INSTRUMENTOS DE AQUISICAO; C) VALIDAR, PREVIAMENTE A CADA CESSAO, A ADERENCIA DOS DIREITOS CREDITORIOS AS CONDICOES DE CESSAO; D) VERIFICAR PREVIAMENTE O ENQUADRAMENTO DOS DIREITOS CREDITORIOS A POLITICA DE INVESTIMENTO, COMPREENDENDO, NO MINIMO, A VALIDACAO DOS DIREITOS CREDITORIOS QUANTO AOS CRITERIOS DE ELEGIBILIDADE E A OBSERVANCIA AOS REQUISITOS DE COMPOSICAO E DIVERSIFICACAO, DE FORMA INDIVIDUALIZADA OU POR AMOSTRAGEM, UTILIZANDO MODELO ESTATISTICO CONSISTENTE E PASSIVEL DE VERIFICACAO; E) AVALIAR A ADERENCIA DO RISCO DE PERFORMANCE DOS DIREITOS CREDITORIOS, SE HOUVER, A POLITICA D",Financeiro,Crédito Pessoal,N/D,Multissetorial / Outros,Multicarteira outros,manter_classificacao_oficial,media,,False,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual.,"revisão documental assistida de 61 páginas; definição, política de investimento, elegibilidade e lastro",A cláusula disponível não individualiza o lastro; a conclusão mantém a classificação oficial.
top20_documental_concluido_periodos_2023_2026,14,49826785000145,ASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1072129,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=49826785000145,data/raw/industry_top20_taxonomy/49826785000145/1072129_regulamento.pdf,p. 45 — política/definição do lastro,N/D — cedente/originador nominal não identificado no regulamento disponível.,"O regulamento admite carteira ampla, incluindo créditos judiciais e precatórios, CCBs e outros instrumentos. Nenhuma família isolada representa o mandato completo.",Outros,Multicarteira Outros,N/D,Multissetorial / Outros,Multicarteira outros,manter_classificacao_oficial,alta,,False,Conclusão documental recomenda manter a classificação oficial pelo mandato amplo.,"revisão documental assistida de 79 páginas; definição, política de investimento, elegibilidade e lastro",A composição efetiva pode concentrar-se em uma das famílias autorizadas.
