setor_n1,setor_n2,emissores_cnpj,ofertas_linhas,volume_registrado_brl,volume_conservador_brl,pl_atual_brl,ano
Não classificado,Sem classificação,443,0.0,63697175377.05,64098975376.07,83101825052.19,2024
Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,17,0.0,6273663045.95,6276363041.45,14187786489.61,2024
Crédito PF,Consignado/INSS,18,0.0,6254950156.14,6254950156.14,8289269572.51,2024
Agro,Agro,39,0.0,6253570000.05,6253570000.05,10139457683.92,2024
Crédito PF,Crédito pessoal/consumo,68,0.0,3599093079.65,4109593079.65,8890403370.35,2024
Crédito PJ,Recebíveis comerciais/multissetorial,33,0.0,3892842207.95,3892842207.95,9607105120.41,2024
Crédito PJ,Risco sacado/fornecedores,34,0.0,3607446000.02,3687446000.02,9504656881.72,2024
Crédito PF,FGTS,11,0.0,3649933999.98,3649933999.98,3500724248.2200003,2024
FIC/Alocador,FIC de FIDC,9,0.0,3034000000.0,3034000000.0,5766191669.66,2024
Não classificado,Revisar manualmente,40,0.0,2781350001.1,2833350001.1,3919181990.82,2024
Judicial/Precatórios/NPL,Não padronizado/NPL,12,0.0,2511049999.92,2521049999.92,7560140546.9,2024
Crédito PJ,CCB/Notas comerciais/Capital de giro,10,0.0,1729738213.16,1729738213.16,2815477245.4799995,2024
Imobiliário,Imobiliário,17,0.0,1381999599.24,1681999599.24,2751247017.07,2024
Crédito PF,Auto/Veículos,9,0.0,953650000.0,953650000.0,812367018.34,2024
Crédito PF,Crédito estudantil,3,0.0,895200000.0,895200000.0,1910489822.2800002,2024
Infra/Energia,Energia/infra,5,0.0,835641026.36,835641026.36,397205984.38,2024
Meios de Pagamento e Cartões,Bancos Emissores,6,0.0,751998462.19,751998462.19,2481459925.1600003,2024
Judicial/Precatórios/NPL,Precatórios/direitos judiciais,1,0.0,355000000.0,355000000.0,305464621.34,2024
Não classificado,Sem classificação,490,0.0,52682181907.49,56665419932.02,86455763317.31,2025
Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,14,0.0,9626092653.59,9626092653.59,18216217296.54,2025
Agro,Agro,54,0.0,7876348075.09,8366848075.27,11093382769.1,2025
Crédito PJ,Recebíveis comerciais/multissetorial,62,0.0,7781471966.38,8176171966.53,14278314951.86,2025
Crédito PF,Auto/Veículos,26,0.0,7532104630.63,7939104630.63,6429837007.349999,2025
Crédito PJ,CCB/Notas comerciais/Capital de giro,24,0.0,5596354307.76,6263355347.26,7563800903.25,2025
Crédito PF,Consignado/INSS,23,0.0,5794155079.66,6150155079.66,8583877517.54,2025
Não classificado,Revisar manualmente,57,0.0,4248532629.33,5054532629.53,3558457844.7400002,2025
FIC/Alocador,FIC de FIDC,11,0.0,4283000000.0,4768878966.0,6110422333.8,2025
Crédito PF,Crédito pessoal/consumo,72,0.0,4313344609.95,4766043071.5,7877419318.95,2025
Crédito PJ,Risco sacado/fornecedores,27,0.0,3575800018.55,3886550018.55,5950775973.190001,2025
Infra/Energia,Energia/infra,12,0.0,2982500000.1800003,3085000000.28,3268206096.42,2025
Crédito PF,FGTS,8,0.0,1115280803.0,1745280803.0,1816720918.5,2025
Imobiliário,Imobiliário,15,0.0,1522000000.4099998,1558000000.4099998,2778930004.23,2025
Judicial/Precatórios/NPL,Não padronizado/NPL,8,0.0,1264857010.36,1414857010.36,5420071252.68,2025
Crédito PF,Crédito estudantil,4,0.0,588000000.0,593000000.0,1927915531.63,2025
Judicial/Precatórios/NPL,Precatórios/direitos judiciais,3,0.0,457500000.0,457500000.0,429670069.13,2025
Meios de Pagamento e Cartões,Bancos Emissores,10,0.0,369999999.18,409999999.18,3114348102.57,2025
Não classificado,Sem classificação,270,0.0,10831253371.16,29173593116.64,44782870964.83,2026
Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,8,0.0,8005000000.0,8075200000.0,18310502726.95,2026
Crédito PF,Consignado/INSS,11,0.0,2250948990.2200003,3931658998.17,4590199610.54,2026
Agro,Agro,25,0.0,1016800000.0,2840299998.7799997,5633682536.98,2026
Não classificado,Revisar manualmente,23,0.0,354500000.0,2431822556.04,1493165160.93,2026
Crédito PJ,Recebíveis comerciais/multissetorial,34,0.0,310037000.0,2178787001.02,4827887817.62,2026
Crédito PF,Crédito pessoal/consumo,30,0.0,490000000.1,1828870244.1399999,3921470597.71,2026
Crédito PF,FGTS,3,0.0,1250000000.0,1411000000.05,323911449.42,2026
FIC/Alocador,FIC de FIDC,6,0.0,120000000.0,1171500000.0,4056023826.05,2026
Crédito PJ,Risco sacado/fornecedores,11,0.0,771000006.1800001,1138500019.9,2702166069.2999997,2026
Crédito PJ,CCB/Notas comerciais/Capital de giro,12,0.0,68000033.84,1056570033.98,2637646047.39,2026
Imobiliário,Imobiliário,8,0.0,55000000.25,1001992136.52,2064690419.86,2026
Judicial/Precatórios/NPL,Não padronizado/NPL,7,0.0,0.0,978000000.1,4611821290.88,2026
Crédito PF,Auto/Veículos,8,0.0,211500183.84,503700183.84000003,679945074.45,2026
Meios de Pagamento e Cartões,Bancos Emissores,4,0.0,0.0,204000000.26,453364172.75,2026
Infra/Energia,Energia/infra,4,0.0,0.0,170090997.88,284294847.41,2026
Crédito PF,Crédito estudantil,1,0.0,0.0,120000000.0,222825424.14,2026
