delta_id,status_acao,acao_revisada,responsavel,prazo,notas,updated_at_utc
202605_65839682000176,pendente,,,,,
202605_66737102000100,pendente,,,,,
202605_65783221000129,pendente,,,,,
202605_65836995000170,pendente,,,,,
202605_64756643000142,pendente,,,,,
202605_53823295000162,pendente,,,,,
202605_65220183000104,pendente,,,,,
202605_66790195000129,pendente,,,,,
202605_66282853000171,pendente,,,,,
202605_66120764000129,pendente,,,,,
202605_65813874000103,pendente,,,,,
202605_66710965000186,pendente,,,,,
202605_66571503000125,pendente,,,,,
202605_66334710000166,pendente,,,,,
202605_61942198000117,pendente,,,,,
202605_66279914000141,pendente,,,,,
202605_66575588000110,pendente,,,,,
202605_64656737000140,pendente,,,,,
202605_66857424000185,pendente,,,,,
202605_66745267000116,pendente,,,,,
202605_66814472000196,pendente,,,,,
202605_66856459000108,pendente,,,,,
202605_57658801000166,pendente,,,,,
202605_64291147000160,pendente,,,,,
202605_48411822000191,pendente,,,,,
202605_61294007000158,pendente,,,,,
202605_66592945000158,pendente,,,,,
202605_66644176000194,pendente,,,,,
202605_66282332000114,pendente,,,,,
202605_66573074000125,pendente,,,,,
202605_63951472000140,pendente,,,,,
202605_66039743000183,pendente,,,,,
202605_65953609000120,pendente,,,,,
202605_66571531000142,pendente,,,,,
202605_66587464000154,pendente,,,,,
202605_66598676000137,pendente,,,,,
202605_66572273000119,pendente,,,,,
202605_63606839000198,pendente,,,,,
202605_65815236000121,pendente,,,,,
202605_64111898000158,pendente,,,,,
202605_65346076000119,pendente,,,,,
202605_66193864000185,pendente,,,,,
202605_66573108000181,pendente,,,,,
202605_66146849000186,pendente,,,,,
202605_65804305000100,pendente,,,,,
202605_66320254000103,pendente,,,,,
202605_66617173000161,pendente,,,,,
202605_64168514000133,pendente,,,,,
202605_63482918000134,pendente,,,,,
202605_66107567000170,pendente,,,,,
202605_66790149000120,pendente,,,,,
202605_64948048000109,pendente,,,,,
202605_66605002000112,pendente,,,,,
202605_66607729000139,pendente,,,,,
202605_65942396000131,pendente,,,,,
202605_66188571000100,pendente,,,,,
202605_66376024000158,pendente,,,,,
202605_64454678000127,pendente,,,,,
202605_63796349000100,pendente,,,,,
202605_66311371000100,pendente,,,,,
202605_63659752000189,pendente,,,,,
202605_57731899000130,pendente,,,,,
202605_60800084000170,pendente,,,,,
202605_58546382000133,pendente,,,,,
202605_59224026000166,pendente,,,,,
202605_52270934000147,pendente,,,,,
202605_59333553000109,pendente,,,,,
202605_60696087000105,pendente,,,,,
202605_63398882000105,pendente,,,,,
202605_65303945000128,pendente,,,,,
202605_63516458000118,pendente,,,,,
