role,participant,offer_volume_brl_current,offers_current,issuers_current,volume_share_current,offer_count_share_current,rank_current,offer_volume_brl_previous,offers_previous,issuers_previous,volume_share_previous,offer_count_share_previous,rank_previous,delta_offer_volume_brl,delta_volume_share_pp,delta_offers,delta_offer_count_share_pp,rank_change,window_previous,window_current,methodology
administrador,QI TECH + SINGULARE,25667721903.08,437.0,184.0,0.1957848249713421,0.2623049219687875,1.0,21111603396.4,418.0,215.0,0.17843283956041575,0.2775564409030544,1.0,4556118506.68,1.7351985410926334,19.0,-1.5251518934266906,0.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,OLIVEIRA TRUST,17563489414.48,55.0,44.0,0.13396844152684087,0.033013205282112844,2.0,14643743934.04,55.0,43.0,0.12376723657057392,0.03652058432934927,3.0,2919745480.4399986,1.0201204956266947,0.0,-0.3507379047236428,1.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BANCO DAYCOVAL S.A,13591808514.52,132.0,96.0,0.10367378379379978,0.07923169267707082,3.0,20488056305.86,119.0,85.0,0.17316269139233958,0.07901726427622842,2.0,-6896247791.34,-6.94889075985398,13.0,0.021442840084240355,-1.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8337874828.1,113.0,70.0,0.06359852931306045,0.06782713085234093,4.0,6020450000.0,66.0,42.0,0.05088414976167503,0.043824701195219126,6.0,2317424828.1000004,1.2714379551385422,47.0,2.400242965712181,2.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7683199556.01,34.0,27.0,0.05860488460850933,0.02040816326530612,5.0,2612299999.96,7.0,7.0,0.02207885862691133,0.004648074369189907,10.0,5070899556.05,3.6526025981598003,27.0,1.5760088896116216,5.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7293837000.0,5.0,4.0,0.05563495684605898,0.003001200480192077,6.0,264000000.0,1.0,1.0,0.0022312975835829894,0.0006640106241699867,29.0,7029837000.0,5.340365926247599,4.0,0.23371898560220905,23.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,6679160980.74,41.0,29.0,0.05094641310620882,0.02460984393757503,7.0,2163123006.76,24.0,18.0,0.018282466431728633,0.01593625498007968,12.0,4516037973.98,3.2663946674480195,17.0,0.867358895749535,5.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,GRUPO GENIAL,6641101700.4,50.0,29.0,0.050656109604868174,0.030012004801920768,8.0,7765575000.11,59.0,32.0,0.06563374520029513,0.039176626826029216,5.0,-1124473299.71,-1.4977635595426961,-9.0,-0.9164622024108449,-3.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6074191279.86,229.0,72.0,0.046331905926841915,0.13745498199279713,9.0,5994746782.33,182.0,54.0,0.05066690912729102,0.12084993359893759,7.0,79444497.52999973,-0.43350032004491057,47.0,1.660504839385954,-2.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BTG PACTUAL,4912700017.48,51.0,45.0,0.037472437822525094,0.030612244897959183,10.0,14208491472.55,68.0,58.0,0.1200885329131073,0.0451527224435591,4.0,-9295791455.07,-8.261609509058221,-17.0,-1.4540477545599915,-6.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ITAU/INTRAG,3352966859.0,13.0,9.0,0.025575313309953447,0.0078031212484993995,11.0,884000000.0,4.0,2.0,0.007471466151088495,0.0026560424966799467,15.0,2468966859.0,1.8103847158864952,9.0,0.5147078751819454,4.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3231500000.0,63.0,48.0,0.02464880460696333,0.037815126050420166,12.0,3947269775.51,61.0,43.0,0.03336186936305164,0.04050464807436919,9.0,-715769775.5100002,-0.8713064756088309,2.0,-0.2689522023949023,-3.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,2462000000.0,21.0,11.0,0.018779315160867623,0.012605042016806723,13.0,2171000000.0,20.0,13.0,0.018349041871055568,0.013280212483399735,11.0,291000000.0,0.04302732898120547,1.0,-0.06751704665930117,-2.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,"XP INVESTIMENTOS CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A",2105028000.0,5.0,5.0,0.016056451760540557,0.003001200480192077,14.0,1437500000.0,4.0,4.0,0.012149584380305103,0.0026560424966799467,13.0,667528000.0,0.39068673802354537,1.0,0.034515798351213024,-1.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,GRUPO BRADESCO/BEM,2000180000.0,2.0,2.0,0.015256706173218603,0.0012004801920768306,15.0,490000000.0,1.0,1.0,0.004141423545286609,0.0006640106241699867,22.0,1510180000.0,1.1115282627931993,1.0,0.053646956790684396,7.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,1513400000.62,65.0,34.0,0.01154371063204721,0.039015606242496996,16.0,735200000.04,28.0,10.0,0.006213825695225249,0.01859229747675963,16.0,778200000.5799999,0.5329884936821961,37.0,2.042330876573737,0.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,(IV)VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1250000000.0,1.0,1.0,0.009534583245769506,0.0006002400960384153,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1250000000.0,0.9534583245769507,1.0,0.060024009603841535,-17.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VERT DTVM,1250000000.0,1.0,1.0,0.009534583245769506,0.0006002400960384153,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1250000000.0,0.9534583245769507,1.0,0.060024009603841535,-17.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1033757249.93,46.0,18.0,0.00788515564430027,0.027611044417767107,19.0,4433190102.58,95.0,29.0,0.0374688119827681,0.06308100929614874,8.0,-3399432852.65,-2.958365633846783,-49.0,-3.5469964878381632,-11.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,677709177.99,21.0,8.0,0.0051693396591741434,0.012605042016806723,20.0,366759604.74,17.0,10.0,0.003099809923531115,0.011288180610889775,26.0,310949573.25,0.20695297356430284,4.0,0.13168614059169484,6.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BANCO J. SAFRA S.A. - 03.017.677/0001-20,602393794.63,5.0,4.0,0.004594859025307772,0.003001200480192077,21.0,110730301.58,4.0,4.0,0.0009358797513063246,0.0026560424966799467,40.0,491663493.05,0.36589792740014476,1.0,0.034515798351213024,19.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,585497000.0,41.0,24.0,0.004465975909318647,0.02460984393757503,22.0,240399500.0,17.0,13.0,0.0020318288766839354,0.011288180610889775,30.0,345097500.0,0.24341470326347114,24.0,1.3321663326685256,8.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,566840000.0,17.0,12.0,0.00432366653362559,0.01020408163265306,23.0,640900000.0,20.0,10.0,0.005416812959539159,0.013280212483399735,18.0,-74060000.0,-0.10931464259135688,-3.0,-0.30761308507466745,-5.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,SANTANDER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,502000000.0,1.0,1.0,0.003829088631501034,0.0006002400960384153,24.0,0.0,0.0,0.0,0.0,0.0,0.0,502000000.0,0.3829088631501034,1.0,0.060024009603841535,-24.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VORTX DTVM LTDA,500000000.0,1.0,1.0,0.003813833298307803,0.0006002400960384153,25.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,0.38138332983078027,1.0,0.060024009603841535,-25.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,PLANNER CORRETORA DE VALORES S.A,423004273.47,32.0,17.0,0.003226535566972772,0.01920768307322929,26.0,630684644.57,53.0,34.0,0.0053304739523937035,0.0351925630810093,19.0,-207680371.10000002,-0.21039383854209315,-21.0,-1.598488000778001,-7.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,PLANNER CORRETORA DE VALORES S/A,413399311.48,38.0,25.0,0.0031532721192398866,0.022809123649459785,27.0,38000021.72,5.0,5.0,0.00032117180545430723,0.0033200531208499337,48.0,375399289.76,0.28321003137855794,33.0,1.948907052860985,21.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,383750000.0,8.0,6.0,0.0029271170564512386,0.004801920768307323,28.0,123000000.0,7.0,6.0,0.001039581828714802,0.004648074369189907,37.0,260750000.0,0.18875352277364366,1.0,0.015384639911741535,9.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,FINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,350000000.0,4.0,4.0,0.002669683308815462,0.0024009603841536613,29.0,0.0,0.0,0.0,0.0,0.0,0.0,350000000.0,0.2669683308815462,4.0,0.24009603841536614,-29.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,XP INVESTIMENTOS CORRETORA DE CAMBIO TITULOS E VALORES MOBILIARIOS S.A,255000000.0,1.0,1.0,0.0019450549821369795,0.0006002400960384153,30.0,0.0,0.0,0.0,0.0,0.0,0.0,255000000.0,0.19450549821369795,1.0,0.060024009603841535,-30.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,LIONS TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,216000000.0,2.0,2.0,0.0016475759848689707,0.0012004801920768306,31.0,0.0,0.0,0.0,0.0,0.0,0.0,216000000.0,0.16475759848689708,2.0,0.12004801920768307,-31.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,REAG/CBSF,198000000.0,11.0,9.0,0.00151027798612989,0.006602641056422569,32.0,1375129312.79,27.0,23.0,0.011622434517963878,0.017928286852589643,14.0,-1177129312.79,-1.0112156531833987,-16.0,-1.1325645796167074,-18.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BNY MELLON SERVICOS FINANCEIROS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,185200000.0,2.0,2.0,0.0014126438536932102,0.0012004801920768306,33.0,490924800.0,3.0,2.0,0.004149239848336979,0.00199203187250996,21.0,-305724800.0,-0.27365959946437685,-1.0,-0.07915516804331295,-12.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,184999948.72,7.0,4.0,0.001411117929227144,0.004201680672268907,34.0,407698441.87,10.0,8.0,0.003445820258238943,0.006640106241699867,24.0,-222698493.15,-0.20347023290117988,-3.0,-0.243842556943096,-10.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,180700000.0,6.0,6.0,0.00137831935400844,0.003601440576230492,35.0,217700000.0,24.0,16.0,0.0018399753179773365,0.01593625498007968,32.0,-37000000.0,-0.04616559639688965,-18.0,-1.233481440384919,-3.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,"BANCO DAYCOVAL S.A., INSCRITA NO CNPJ SOB O N.o 62.232.889/0001-90",177000000.0,1.0,1.0,0.0013500969876009622,0.0006002400960384153,36.0,0.0,0.0,0.0,0.0,0.0,0.0,177000000.0,0.13500969876009622,1.0,0.060024009603841535,-36.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ACTUAL DTVM SA,169600000.0,10.0,8.0,0.0012936522547860067,0.006002400960384154,37.0,0.0,0.0,0.0,0.0,0.0,0.0,169600000.0,0.12936522547860066,10.0,0.6002400960384154,-37.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,150000000.0,2.0,2.0,0.0011441499894923408,0.0012004801920768306,38.0,0.0,0.0,0.0,0.0,0.0,0.0,150000000.0,0.11441499894923408,2.0,0.12004801920768307,-38.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,150000000.0,1.0,1.0,0.0011441499894923408,0.0006002400960384153,38.0,139000000.0,7.0,2.0,0.0011748119852955893,0.004648074369189907,34.0,11000000.0,-0.0030661995803248424,-6.0,-0.4047834273151492,-4.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,"BANCO DAYCOVAL S.A., INSCRITO NO CNPJ SOB O No 62.232.889/0001-90",126998375.13,1.0,1.0,0.0009687012638035591,0.0006002400960384153,40.0,0.0,0.0,0.0,0.0,0.0,0.0,126998375.13,0.0968701263803559,1.0,0.060024009603841535,-40.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BARU DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,125000000.0,3.0,1.0,0.0009534583245769507,0.001800720288115246,41.0,0.0,0.0,0.0,0.0,0.0,0.0,125000000.0,0.09534583245769507,3.0,0.18007202881152462,-41.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ACTUAL DTVM S.A,124500000.0,5.0,4.0,0.0009496444912786429,0.003001200480192077,42.0,0.0,0.0,0.0,0.0,0.0,0.0,124500000.0,0.0949644491278643,5.0,0.3001200480192077,-42.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,CATALISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,100000000.0,1.0,1.0,0.0007627666596615606,0.0006002400960384153,43.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.07627666596615607,1.0,0.060024009603841535,-43.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,"LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA., CNPJ 24.361.690/0001-72",95000000.0,1.0,1.0,0.0007246283266784825,0.0006002400960384153,44.0,190000000.0,1.0,1.0,0.0016058581093968485,0.0006640106241699867,33.0,-95000000.0,-0.0881229782718366,0.0,-0.006377052813157135,-11.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
