nome,cnpj_prestador,pl,n_veiculos,n_fundos,share_pl,papel,fonte
BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,146427014608.99,430,427,0.15276115506780702,administrador,informe_mensal_tab_I
QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,139239433514.77,821,821,0.14526265355817392,administrador,informe_mensal_tab_I
OLIVEIRA TRUST DTVM S.A.,36113876000191,97677103582.42,156,156,0.10190242017002925,administrador,informe_mensal_tab_I
BB GESTAO DE RECURSOS DTVM S.A,30822936000169,60900746443.310005,3,3,0.06353519120781484,administrador,informe_mensal_tab_I
BANCO DAYCOVAL S.A.,62232889000190,57683385233.45,398,398,0.060178653372217956,administrador,informe_mensal_tab_I
BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,51383839903.15,46,46,0.05360660228158844,administrador,informe_mensal_tab_I
CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186,42961524382.72,80,80,0.04481995419836369,administrador,informe_mensal_tab_I
INTRAG DTVM LTDA.,62418140000131,31609797760.030003,40,40,0.03297717453419621,administrador,informe_mensal_tab_I
GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162,30755954077.71,83,82,0.032086395278012804,administrador,informe_mensal_tab_I
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,39669186000101,24546744869.45,127,127,0.0256085880697982,administrador,informe_mensal_tab_I
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13486793000142,22460182907.76,138,138,0.02343176560135224,administrador,informe_mensal_tab_I
BANCO GENIAL S.A.,45246410000155,21007050939.42,56,56,0.021915774043767444,administrador,informe_mensal_tab_I
XP INVESTIMENTOS CCTVM S.A.,02332886000104,17768425494.940002,44,44,0.018537052125193416,administrador,informe_mensal_tab_I
FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,03317692000194,17689084841.81,68,68,0.01845427935373223,administrador,informe_mensal_tab_I
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22610500000188,17003097747.6,177,177,0.017738617826704866,administrador,informe_mensal_tab_I
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,16695922000109,16622704309.15,295,295,0.017341769327177587,administrador,informe_mensal_tab_I
VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,48967968000118,15387367344.93,44,44,0.016052994150983976,administrador,informe_mensal_tab_I
MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,36864992000142,13227802357.82,43,43,0.013800010691914921,administrador,informe_mensal_tab_I
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24361690000172,13100767649.99,163,163,0.013667480716120272,administrador,informe_mensal_tab_I
BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,02201501000161,13056460429.99,43,43,0.013621256854197543,administrador,informe_mensal_tab_I
PLANNER CORRETORA DE VALORES S.A.,00806535000154,12568638779.27,184,184,0.013112333012309038,administrador,informe_mensal_tab_I
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,11646899211.14,42,42,0.01215072082978083,administrador,informe_mensal_tab_I
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,37678915000160,10139078076.08,88,88,0.010577674361255235,administrador,informe_mensal_tab_I
SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,00329598000167,8008728255.19,25,25,0.00835516985819838,administrador,informe_mensal_tab_I
