participant_pattern,normalized_group,bank_affiliated,independent_reviewed,ownership_status,source_url,as_of_date,notes
"(?i)\bQI\s+(?:TECH|CORRETORA|DISTRIBUIDORA|GESTAO|GESTÃO)\b","QI Tech",false,true,"independent_no_bank_parent","https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/",2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão."
"(?i)\bSINGULARE\b","QI Tech",false,true,"acquired_100pct_by_qi","https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/",2026-07-20,"Aquisição de 100% anunciada pela QI Tech e aprovada pelo Banco Central em novembro de 2024; consolidar no grupo QI Tech."
"(?i)\bOLIVEIRA\s+TRUST\b","Oliveira Trust",false,true,"independent_no_bank_parent","https://ri.oliveiratrust.com.br/a-companhia/quem-somos/",2026-07-20,"Grupo fiduciário independente auditado para o ranking."
"(?i)\bCBSF\b","CBSF",false,true,"independent_under_extrajudicial_liquidation","https://www.cbsf.com.br/",2026-07-20,"Nova denominação da REAG Trust DTVM; independente no recorte societário e em liquidação extrajudicial desde janeiro de 2026."
"(?i)\bFINAXIS\b","Finaxis",false,true,"independent_no_bank_parent","https://www.finaxis.com.br/",2026-07-20,"Prestador fiduciário independente auditado para o ranking."
"(?i)\bBRL\s+TRUST\b","BRL Trust",false,true,"independent_no_bank_parent","https://www.internal.brltrust.com.br/",2026-07-20,"Prestador fiduciário independente auditado para o ranking."
"(?i)\bHEMERA\b","Hemera",false,true,"independent_no_bank_parent","https://hemeradtvm.com.br/",2026-07-20,"Prestador fiduciário independente auditado para o ranking."
"(?i)\bTERCON\b","Tercon Investimentos",false,true,"independent_no_bank_parent","https://terconbr.com.br/sobre-nos/",2026-07-20,"Gestora independente auditada para o ranking."
"(?i)\bREAG\b","REAG",false,true,"independent_legacy_group","https://www.b3.com.br/pt_br/noticias/listagem-8AA8D0CC93CF18C60194AE5749752DA3.htm",2026-07-20,"Grupo historicamente descrito como gestora independente; manter separado de CBSF para preservar os nomes observados no cadastro vigente."
"(?i)\bSOLIS\b","Solis Investimentos",false,true,"independent_no_bank_parent","https://solisinvestimentos.com.br/",2026-07-20,"Gestora independente auditada para o ranking."
