role,participant,pl_brl_current,pl_dated_brl_current,vehicles_current,funds_current,share_current,dated_coverage_current,rank_current,pl_brl_previous,pl_dated_brl_previous,vehicles_previous,funds_previous,share_previous,dated_coverage_previous,rank_previous,delta_pl_brl,delta_share_pp,delta_rank,competencia_current,competencia_previous,history_quality
administrador,BTG PACTUAL,146427014608.99,146427014608.99,430.0,427.0,0.15276115506780702,1.0,1.0,95717328397.02,95717328397.02,334.0,334.0,0.12230683363788589,1.0,2.0,50709686211.969986,3.045432142992113,1.0,2026-05,2025-05,alta
administrador,QI TECH + SINGULARE,139239433514.77,139239433514.77,821.0,821.0,0.14526265355817392,1.0,2.0,107832021666.07,107832021666.07,779.0,779.0,0.13778689141891612,1.0,1.0,31407411848.69998,0.7475762139257797,-1.0,2026-05,2025-05,alta
administrador,OLIVEIRA TRUST,97677103582.42,97677103582.42,156.0,156.0,0.10190242017002925,1.0,3.0,91579920523.71,91579920523.71,134.0,134.0,0.11702008707979077,1.0,3.0,6097183058.709991,-1.5117666909761518,0.0,2026-05,2025-05,alta
administrador,GRUPO BB,60900746443.310005,60900746443.310005,3.0,3.0,0.06353519120781484,1.0,4.0,74702361700.59,74702361700.59,2.0,2.0,0.09545407793846962,1.0,5.0,-13801615257.279991,-3.191888673065478,1.0,2026-05,2025-05,alta
administrador,BANCO DAYCOVAL S.A,57683385233.45,57683385233.45,398.0,398.0,0.060178653372217956,1.0,5.0,44527977567.01,44527977567.01,268.0,268.0,0.0568974921858492,1.0,6.0,13155407666.439995,0.32811611863687584,1.0,2026-05,2025-05,alta
administrador,GRUPO GENIAL,51763005017.13,51763005017.13,139.0,138.0,0.05400216932178025,1.0,6.0,44309460899.35,44309460899.35,121.0,121.0,0.05661827334255113,1.0,7.0,7453544117.779999,-0.2616104020770879,1.0,2026-05,2025-05,alta
administrador,GRUPO BRADESCO/BEM,51383839903.15,51383839903.15,46.0,46.0,0.05360660228158844,1.0,7.0,27323900379.68,27323900379.68,33.0,33.0,0.034914260500606836,1.0,8.0,24059939523.47,1.8692341780981607,1.0,2026-05,2025-05,alta
administrador,REAG/CBSF,42961524382.72,42961524382.72,80.0,80.0,0.04481995419836369,1.0,8.0,79121109249.89,79121109249.89,237.0,237.0,0.10110031807545276,1.0,4.0,-36159584867.17,-5.6280363877089075,-4.0,2026-05,2025-05,alta
administrador,ITAU/INTRAG,31609797760.030003,31609797760.030003,40.0,40.0,0.03297717453419621,1.0,9.0,14780275761.42,14780275761.42,17.0,17.0,0.018886117685774792,1.0,12.0,16829521998.610003,1.4091056848421422,3.0,2026-05,2025-05,alta
administrador,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24546744869.45,24546744869.45,127.0,127.0,0.0256085880697982,1.0,10.0,15493090065.74,15493090065.74,99.0,99.0,0.019796946080102247,1.0,10.0,9053654803.710001,0.5811641989695953,0.0,2026-05,2025-05,alta
