competencia,segmento,nivel,valor
2013-01,Industrial,top,18575493982.2
2013-01,Imobiliario,top,246442206.79999998
2013-01,Comercial,top,2453405407.23
2013-01,Servicos,top,5592412788.77
2013-01,Agronegocio,top,1183694996.28
2013-01,Financeiro,top,29366233162.53
2013-01,Cartao de credito,top,1006610090.85
2013-01,Factoring,top,2129898863.8700001
2013-01,Setor publico,top,1420333683.43
2013-01,Acoes judiciais,top,2019727579.0700002
2013-01,Marcas e patentes,top,0.0
2013-01,Financeiro: credito pessoal,sub,2166634712.18
2013-01,Financeiro: consignado,sub,11352287748.05
2013-01,Financeiro: credito corporativo,sub,230953190.29000002
2013-01,Financeiro: middle market,sub,1847234926.29
2013-01,Financeiro: veiculos,sub,11254252368.25
2013-01,Financeiro: imobiliario empresarial,sub,232409816.85
2013-01,Financeiro: imobiliario residencial,sub,293962658.77
2013-01,Financeiro: outros,sub,1988497741.85
2013-02,Industrial,top,19251482888.979996
2013-02,Imobiliario,top,144408742.89
2013-02,Comercial,top,2222627944.9300003
2013-02,Servicos,top,5242663171.98
2013-02,Agronegocio,top,805624260.26
2013-02,Financeiro,top,29445584556.85
2013-02,Cartao de credito,top,1053806506.94
2013-02,Factoring,top,2157554368.66
2013-02,Setor publico,top,1614381054.75
2013-02,Acoes judiciais,top,2478674839.7599998
2013-02,Marcas e patentes,top,0.0
2013-02,Financeiro: credito pessoal,sub,2252116585.8199997
2013-02,Financeiro: consignado,sub,10996116175.3
2013-02,Financeiro: credito corporativo,sub,440540077.32
2013-02,Financeiro: middle market,sub,1724763069.04
2013-02,Financeiro: veiculos,sub,11100338068.91
2013-02,Financeiro: imobiliario empresarial,sub,514398125.75
2013-02,Financeiro: imobiliario residencial,sub,379374998.24
2013-02,Financeiro: outros,sub,2037937456.47
2013-03,Industrial,top,20264092916.66
2013-03,Imobiliario,top,142659152.49
2013-03,Comercial,top,2820477186.5299997
2013-03,Servicos,top,5356880888.71
2013-03,Agronegocio,top,764588089.77
2013-03,Financeiro,top,27552596436.030003
2013-03,Cartao de credito,top,988551655.37
2013-03,Factoring,top,2240346766.33
2013-03,Setor publico,top,1819323348.2100003
2013-03,Acoes judiciais,top,2150219731.6099997
