gap_id,status_lacuna,acao_revisada,responsavel,prazo,notas,updated_at_utc
snapshot_2026-05_26286939000158,pendente,,,,,
snapshot_2026-05_62393829000159,pendente,,,,,
snapshot_2026-05_65976848000104,pendente,,,,,
snapshot_2026-05_52256912000122,pendente,,,,,
snapshot_2026-05_60528786000146,pendente,,,,,
snapshot_2026-05_47228232000165,pendente,,,,,
snapshot_2026-05_50114948000146,pendente,,,,,
snapshot_2026-05_61652768000134,pendente,,,,,
snapshot_2026-05_53841740000117,pendente,,,,,
snapshot_2026-05_32526025000110,pendente,,,,,
snapshot_2026-05_59929098000109,pendente,,,,,
snapshot_2026-05_53036495000175,pendente,,,,,
snapshot_2026-05_26722650000134,pendente,,,,,
snapshot_2026-05_08632394000102,pendente,,,,,
snapshot_2026-05_31739396000117,pendente,,,,,
snapshot_2026-05_11489344000122,pendente,,,,,
snapshot_2026-05_61267293000162,pendente,,,,,
snapshot_2026-05_60942242000126,pendente,,,,,
snapshot_2026-05_58645480000128,pendente,,,,,
snapshot_2026-05_53960578000156,pendente,,,,,
snapshot_2026-05_60431592000128,pendente,,,,,
snapshot_2026-05_63733796000101,pendente,,,,,
snapshot_2026-05_58349979000198,pendente,,,,,
snapshot_2026-05_63321684000143,pendente,,,,,
snapshot_2026-05_52989090000199,pendente,,,,,
snapshot_2026-05_45445355000122,pendente,,,,,
snapshot_2026-05_59063143000195,pendente,,,,,
snapshot_2026-05_51295720000162,pendente,,,,,
snapshot_2026-05_54464892000100,pendente,,,,,
snapshot_2026-05_46655552000139,pendente,,,,,
snapshot_2026-05_58510255000184,pendente,,,,,
snapshot_2026-05_44516049000177,pendente,,,,,
snapshot_2026-05_31495065000189,pendente,,,,,
snapshot_2026-05_25382606000160,pendente,,,,,
snapshot_2026-05_65347578000164,pendente,,,,,
snapshot_2026-05_55519337000100,pendente,,,,,
snapshot_2026-05_44062564000124,pendente,,,,,
snapshot_2026-05_47117855000160,pendente,,,,,
snapshot_2026-05_20057764000120,pendente,,,,,
snapshot_2026-05_49936440000144,pendente,,,,,
snapshot_2026-05_62010175000137,pendente,,,,,
snapshot_2026-05_52810196000183,pendente,,,,,
snapshot_2026-05_55581400000120,pendente,,,,,
snapshot_2026-05_37294759000134,pendente,,,,,
snapshot_2026-05_63505455000189,pendente,,,,,
snapshot_2026-05_65411764000115,pendente,,,,,
snapshot_2026-05_56805661000149,pendente,,,,,
snapshot_2026-05_07727757000120,pendente,,,,,
snapshot_2026-05_08654210000105,pendente,,,,,
snapshot_2026-05_58458416000138,pendente,,,,,
snapshot_2026-05_10841847000152,pendente,,,,,
snapshot_2026-05_57139003000128,pendente,,,,,
snapshot_2026-05_40054747000147,pendente,,,,,
snapshot_2026-05_27326160000181,pendente,,,,,
snapshot_2026-05_41195737000194,pendente,,,,,
snapshot_2026-05_17012019000150,pendente,,,,,
snapshot_2026-05_48887679000109,pendente,,,,,
snapshot_2026-05_14605855000150,pendente,,,,,
snapshot_2026-05_61157943000117,pendente,,,,,
snapshot_2026-05_43705687000173,pendente,,,,,
snapshot_2026-05_54229771000184,pendente,,,,,
snapshot_2026-05_64118207000148,pendente,,,,,
snapshot_2026-05_09172117000127,pendente,,,,,
snapshot_2026-05_61536498000104,pendente,,,,,
snapshot_2026-05_47117579000130,pendente,,,,,
snapshot_2026-05_28671081000170,pendente,,,,,
snapshot_2026-05_59323530000113,pendente,,,,,
snapshot_2026-05_52271464000136,pendente,,,,,
snapshot_2026-05_63622842000103,pendente,,,,,
snapshot_2026-05_48887873000194,pendente,,,,,
snapshot_2026-05_12254372000123,pendente,,,,,
snapshot_2026-05_62339527000100,pendente,,,,,
snapshot_2026-05_08756222000140,pendente,,,,,
snapshot_2026-05_08315045000167,pendente,,,,,
snapshot_2026-05_28194817000167,pendente,,,,,
snapshot_2026-05_57660236000171,pendente,,,,,
snapshot_2026-05_56844535000101,pendente,,,,,
snapshot_2026-05_42404659000153,pendente,,,,,
snapshot_2026-05_63657457000193,pendente,,,,,
snapshot_2026-05_21081976000106,pendente,,,,,
snapshot_2026-05_54968056000163,pendente,,,,,
snapshot_2026-05_46082763000120,pendente,,,,,
snapshot_2026-05_29720639000123,pendente,,,,,
snapshot_2026-05_11693671000100,pendente,,,,,
snapshot_2026-05_60645628000176,pendente,,,,,
snapshot_2026-05_60696539000159,pendente,,,,,
snapshot_2026-05_47085633000103,pendente,,,,,
snapshot_2026-05_47117773000116,pendente,,,,,
snapshot_2026-05_30366120000178,pendente,,,,,
snapshot_2026-05_58055083000104,pendente,,,,,
snapshot_2026-05_35580989000134,pendente,,,,,
snapshot_2026-05_46073195000109,pendente,,,,,
snapshot_2026-05_23956961000170,pendente,,,,,
snapshot_2026-05_48969748000123,pendente,,,,,
snapshot_2026-05_52994887000184,pendente,,,,,
snapshot_2026-05_64024849000188,pendente,,,,,
snapshot_2026-05_57651404000162,pendente,,,,,
snapshot_2026-05_59894223000192,pendente,,,,,
snapshot_2026-05_63395725000146,pendente,,,,,
snapshot_2026-05_55914292000160,pendente,,,,,
snapshot_2026-05_54477887000132,pendente,,,,,
snapshot_2026-05_37351013000115,pendente,,,,,
snapshot_2026-05_13805152000103,pendente,,,,,
snapshot_2026-05_17198574000119,pendente,,,,,
snapshot_2026-05_60405221000171,pendente,,,,,
snapshot_2026-05_15653649000189,pendente,,,,,
snapshot_2026-05_12610459000196,pendente,,,,,
snapshot_2026-05_61292200000150,pendente,,,,,
snapshot_2026-05_62363602000160,pendente,,,,,
snapshot_2026-05_62627122000160,pendente,,,,,
snapshot_2026-05_65473122000140,pendente,,,,,
snapshot_2026-05_44680409000171,pendente,,,,,
snapshot_2026-05_51983505000154,pendente,,,,,
snapshot_2026-05_45121179000173,pendente,,,,,
snapshot_2026-05_30035329000159,pendente,,,,,
snapshot_2026-05_41579637000161,pendente,,,,,
snapshot_2026-05_57823707000115,pendente,,,,,
snapshot_2026-05_12400421000199,pendente,,,,,
snapshot_2026-05_64756178000140,pendente,,,,,
snapshot_2026-05_58321970000179,pendente,,,,,
snapshot_2026-05_64330030000149,pendente,,,,,
snapshot_2026-05_54495443000120,pendente,,,,,
snapshot_2026-05_29720582000162,pendente,,,,,
snapshot_2026-05_18563847000140,pendente,,,,,
snapshot_2026-05_50857998000113,pendente,,,,,
snapshot_2026-05_43722605000107,pendente,,,,,
snapshot_2026-05_27456204000198,pendente,,,,,
snapshot_2026-05_54349601000133,pendente,,,,,
snapshot_2026-05_63912733000112,pendente,,,,,
snapshot_2026-05_53523699000130,pendente,,,,,
snapshot_2026-05_61373414000150,pendente,,,,,
snapshot_2026-05_19932422000123,pendente,,,,,
snapshot_2026-05_51507998000156,pendente,,,,,
snapshot_2026-05_34475959000103,pendente,,,,,
snapshot_2026-05_58476088000100,pendente,,,,,
snapshot_2026-05_58922423000149,pendente,,,,,
snapshot_2026-05_62543802000103,pendente,,,,,
snapshot_2026-05_58396668000180,pendente,,,,,
snapshot_2026-05_52892178000198,pendente,,,,,
snapshot_2026-05_56797968000145,pendente,,,,,
snapshot_2026-05_50059866000146,pendente,,,,,
snapshot_2026-05_29187006000100,pendente,,,,,
snapshot_2026-05_23773276000108,pendente,,,,,
snapshot_2026-05_59599914000163,pendente,,,,,
snapshot_2026-05_60485375000110,pendente,,,,,
snapshot_2026-05_63931003000169,pendente,,,,,
snapshot_2026-05_63679792000192,pendente,,,,,
snapshot_2026-05_52351675000189,pendente,,,,,
snapshot_2026-05_48946018000107,pendente,,,,,
snapshot_2026-05_53979245000179,pendente,,,,,
snapshot_2026-05_59497402000196,pendente,,,,,
snapshot_2026-05_62344612000159,pendente,,,,,
