review_id,competencia_referencia,cnpj_fundo,denominacao_referencia,status,tipo_analitico,foco_analitico,tabela_ii_analitica,taxonomia_funcional_n1,taxonomia_funcional_n2,confianca,documento_id,fonte_documental,documento_data,pagina_clausula,evidencia,cedente_originador_expresso,notas,responsavel,competencia_inicio,updated_at_utc
05754060000113,2026-06,05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,aprovado,"Agro, Indústria e Comércio",Recebíveis Comerciais,N/D,Multissetorial / Outros,Multicarteira outros,media,1097864,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=05754060000113,,p. 4,"A SEXTA-FEIRA, EXCETO FERIADOS, NO HORARIO DAS 8H AS 18H (HORARIO DE BRASILIA). 4 CAPITULO III – DA POLITICA DE INVESTIMENTO E DOS FATORES DE RISCOS COMUNS AS CLASSES ARTIGO 6O - CADA CLASSE CONTA COM PATRIMONIO SEGREGADO E PODERA SEGUIR UMA POLITICA DE INVESTIMENTOS ESPECIFICA. A POLITICA DE INVESTIMENTOS A SER OBSERVADA PELA GESTORA, COM RELACAO A CADA CLASSE, ESTA INDICADA NO RESPECTIVO ANEXO. TODOS OS LIMITES DE INVESTIMENTO SERAO INDICADOS E DEVERAO SER INTERPRETADOS COM RELACAO AO PATRIMONIO LIQUIDO DA CLASSE CORRESPONDENTE. PARAGRAFO UNICO – O INVESTIMENTO EM CADA CLASSE E/OU SUBCLASSE NAO E GARANTIDO, DE FORMA ALGUMA, PELO FGC – FUNDO GARANTIDOR DE CREDITOS, PELA ADMINISTRADORA, PELA GESTORA, OU POR QUALQUER OUTRO PRESTADOR DE SERVICOS DO FUNDO. O INVESTIMENTO EM UMA CLASSE E/OU SUBCLASSE DESTE FUNDO","p. 15: CNPJ: 33.502.360/0001-40.CBL (“CGM” E, EM CONJUNTO COM A CBL E A CBCL, “CEDENTE",Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual. A cláusula disponível não individualiza o lastro; a conclusão mantém a classificação oficial.,curadoria_documental_consolidada,2026-06,2026-07-29T20:21:37+00:00
06182371000118,2026-06,06182371000118,FOR-TE FIDC,aprovado,Fomento Mercantil,Fomento Mercantil,Factoring,Crédito PJ,Recebíveis comerciais/multissetorial,media,950121,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=06182371000118,,p. 37 — política/definição do lastro,"RA DA CLASSE , PODERA NAO HAVER COMPRADORES OU O PRECO DE NEGOCIACAO PODERA CAUSAR PERDA AO PATRIMONIO DA CLASSE. 10.5. RISCOS ESPECIFICOS: 10.5.1. CONTINUIDADE DE CONSTITUICAO DE DIREITOS CREDITORIOS - OS DIREITOS CREDITORIOS SAO DECORRENTES EXCLUSIVAMENTE DO FORNECIMENTO DE BENS E SERVICOS A EMPRESAS DO GRUPO TELEFONICA, E DEVEM OBSERVAR OS CRITERIOS DE ELEGIBILIDADE. NA HIPOTESE DE, POR QUALQUER MOTIVO: (I) DEIXAR DE OCORRER TAL FORNECIMENTO; OU (II) DEIXAREM DE EXISTIR DIREITOS CREDITORIOS QUE SATISFACAM OS CRITERIOS DE ELEGIBILIDADE, NAO HAVERA CREDITOS PASSIVEIS DE CESSAO A CLASSE, O QUE PODERA LEVAR A LIQUIDACAO DESTE. 10.5.2. INEXISTENCIA DE GARANTIAS - AS APLICACOES NA CLASSE NAO CONTAM COM GARANTIA DA INSTITUICAO ADMINISTRADORA, DO GESTOR, DO CUSTODIANTE E DE QUAISQUER TERCEIROS,",p. 66: CNPJ/MF N° 06.182.371/0001-18 – VIGENTE EM 21.07.2025. 66 ANEXO A POLITICA DE CONCESSAO DE CREDITO ADOTADA PELOS CEDENTE,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual. A proposta deriva da definição ou política de investimento; a composição efetiva da carteira pode variar dentro dos limites do regulamento.,curadoria_documental_consolidada,2026-06,2026-07-29T20:21:37+00:00
07727002000126,2026-06,07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,aprovado,Outros,Recuperação,N/D,Judicial/Precatórios/NPL,Não padronizado/NPL,media,IMG_8592,Comentário manual do usuário — IMG_8592.jpg,2026-07-29,Linha do FIDC na imagem,"Multicedente/Multisacado (Special Sits, Precatórios, NPL, CCBs)",Múltiplos cedentes,"Decisão manual: carteira de special situations, NPL, precatórios e CCBs enquadrada em recuperação/NPL. A carteira é mista e nenhum dos demais tipos ANBIMA acomoda adequadamente seu risco econômico predominante descrito.",usuario_curadoria_manual,2026-06,2026-07-29T20:21:37+00:00
08632394000102,2026-06,08632394000102,RED - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE LIMITADA,aprovado,"Agro, Indústria e Comércio","Multicarteira Agro, Indústria e Comércio",N/D,Crédito PJ,Recebíveis comerciais/multissetorial,alta,1265950,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=08632394000102,,p. 24 — política/definição do lastro,"A política contempla direitos dos setores comercial, industrial, financeiro e de serviços. O foco oficial Multicarteira Agro, Indústria e Comércio é aderente.","p. 61: “ORIGINADOR” SIGNIFICA A EMPRESA OU ENTIDADE QUE, NOS TERMOS DA REGULAMENTACAO APLICAVEL, ORIGINA OS DIREITOS CREDITORIOS. “PATRIMONIO LIQUIDO” SIGNIFICA O PATRIMONIO LIQUIDO DA CLASSE, CONFORME DEFINIDO NO ARTIGO 109 ACIMA. “PERIODICO DO FUNDO” SIGNIFICA O JORNAL BRASIL ECONOMICO, OBSERVADO QUE A COMUNICACAO COM OS COTISTAS PODERA SER REALIZADA POR MEIO DE CORREIO ELETRONICO. “RECOMPRA” E TERMOS DERIVADOS COMO “RECOMPRAR” E “RECOMPRADO” SIGNIFICA O ATO PELO QUAL O CREDOR ORIGINAL RECOMPRA, POR QUALQUER MOTIVO, O(S) TITULO(S) QUE CEDEU PARA A CLASSE. “REGULAMENTO” SIGNIFICA ESTE REGULAMENTO E SUAS ALTERACOES POSTERIORES. “RESERVA DE AMORTIZACAO” SIGNIFICA A RESERVA A SER CONSTITUIDA EM DISPONIBILIDADES PELA ADMINI",Conclusão documental recomenda manter a classificação oficial pelo mandato multissetorial. A política autoriza setores distintos sem declarar concentração corrente.,curadoria_documental_consolidada,2026-06,2026-07-29T20:21:37+00:00
08678936000188,2026-06,08678936000188,SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,aprovado,Fomento Mercantil,Fomento Mercantil,Factoring,Crédito PJ,Recebíveis comerciais/multissetorial,alta,1262455,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=08678936000188,,p. 9 — política/definição do lastro,"DEPOSITO, ATE O INTEGRAL PAGAMENTO DOS DIREITOS CREDITORIOS OU SUA EVENTUAL CESSAO OU DISPOSICAO PELO FUNDO, FEITAS EM QUALQUER DAS HIPOTESES PREVISTAS NESTE REGULAMENTO; (III) OS DIREITOS CREDITORIOS DEVERAO ESTAR CORRETAMENTE FORMALIZADOS POR DOCUMENTOS COMPROBATORIOS, QUE GARANTAM A QUALIDADE DE TITULO EXECUTIVO EXTRAJUDICIAL, E PODERAO SER REPRESENTADOS POR DUPLICATAS,",N/D — cedente/originador nominal não identificado no regulamento disponível.,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual. A proposta deriva da definição ou política de investimento; a composição efetiva da carteira pode variar dentro dos limites do regulamento.,curadoria_documental_consolidada,2026-06,2026-07-29T20:21:37+00:00
08692888000182,2026-06,08692888000182,CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,aprovado,Financeiro,Crédito Pessoal,N/D,Multissetorial / Outros,Multicarteira outros,media,772020,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=08692888000182,,p. 17,"CLASSE ......................................................................... 32 CAPITULO III – POLITICA DE INVESTIMENTO E DA COMPOSICAO DA CARTEIRA ............. 32 CAPITULO IV – DOS CRITERIOS DE ELEGIBILIDADE .................................................................. 35 CAPITULO V – DAS CONDICOES DE CESSAO ................................................................................ 37 CAPITULO VI – PROCEDIMENTOS DE CESSAO DE DIREITOS CREDITORIOS, DO RECEBIMENTO DE VALORES, DA EMISSAO DOS DEMONSTRATIVOS DE PAGAMENTO E DA COBRANCA ORDINARIA ..................................................................................................................... 38 CAPITULO VII – CEDENTES E DOS DIREITOS CREDITORIOS..................................................... 40 CAPITULO VIII – ADMINISTRACAO","p. 122: CEDENTES DE FORMA ELETRONICA. • OS ESTABELECIMENTOS, SEMPRE QUE DISPONIVEL, ENVIAM AS SEGUINTES INFORMACOES: DADOS DA EMPRESA: CNPJ; RAZAO SOCIAL; NOME FANTASIA; INSCRICAO MUNICIPAL; INSCRICAO ESTADUAL; DATA DA",Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual. A cláusula disponível não individualiza o lastro; a conclusão mantém a classificação oficial.,curadoria_documental_consolidada,2026-06,2026-07-29T20:21:37+00:00
09195235000150,2026-06,09195235000150,FIDC DO SISTEMA PETROBRAS,aprovado,"Agro, Indústria e Comércio",Recebíveis Comerciais,N/D,Multissetorial / Outros,Multicarteira outros,media,792797,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=09195235000150,,p. 3,................................................................................17 CAPITULO IV - DA POLITICA DE INVESTIMENTO.................................................19 CAPITULO V - DA FORMA DE COMUNICACAO AOS COTISTAS.............................20 CAPITULO VI - DOS FATORES DE RISCO ...............................................................21 CAPITULO VII - CRITERIOS DE ELEGIBILIDADE E PROCEDIMENTO DE AQUISICAO DE DIREITOS CREDITORIO ..............................................................26 CAPITULO VIII – DESCRICAO DOS DIREITOS CREDITORIO E PROCEDIMENTOS DE COBRANCA .............................................................................................................26 CAPITULO IX – LIQUIDACAO DA CLASSE .....................................................................26 CAPITUL,p. 43: CNPJ/MF CADASTRO NACIONAL DE PESSOA JURIDICA DO MINISTERIO DA FAZENDA. CONTRATO DE CESSAO CONTRATO A SER CELEBRADO ENTRE O FUNDO E CADA UM DOS CEDENTE,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual. A cláusula disponível não individualiza o lastro; a conclusão mantém a classificação oficial.,curadoria_documental_consolidada,2026-06,2026-07-29T20:21:37+00:00
09217024000171,2026-06,09217024000171,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRANQUIAS - RESPONSABILIDADE LIMITADA,aprovado,"Agro, Indústria e Comércio",Recebíveis Comerciais,Comercial,Crédito PJ,Recebíveis comerciais/multissetorial,alta,826309,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=09217024000171,,p. 36 — política/definição do lastro,"CULADAS ”: SAO AS CONTAS CORRENTES DE TITULARIDADE DE CADA CEDENTES E/OU DEVEDORES, MOVIMENTADAS EXCLUSIVAMENTE PELO CUSTODIANTE, DESTINADAS UNICA E EXCLUSIVAMENTE AO PAGAMENTO DE DIREITOS CREDITORIOS; “CONTA CORRENTE DE LIVRE MOVIMENTACAO” : E A CONTA CORRENTE PARA RECEBIMENTO DOS RECURSOS ORIUNDOS DA LIQUIDACAO FINANCEIRA DOS DIREITOS CREDITORIOS PELO CEDENTE OU DEVEDOR, PARA POSTERIOR REPASSE A CLASSE; “CONTRATO DE COBRANCA BANCARIA ”: E O “ CONVENIO PARA PRESTACAO DE SERVICOS DE COBRANCA BANCARIA ”, CELEBRADO ENTRE O BANCO COBRADOR E A CLASSE, COM A INTERVENIENCIA DO CUSTODIANTE, O QUAL ESTABELECE, DENTRE OUTRAS, AS OBRIGACOES DO BANCO COBRADOR EM RELACAO A PRESTACAO DE SERVICOS DE COBRANCA BANCARIA DOS DIREITOS CREDITORIOS DE TITULARIDADE DA CLASSE; “CONTRATO DE COBRANCA”: E O “CONTRATO DE COBRANCA DE DIREITOS CREDITORIOS INADIMPLIDOS”, CELEBRADO ENTRE O AGENTE DE COBRANCA E A CLASSE, O QUAL ESTABELECE, DENTRE OUTRAS, AS OBRIGACOES DO AGENTE DE COBRANCA EM RELACAO A PRESTACAO DE SERVI",N/D — cedente/originador nominal não identificado no regulamento disponível.,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual. A proposta deriva da definição ou política de investimento; a composição efetiva da carteira pode variar dentro dos limites do regulamento.,curadoria_documental_consolidada,2026-06,2026-07-29T20:21:37+00:00
10613882000114,2026-06,10613882000114,ROYAL BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,aprovado,Fomento Mercantil,Fomento Mercantil,N/D,Multissetorial / Outros,Multicarteira outros,media,1166887,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=10613882000114,,p. 2,"IFICACAO 19 2. RESPONSABILIDADE DOS COTISTAS 19 3. REGIME 19 4. CATEGORIA 19 5. OBJETIVO DO FUNDO E POLITICA DE INVESTIMENTO, DE COMPOSICAO E DE DIVERSIFICACAO DA CARTEIRA 19 6. OPERACAO DE AQUISICAO DOS DIREITOS CREDITORIOS E CRITERIOS DE ELEGIBILIDADE 24 7. RISCOS 25 8. ORIGINACAO, CESSAO E COBRANCA DOS DIREITOS CREDITORIOS 25 9. EMISSAO, DISTRIBUICAO, SUBSCRICAO E INTEGRALIZACAO 27 10. NAO REGISTRO PARA NEGOCIACAO E NEGOCIACAO DAS COTAS ERRO! INDICADOR NAO DEFINIDO. 11. METODOLOGIA DE AVALIACAO DOS ATIVOS DO FUNDO 30 12. CUSTOS REFERENTES A COBRANCA DOS DIREITOS CREDITORIOS DO FUNDO 30 13. AMORTIZACAO EXTRAORDINARIA ERRO! INDICADOR NAO DEFINIDO. 14. ORDEM DE ALOCACAO DE RECURSOS 32 15. PATRIMONIO LIQUIDO 32 16. PATRIMONIO LIQUIDO NEGATIVO E PROCEDIMENTO DE INSOLVENCIA DO FUNDO 33 17. EVENTOS DE AVALIACAO E",N/D — cedente/originador nominal não identificado no regulamento disponível.,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual. A cláusula disponível não individualiza o lastro; a conclusão mantém a classificação oficial.,curadoria_documental_consolidada,2026-06,2026-07-29T20:21:37+00:00
11230727000181,2026-06,11230727000181,FIDC GM - VENDA DE VEÍCULOS,aprovado,"Agro, Indústria e Comércio",Recebíveis Comerciais,N/D,Multissetorial / Outros,Multicarteira outros,media,700587,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=11230727000181,,p. 18,"DITORIO CEDIDO SIGNIFICA UM DIREITO CREDITORIO QUE ATENDA A TODOS OS CRITERIOS DE ELEGIBILIDADE E A POLITICA DE INVESTIMENTO E VENHA A SER ADQUIRIDO PELA CLASSE, NOS TERMOS DO CONTRATO DE CESSAO E RESPECTIVO TERMO DE CESSAO. DIREITOS CREDITORIOS SIGNIFICA, CONJUNTA OU SEPARADAMENTE, OS DIREITOS DE CREDITO E VALORES ORIUNDOS DE UMA VENDA DE VEICULOS A PRAZO DO CEDENTE A UMA CONCESSIONARIA, COM TUDO QUE OS REFERIDOS DIREITOS DE CREDITO REPRESENTAM, INCLUINDO AJUSTES MONETARIOS E TODOS OS DIREITOS ASSEGURADOS AO CEDENTE PELOS MESMOS. DIREITOS CREDITORIOS INADIMPLIDOS COM RELACAO A QUALQUER DIREITO CREDITORIO, SIGNIFICA O NAO PAGAMENTO A CLASSE POR PARTE DA CONCESSIONARIA DO VALOR DA VENDA DO VEICULO AO CONSUMIDOR FINAL OU DA ENTREGA FISICA DO VEICULO A TERCEIROS, A QUALQUER TITULO QUE SEJA, NO PRAZO",p. 14: CEDENTE GENERAL MOTORS DO BRASIL LTDA. CNPJ CADASTRO NACIONAL DA PESSOA JURIDICA.,Conclusão documental recomenda manter a classificação oficial; a decisão permanece pendente de aprovação manual. A cláusula disponível não individualiza o lastro; a conclusão mantém a classificação oficial.,curadoria_documental_consolidada,2026-06,2026-07-29T20:21:37+00:00
