cnpj_fundo,expected_document_id,document_reference_date,cedent_originator_explicit,evidence_summary,proposed_category,reclassification_status,manual_validation_reason
62393679000183,1117954,2026-02-19,"CloudWalk Instituição de Pagamento e Serviços Ltda. (cedente).","A definição de Cedente identifica expressamente a CloudWalk; os direitos decorrem de transações processadas no Sistema CloudWalk.","Financeiro — Meios de pagamento","potencial_reclassificação","Validar aderência da categoria proposta à taxonomia oficial antes de alterar o cadastro analítico."
53286499000101,579249,2023-12-21,"Ausência de cedente ou originador único expressamente identificado.","O regulamento admite aquisição de instrumentos de diferentes emissores e no mercado; não nomeia cedente ou originador único.","Financeiro — Crédito privado/mercado de capitais","potencial_reclassificação","Confirmar que a política de investimento vigente permanece concentrada em crédito privado e não representa carteira multicarteira."
53216449000158,880741,2025-04-11,"Pessoas físicas, pessoas jurídicas ou fundos de investimento; nomes individuais não informados.","A definição de Cedentes é genérica; a política permite precatórios, créditos públicos, vencidos e litigiosos.","Outros — Recuperação/Judicial","manter_em_outros","A documentação sustenta subcategoria econômica, mas permanece compatível com Outros na taxonomia vigente."
28169275000172,1149521,2026-03-25,"Estabelecimentos credenciados ao Sistema PagSeguro (cedentes).","O regulamento declara que a classe adquire dos estabelecimentos os recebíveis de transações de pagamento.","Financeiro — Meios de pagamento","potencial_reclassificação","Validar aderência da categoria proposta à taxonomia oficial antes de alterar o cadastro analítico."
29225241000110,784984,2024-11-21,"Pessoas jurídicas ou fundos de investimento; nomes individuais não informados.","A definição de Cedente é genérica; a política concentra direitos litigiosos, precatórios e créditos vencidos.","Outros — Recuperação/Judicial","manter_em_outros","A documentação sustenta subcategoria econômica, mas permanece compatível com Outros na taxonomia vigente."
42922136000107,1159092,2026-04-10,"SHPP Brasil Instituição de Pagamento e Serviços de Pagamentos Ltda. (originadora); estabelecimentos (cedentes de recebíveis de pagamento); instituições financeiras parceiras (endossantes).","O anexo identifica a originadora e descreve operações de pagamento e empréstimos originados por correspondente bancário.","Financeiro — Meios de pagamento","potencial_reclassificação","A carteira também contém empréstimos; validar a categoria dominante pela composição atual."
61285603000171,1230828,2026-06-10,"Ausência de originador ou cedente nominal no regulamento consultado.","O texto atribui seleção a múltiplos cedentes e mantém classificação ANBIMA Outros/Multicarteira Outros.","Outros — Multicarteira","manter_em_outros","Nenhum nome de cedente ou originador foi localizado no regulamento vigente."
34197588000137,974471,2025-08-11,"Pessoas físicas ou jurídicas que cedam direitos; nomes individuais não informados.","A definição de Cedente é genérica; Banco Daycoval aparece como consultoria especializada, sem ser identificado como cedente.","N/D","validação_manual","O regulamento não permite atribuir originador pelo prestador ou pelo nome do fundo."
12817329000129,932759,2025-06-25,"Havan S.A. (cedente) e BMP Sociedade de Crédito Direto S.A. ou outra instituição autorizada (cedente de CCB).","As definições do regulamento nomeiam Havan e BMP SCD e descrevem recebíveis comerciais, de pagamento e CCB.","Agro, Indústria e Comércio — Recebíveis comerciais","potencial_reclassificação","A carteira combina recebíveis comerciais, pagamentos e crédito; validar a categoria dominante pela composição atual."
29301202000155,897410,2025-05-08,"Múltiplos cedentes; nomes individuais não informados.","O regulamento prevê carteira multiestratégia com diversas espécies de direitos creditórios.","Outros — Multicarteira","manter_em_outros","A menção a crédito consignado é uma possibilidade de investimento e não comprova predominância."
53073485000100,,,"Regulamento não localizado no FundosNet para o CNPJ consultado.","A listagem pública continha outros documentos, sem regulamento disponível.","N/D","validação_manual","Documento primário indisponível; não usar nome do fundo ou prestadores como evidência."
48349509000170,1170302,2026-04-27,"Ausência de originador ou cedente nominal no documento selecionado.","O documento mais recente disponível não individualiza cedente ou originador.","N/D","validação_manual","O arquivo selecionado não traz detalhe suficiente da política de direitos creditórios."
17250006000110,1090771,2025-01-10,"Múltiplos cedentes; nomes individuais não informados.","O regulamento declara que os direitos podem ser originados por cedentes distintos e que os processos de originação não são preestabelecidos.","N/D","validação_manual","A carteira é diversificada e o regulamento não identifica uma entidade originadora."
49826785000145,1072129,2025-12-29,"Pessoas físicas ou jurídicas; nomes individuais não informados.","A definição de Cedentes é genérica e não individualiza entidade originadora.","N/D","validação_manual","A política ampla não sustenta reclassificação sem composição atual da carteira."
