ordem,fidc,cnpj_fundo,cedente_informado,tipo_anbima,foco_anbima,volume_emissao_brl,ofertas_consideradas,escopo_oferta,data_referencia,rito_oferta,fonte_oferta,coordenador_lider,ibba_coordenou,regime_distribuicao,garantia_firme,originador,itau_lider_historico,ofertas_totais_fundo,total_cessoes_brl,fonte_volume,fonte_classificacao,originador_fonte,originador_porte,originador_capital_social
1,30E FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,40211693000186,30E PARTICIPAÇÕES E PRODUÇÕES ARTÍSTICAS S.A.,Fomento Mercantil,Fomento Mercantil,60000000.15,3,1S26,2026-02-25,Automático,RCVM 160 automática,SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,Não – Singulare,MELHORES ESFORCOS,Não,30E PARTICIPACOES E PRODUCOES ARTISTICAS S.A.,,14,582794683.3,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,22799997.12
2,AFINITY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS – RESPONSABILIDADE LIMITADA,22358482000199,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE S.A.,Financeiro,Multicarteira Financeiro,99999826.54,1,1S26,2026-05-04,Automático,RCVM 160 automática,SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,Não – Singulare,MELHORES ESFORCOS,Não,CREFAZ SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE S.A.,,5,1668953204.88,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,18500000.0
3,COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA DE RESPONSABILIDADE LIMITADA,32526025000110,"COBUCCIO S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","Agro, Indústria e Comércio",Recebíveis Comerciais,50000000.0,1,oferta mais recente,2024-07-16,Automático,RCVM 160 automática,ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Não – ABC Brasil,GARANTIA FIRME DE COLOCACAO,Sim,"COBUCCIO S/A SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTOS",2022-12-23 (ICVM 476) | 2024-03-01 (Automático),4,1759550198.61,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,45400000.0
4,FOR-TE FIDC,06182371000118,TEL TELECOMUNICAÇÕES LTDA.,Fomento Mercantil,Fomento Mercantil,100000000.0,1,oferta mais recente,2004-06-28,ICVM 400 (dispensada de registro),Legado (ICVM 400/476),Não identificado,Não identificado,Não identificado,Não identificado,TEL TELECOMUNICACOES LTDA.,,1,977835561.91,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,47229000.0
5,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO PRIVADO PAKITÁ DE RESPONSABILIDADE LIMITADA,53841740000117,QI SOCIEDADE DE CRÉDITO DIRETO S.A.,Financeiro,Crédito Consignado,667000004.98,2,1S26,2026-06-25,Automático,RCVM 160 automática,SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A. | XP INVESTIMENTOS CCTVM S.A.,Não – Singulare / XP,MELHORES ESFORCOS,Não,QI SOCIEDADE DE CREDITO DIRETO S.A.,,9,1918531934.02,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,100000000.0
6,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CASH FLOW MULTISSEGMENTOS,97533979000103,RQ INDÚSTRIA E COMÉRCIO DE CONFECÇÕES LTDA.,"Agro, Indústria e Comércio","Multicarteira Agro, Indústria e Comércio",46583323.33,1,oferta mais recente,2023-04-19,ICVM 476,Legado (ICVM 400/476),FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Não – Finaxis,Não identificado,Não identificado,RQ INDUSTRIA E COMERCIO DE CONFECCOES LTDA,,2,590129661.12,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,55750700.0
7,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,42922136000107,MAREE SOCIEDADE DE CRÉDITO DIRETO S.A. | MONEE I FIDC SEGMENTO FINANCEIRO | QI SOCIEDADE DE CRÉDITO DIRETO S.A.,Outros,Multicarteira Outros,,0,sem oferta registrada,,,,Não identificado,Não identificado,Não identificado,Não identificado,MAREE SOCIEDADE DE CREDITO DIRETO S.A.,,0,5751418460.99,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,43500000.0
8,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TURBI I DE RESPONSABILIDADE LIMITADA,49936440000144,TURBI COMPARTILHAMENTO DE VEÍCULOS S/A,Financeiro,Financiamento de Veículos,115000000.0,1,oferta mais recente,2026-07-28,Automático,RCVM 160 automática,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",Não – UBS BB,MISTO,Misto,TURBI COMPARTILHAMENTO DE VEICULOS S/A,,9,590453123.13,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,106070751.76
9,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS XPCE INFRA,31216543000174,ARAPUA PARTICIPAÇÕES S.A.,Outros,Multicarteira Outros,,0,sem oferta registrada,,,,Não identificado,Não identificado,Não identificado,Não identificado,CONASA INFRAESTRUTURA S.A.,,0,647834872.81,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Improvável Middle,1169976558.16
10,JEFER BANKING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESP. LIMITADA,54029281000134,"BWT COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA.",Outros,Multicarteira Outros,,0,sem oferta registrada,,,,Não identificado,Não identificado,Não identificado,Não identificado,"BWT COMERCIO, IMPORTACAO E EXPORTACAO LTDA",,0,415133268.2,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,5887000.0
11,KYKLOS N FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,32400342000195,LATASA GARIMPEIRO URBANO COM. METAIS LTDA | LATASA METAIS LTDA,Outros,Multicarteira Outros,6000000.0,1,oferta mais recente,2024-12-12,Automático,RCVM 160 automática,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Não – Finaxis,MELHORES ESFORCOS,Não,NOVELIS DO BRASIL LTDA.,,3,608534520.92,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Improvável Middle,958527826.0
12,LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,31739396000117,LISTO INSTITUIÇÃO DE PAGAMENTO LTDA,"Agro, Indústria e Comércio",Recebíveis Comerciais,600000000.0,1,1S26,2026-01-20,Automático,RCVM 160 automática,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",Não – UBS BB,MISTO,Misto,LISTO INSTITUICAO DE PAGAMENTO LTDA,2023-06-13 (Automático) | 2023-12-27 (Automático) | 2024-12-26 (Automático),4,1385981646.72,"CVM, Ofertas Públicas de Distribuição (RCVM 160)","ANBIMA, Fundos 175 características público","CVM, Informe Mensal — cedente declarado na Tabela I",Provável Middle,16500000.0
