competencia,cnpj,tp_registro,denominacao,pl,is_fic_fidc,admin_nome,admin_cnpj,condominio,exclusivo,carteira_dc,dc_inadimplentes,segmento_principal,cotistas,publico_alvo,classificacao_anbima,custodiante_nome,custodiante_cnpj,cnpj_fundo,gestor_nome,gestor_cnpj,inad_pct
2026-05,09195235000150,Classe,FIDC DO SISTEMA PETROBRAS,60841973938.55,False,BB GESTAO DE RECURSOS DTVM S.A,30822936000169,ABERTO,S,57456402948.56,0.0,Industrial,107,,,BANCO DO BRASIL S.A.,00000000000191,09195235000150,BB GESTAO DE RECURSOS DTVM S.A,30822936000169,0.0
2026-05,26287464000114,Classe,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,40658253334.57,False,OLIVEIRA TRUST DTVM S.A.,36113876000191,FECHADO,N,28808943253.05,0.0,Cartao de credito,10,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,26287464000114,OLIVEIRA TRUST SERVICER S/A,02150453000120,0.0
2026-05,62393679000183,Classe,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,9984886332.21,False,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,FECHADO,N,9234748432.58,0.0,Cartao de credito,291,,,BANCO BRADESCO S.A.,60746948000112,62393679000183,BANCO BRADESCO S.A.,60746948000112,0.0
2026-05,53286499000101,Classe,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,8615892918.29,False,INTRAG DTVM LTDA.,62418140000131,ABERTO,S,4977912194.83,0.0,Servicos,4,,,ITAU UNIBANCO S.A.,60701190000104,53286499000101,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,40430971000196,0.0
2026-05,53263761000100,Classe,ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,8419843458.05,False,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186,FECHADO,N,4362910139.02,235929352.01,Financeiro,1,,,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186,53263761000100,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,46356742000155,0.054076142870775376
2026-05,52242420000188,Classe,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,7919216190.97,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,5428015964.41,0.0,Servicos,1,,,BANCO BTG PACTUAL S/A,30306294000145,52242420000188,BANCO BTG PACTUAL S/A,30306294000145,0.0
2026-05,65473848000183,Classe,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,7730070570.38,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,6972322438.23,0.0,Comercial,1,,,BANCO BTG PACTUAL S/A,30306294000145,65473848000183,BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,07625159000140,0.0
2026-05,52610624000124,Classe,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,7377892270.31,False,XP INVESTIMENTOS CCTVM S.A.,02332886000104,FECHADO,N,7124853849.37,0.0,Servicos,8,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,52610624000124,XP INVESTIMENTOS CCTVM S.A.,02332886000104,0.0
2026-05,28169275000172,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,6702700848.65,False,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162,FECHADO,N,4677303453.69,0.0,Cartao de credito,4,,,BANCO GENIAL S.A.,45246410000155,28169275000172,GENIAL GESTÃO LTDA.,22119959000183,0.0
2026-05,63953620000165,Classe,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,6651104086.55,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,0.0,0.0,,5,,,BANCO BTG PACTUAL S/A,30306294000145,63953619000130,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,29650082000100,0.0
2026-05,26286939000158,Classe,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,6465712398.18,False,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,FECHADO,N,5657319437.22,0.0,Cartao de credito,61,,,BANCO BRADESCO S.A.,60746948000112,26286939000158,BANCO BRADESCO S.A.,60746948000112,0.0
2026-05,53216449000158,Classe,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,6390376605.81,False,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186,FECHADO,N,5818229352.77,0.0,Financeiro,2,,,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186,53216449000158,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134,0.0
2026-05,50906397000153,Classe,BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5930105860.45,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,5125957973.29,0.0,Comercial,1,,,BANCO BTG PACTUAL S/A,30306294000145,50906397000153,BANCO BTG PACTUAL S/A,30306294000145,0.0
2026-05,29225241000110,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,5765091894.78,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,5259637900.2,0.0,Setor publico,1,,,BANCO BTG PACTUAL S/A,30306294000145,29225241000110,BANCO BTG PACTUAL S/A,30306294000145,0.0
2026-05,63700113000110,Classe,NC 2025 I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,5655088696.55,False,INTRAG DTVM LTDA.,62418140000131,FECHADO,N,2021300298.67,0.0,Financeiro,1,,,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24361690000172,63700113000110,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,44870662000198,0.0
2026-05,42922136000107,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,5001607361.66,False,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,FECHADO,N,4894492468.39,257963004.37,Financeiro,2,,,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,42922136000107,VALORA RENDA FIXA LTDA.,17482086000139,0.05270475049987249
2026-05,32527650000186,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PICPAY I,4564160453.94,False,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162,FECHADO,N,4015908890.28,0.0,Cartao de credito,2,,,BANCO GENIAL S.A.,45246410000155,32527650000186,GENIAL GESTÃO LTDA.,22119959000183,0.0
2026-05,30576260000170,Classe,ARTESANAL MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4349759716.83,False,BANCO GENIAL S.A.,45246410000155,ABERTO,N,0.0,0.0,,13,,,BANCO B3 S.A.,00997185000150,30576260000170,ARTESANAL INVESTIMENTOS LTDA,03084098000109,0.0
2026-05,51152102000163,Classe,HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3967418914.68,False,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186,FECHADO,S,3945999635.37,3209618.97,Financeiro,1,,,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186,51152102000163,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134,0.0008133855211821498
2026-05,34197588000137,Classe,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,3923226340.78,False,BANCO DAYCOVAL S.A.,62232889000190,FECHADO,N,3241518939.8999996,166858814.01999998,Financeiro,7,,,BANCO DAYCOVAL S.A.,62232889000190,34197588000137,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,72027832000102,0.05147550179828582
2026-05,50473039000102,Classe,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,3633849616.56,False,OLIVEIRA TRUST DTVM S.A.,36113876000191,FECHADO,N,3585296832.0,0.0,Servicos,8,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,50473039000102,OLIVEIRA TRUST SERVICER S/A,02150453000120,0.0
2026-05,54979779000168,Classe,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,3632322735.03,False,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,FECHADO,N,3631257655.44,0.0,Cartao de credito,66,,,BANCO BRADESCO S.A.,60746948000112,54979779000168,BANCO BRADESCO S.A.,60746948000112,0.0
2026-05,29301202000155,Classe,RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3599995973.43,False,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,42066258000130,FECHADO,S,4011090870.02,0.0,Financeiro,1,,,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,42066258000130,29301202000155,SECURITY ADM. DE RECURSOS LTDA,02295841000107,0.0
2026-05,12817329000129,Classe,"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",3576638053.52,False,BANCO FINAXIS S.A.,11758741000152,FECHADO,N,3147375452.53,1354842293.82,Comercial,1,,,BANCO FINAXIS S.A.,11758741000152,12817329000129,PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,09204714000196,0.43046732563505175
2026-05,53073485000100,Classe,EXPERT III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE ILIMITADA,3548071251.28,False,BANCO DAYCOVAL S.A.,62232889000190,FECHADO,N,0.0,0.0,,6,,,BANCO DAYCOVAL S.A.,62232889000190,53073485000100,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,72027832000102,0.0
2026-05,21126275000146,Classe,VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3492130161.23,False,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,62318407000119,ABERTO,N,3507689981.13,2361183.37,Comercial,1,,,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,62318407000119,21126275000146,INTEGRAL INVESTIMENTOS LTDA.,06576569000186,0.0006731448282779387
