Tema,Conclusão,Fonte,Monitoramento
Escopo,"Carteira BTG Pactual 1T26 com 6 veículos: Consignado Delta, MT Consignado Privado I, BTG Pactual Ceres Confina, PLGN Marketplace, V CDT 1 e Classe Consignado Privado do MT Global.",portfolios.json · carteira 56d75415a8444cf1981f0e08d9cb2e40,Estático
Reuso Delta,"O Consignado Delta foi reaproveitado da curadoria dedicada anterior: classe única pari passu, ativo alvo CCCBs/CCBs de empréstimos pessoais consignados e sem originador nominal identificado nos documentos analisados.",data/deep_dives/carteira_consignado_delta_902327a7; Regulamento 670691 p.9-14,Monitorar IME e documentos novos
Origem nominal identificada,"A única documentação da carteira que menciona explicitamente Meu Tudo/Parati é a do MT Consignado Privado I: Parati CFI aparece como Endossante e Tudo Serviços S.A. como Meu Tudo/Agente de Retenção e Cobrança.",MT Consignado · Regulamento 993786 p.29 e p.41-46; atas 911262 p.2 e 1004656 p.2,Alta prioridade
Sacados MT Consignado,"Os devedores/sacados são pessoas físicas com vínculo formal de emprego validado pela Dataprev, categoria eSocial 101, tomadoras de empréstimo consignado via CCB eletrônica na Plataforma MT.",MT Consignado · Regulamento 993786 p.42-46,Não monitorável pelo IME granularmente
Banco PAN,"Busca textual exata nos documentos locais analisados não encontrou Banco PAN como cedente, originador, parceiro ou fonte dos créditos desta carteira.",Busca local em data/raw e data/regulatory_extractions com padrão Banco PAN; revisão documental dos PDFs baixados,Revalidar se documentos novos entrarem
MT Global,"A Classe Consignado Privado do MT Global foi carregada pelo CNPJ correto 63.953.620/0001-65. Ela recebeu ativos/obrigações por cisão do MT Consignado Privado I e também incorporou parcela do BTG Pactual Consignados II.",Atas 1087883 p.1-2; 1119041 p.1-3; 1142756 p.1,Monitorar cissões e IME da classe
BTG Consignados II como fonte,"O BTG Pactual Consignados II, veículo-fonte da cisão para o MT Global, descreve Cedente como qualquer financeira apta a contratar cessão/endosso; não identifica Meu Tudo, Parati ou Banco PAN no regulamento local analisado.",BTG Consignados II · Regulamento 938243 p.35-40,Curadoria auxiliar
Ceres Confina,"O BTG Pactual Ceres Confina é veículo de cadeias produtivas do agronegócio, não consignado. O regulamento declara que, pela diversidade de cedentes/endossantes/devedores, não é possível precisar processos de origem e políticas de crédito dos cedentes/endossantes.",Ceres Confina · Regulamento 1143317 p.10-13,Não tratar como consignado
PLGN Marketplace,"PLGN Marketplace é FICFIDC; os documentos analisados indicam aplicação em cotas de classe investida e ativos financeiros de liquidez, sem identificação pública dos cedentes/sacados finais dos direitos creditórios.",PLGN · Ata 691674 p.2-3; anúncios 702585/811323,Lacuna explícita
V CDT 1,"V CDT 1 contratou VR Benefícios e Serviços de Processamento S.A. para retenção/cobrança dos direitos creditórios, mas o documento analisado não revela cedentes, sacados ou origem final dos créditos.",V CDT 1 · Ata 988020 p.2 e p.6,Lacuna explícita
IME,"Caches IME locais disponíveis: Delta 03/2026, MT Consignado 03/2026, Ceres 02/2026, PLGN 03/2026, V CDT 1 03/2026 e MT Global CP 03/2026.",Cache local .cache/fundonet-ime; build_deep_dive_package.best_ime_cache_for_cnpj,Atualizável
