Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Status curadoria,arquivo_origem_tabela
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,Sênior,23/08/2021,Não identificada nos PDFs baixados,,291.000,"R$ 291.000.000,00","R$ 1.000,00","Taxa DI + 1,15% a.a.","Taxa DI + 1,15% a.a.",Linear em datas documentadas: 27/09/2025; 27/10/2025; 27/11/2025; 27/12/2025; 27/01/2026; 27/02/2026; 27/03/2026; 27/04/2026; 27/05/2026; 27/06/2026; 27/07/2026; 27/08/2026,"Datas de amortização extraídas do apêndice; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4-5 · ID 209028,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,Cotas subordinadas,Subordinada,01/09/2021,Não identificada nos PDFs baixados,,,"R$ 5.600.000,00",,Residual / sem parâmetro definido,Residual / sem parâmetro definido,Sem calendário fixo identificado,Curadoria Cloudwalk; emissão subordinada usada para recompor subordinação,211003_assembleia_assembleia_211003_2021-09-01.pdf · ID 211003,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,Sênior,21/01/2022,Não identificada nos PDFs baixados,,,"R$500.000.000,00",,"Taxa DI + 1,14% a.a.","Taxa DI + 1,14% a.a.",Linear em datas documentadas: 27/02/2026; 27/03/2026; 27/04/2026; 27/05/2026; 27/06/2026; 27/07/2026; 27/08/2026; 27/09/2026; 27/10/2026; 27/11/2026; 27/12/2026; 27/01/2027,"Datas de amortização confirmadas no apêndice consolidado; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",966441_regulamento_regulamento_966441_2025-07-24.pdf · p.114-115 · ID 966441,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,1ª série sênior,Sênior,23/08/2021,Não identificada nos PDFs baixados,,950.000,"R$ 950.000.000,00","R$ 1.000,00","Taxa DI + 1,35% a.a.","Taxa DI + 1,35% a.a.",Fundo encerrado por resgate total em 31/10/2024; sem dívida futura ativa no waterfall.,"DF de encerramento informa resgate total e fim das atividades em 31/10/2024; histórico documental mantido fora do waterfall futuro. Histórico: 27/03/2024 16%; 29/04/2024 16%; 27/05/2024 16%; 27/06/2024 16%; 29/07/2024 16%; 27/08/2024 16%; 27/09/2024 0,667%; 28/10/2024 0,667%; 27/11/2024 0,667%; 27/12/2024 0,667%; 27/01/2025 0,667%; 27/02/2025 0,667%.","828702_emissao_emissao_828702_2024-10-31.pdf · p.11, p.33, p.40-41 · 733239_regulamento_regulamento_733239_2024-09-05.pdf · p.113-114",curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,Cotas subordinadas,Subordinada,02/09/2021,Não identificada nos PDFs baixados,,,"R$ 18.000.000,00",,Residual / sem parâmetro definido,Residual / sem parâmetro definido,Sem calendário fixo identificado,Curadoria Cloudwalk; emissão subordinada usada para recompor subordinação,211105_assembleia_assembleia_211105_2021-09-02.pdf · ID 211105,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,1ª série sênior - alteração,Sênior,21/01/2022,Não identificada nos PDFs baixados,,,,,"Taxa DI + 1,34% a.a.","Taxa DI + 1,34% a.a.",Não usado: documento-fonte da linha é do Akira II; série corrente do Kick Ass II está tratada na linha de rerratificação/encerramento.,Linha desativada para evitar duplicidade e erro de CNPJ/fundo no waterfall.,"259049_regulamento_regulamento_259049_2022-01-21.pdf identifica CloudWalk Akira II, não Kick Ass II.",curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,1ª série sênior - rerratificação,Sênior,23/08/2023,Não identificada nos PDFs baixados,,950.000,"R$ 950.000.000,00","R$ 1.000,00","Taxa DI + 1,37% a.a.","Taxa DI + 1,37% a.a.",Fundo encerrado por resgate total em 31/10/2024; sem dívida futura ativa no waterfall.,"Rerratificação traz cronograma histórico, mas DF posterior informa resgate total/encerramento; sem dívida futura ativa.","733239_regulamento_regulamento_733239_2024-09-05.pdf · p.113-114 · 828702_emissao_emissao_828702_2024-10-31.pdf · p.11, p.33, p.40-41",curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior,Sênior,21/01/2022,Não identificada nos PDFs baixados,,,"R$1.500.000.000,00",,"Taxa DI + 1,34% a.a.","Taxa DI + 1,34% a.a.",Substituído pela rerratificação de 28/02/2025; usar a linha de rerratificação 2025 para o waterfall.,Linha histórica mantida para trilha documental; não usar para evitar duplicidade.,851797_assembleia_assembleia_851797_2025-02-28.pdf · p.4-5 · ID 851797,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2023,Sênior,23/08/2023,Não identificada nos PDFs baixados,,,,,"Taxa DI + 1,35% a.a.","Taxa DI + 1,35% a.a.",Remuneração mensal; amortização programada conforme anexo da ata,Curadoria Cloudwalk; benchmark alterado em ata,512611_assembleia_assembleia_512611_2023-08-23.pdf · p.6 · ID 512611,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2024,Sênior,19/08/2024,Não identificada nos PDFs baixados,,,,,"Taxa DI + 1,35% a.a.","Taxa DI + 1,35% a.a.",Remuneração pelo Benchmark; cronograma não estruturado na curadoria,Curadoria Cloudwalk; benchmark alterado em ata,724048_assembleia_assembleia_724048_2024-08-19.pdf · p.3 · ID 724048,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2025,Sênior,28/02/2025,Não identificada nos PDFs baixados,,1.500.000,"R$ 1.500.000.000,00","R$ 1.000,00","Taxa DI + 1,35% a.a.","Taxa DI + 1,35% a.a.","Percentual do saldo de Cotas Sêniores a serem amortizadas: 27/02/2025 16,00%; 27/03/2025 0,00%; 27/04/2025 0,00%; 27/05/2025 0,00%; 27/06/2025 0,00%; 27/07/2025 0,00%; 27/08/2025 19,05%; 27/09/2025 23,53%; 27/10/2025 30,77%; 27/11/2025 44,44%; 27/12/2025 80,00%; 27/01/2026 16,67%; 27/02/2026 20,00%; 27/03/2026 25,00%; 27/04/2026 33,33%; 27/05/2026 50,00%; 27/06/2026 100,00%",Cronograma de amortização por percentual do saldo extraído da rerratificação 2025; parser trata como percentual sobre saldo remanescente.,851797_assembleia_assembleia_851797_2025-02-28.pdf · p.4-5 · ID 851797,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.673/0001-41,1ª série sênior,Sênior,14/03/2024,15/04/2024,22/04/2024,877.500,"R$ 877.500.000,00","R$ 1.000,00",Benchmark em apêndice; spread não localizado nos PDFs baixados,Benchmark em apêndice; spread não localizado nos PDFs baixados,Linear em datas documentadas: 19/11/2026; 19/12/2026; 19/01/2027; 19/02/2027; 19/03/2027; 19/04/2027,Apêndice documental lista seis datas de amortização sem percentuais; waterfall usa amortização linear entre as datas documentadas com aviso explícito.,622660_regulamento_regulamento_622660_2024-03-14.pdf · p.115-116 · ID 622660; 644981_emissao_emissao_644981_2024-04-25.pdf · ID 644981,curado documental; termos econômicos extraídos de regulamento/ata/oferta,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
