Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,Índice de Subordinação,subordination_ratio_min,"Cotas Subordinadas / PL >= 4,8%",monitoravel com ressalva,Cotas Sub / PL,"Alerta se Cotas Sub / PL ficar abaixo de 4,8%",Regulamento define razão mínima entre Cotas Subordinadas em circulação e PL da Classe A.,733165_regulamento_regulamento_733165_2024-09-05.pdf · p.98 · ID 733165,curado documental Cloudwalk; percentual validado no regulamento
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,Índice de Subordinação,subordination_ratio_min,Cotas Subordinadas / PL >= 3%,monitoravel com ressalva,Cotas Sub / PL,Alerta se Cotas Sub / PL ficar abaixo de 3%,Regulamento define razão mínima entre Cotas Subordinadas em circulação e PL da Classe A.,966441_regulamento_regulamento_966441_2025-07-24.pdf · p.99 · ID 966441,curado documental Cloudwalk; percentual validado no regulamento
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,Índice de Subordinação,subordination_ratio_min,"Cotas Subordinadas / PL >= 6,8%",monitoravel com ressalva,Cotas Sub / PL,"Alerta se Cotas Sub / PL ficar abaixo de 6,8%",Regulamento define razão mínima entre Cotas Subordinadas em circulação e PL da Classe A.,733239_regulamento_regulamento_733239_2024-09-05.pdf · p.99 · ID 733239,curado documental Cloudwalk; percentual validado no regulamento
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,Índice de Subordinação,subordination_ratio_min,Cotas Subordinadas / PL >= 5%,monitoravel com ressalva,Cotas Sub / PL,Alerta se Cotas Sub / PL ficar abaixo de 5%,Regulamento define razão mínima entre Cotas Subordinadas em circulação e PL da Classe A.,851798_regulamento_regulamento_851798_2025-02-28.pdf · p.102 · ID 851798,curado documental Cloudwalk; percentual validado no regulamento
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.673/0001-41,Índice de Subordinação,subordination_ratio_min,Índice de Subordinação conforme apêndice; percentual não localizado nos PDFs baixados,monitoravel com ressalva,Cotas Sub / PL,Alerta se Cotas Sub / PL ficar abaixo do percentual definido no apêndice quando localizado,O regulamento exige novas Cotas Subordinadas em montante necessário para compor o Índice de Subordinação; o percentual numérico não aparece nos PDFs locais analisados.,1072697_regulamento_regulamento_1072697_2025-12-23.pdf · p.36-37 · ID 1072697,curado documental Cloudwalk; lacuna explícita sem fallback
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.941/0001-25,Índice de Subordinação,subordination_ratio_min,Índice de Subordinação conforme apêndice; percentual não localizado nos PDFs baixados,monitoravel com ressalva,Cotas Sub / PL,Alerta se Cotas Sub / PL ficar abaixo do percentual definido no apêndice quando localizado,O regulamento exige novas Cotas Subordinadas em montante necessário para compor o Índice de Subordinação; o percentual numérico não aparece nos PDFs locais analisados.,1072783_regulamento_regulamento_1072783_2025-12-22.pdf · p.62-63 · ID 1072783,curado documental Cloudwalk; lacuna explícita sem fallback
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.219.179/0001-00,Índice de Subordinação,subordination_ratio_min,Cotas Subordinadas / PL >= 5%,monitoravel com ressalva,Cotas Sub / PL,Alerta se Cotas Sub / PL ficar abaixo de 5%,Regulamento retifica e define razão mínima entre Cotas Subordinadas em circulação e PL da Classe A.,638457_regulamento_regulamento_638457_2024-04-11.pdf · p.3 · ID 638457,curado documental Cloudwalk; percentual validado no regulamento
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.248.022/0001-02,Índice de Subordinação,subordination_ratio_min,Índice de Subordinação conforme apêndice; percentual não localizado nos PDFs baixados,monitoravel com ressalva,Cotas Sub / PL,Alerta se Cotas Sub / PL ficar abaixo do percentual definido no apêndice quando localizado,O regulamento exige novas Cotas Subordinadas em montante necessário para compor o Índice de Subordinação; o percentual numérico não aparece nos PDFs locais analisados.,1072746_regulamento_regulamento_1072746_2025-12-22.pdf · p.37 · ID 1072746,curado documental Cloudwalk; lacuna explícita sem fallback
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57.609.282/0001-46,Índice de Subordinação Sênior Mínimo,subordination_ratio_min,"Sênior: Cotas Subordinadas / PL >= 15,5%",monitoravel com ressalva,Cotas Sub / PL,"Alerta se Cotas Sub / PL ficar abaixo de 15,5%","Regulamento define mínimo sênior; ramp-up 15,75% e target 16% não foram usados como mínimo.",993693_regulamento_regulamento_993693_2025-09-04.pdf · p.115 · ID 993693,curado documental Cloudwalk; mínimo separado de ramp-up/target
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57.609.282/0001-46,Índice de Subordinação Mezanino Mínimo,subordination_ratio_min,"Mezanino: Cotas Subordinadas Júnior / PL >= 2,5%",monitoravel com ressalva,Cotas Sub Jr / PL,"Alerta se Cotas Sub Jr / PL ficar abaixo de 2,5%","Regulamento define mínimo mezanino; ramp-up 2,75% e target 3% não foram usados como mínimo.",993693_regulamento_regulamento_993693_2025-09-04.pdf · p.115 · ID 993693,curado documental Cloudwalk; mínimo separado de ramp-up/target
