Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
"Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios","28.472.333/0001-32","Alocação mínima em direitos creditórios","credit_rights_allocation_min","Direitos Creditórios / PL >= 50%","monitoravel com ressalva","Dir Cred / PL","Alerta se Dir Cred / PL ficar abaixo de 50%","Regulamento define alocação mínima após início de atividades; IME não valida elegibilidade individual.","732140_regulamento_regulamento_732140_2024-09-03.pdf · ID 732140","curado documental Mercado Crédito"
"Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios","28.472.333/0001-32","Relação mínima de subordinação","subordination_ratio_min","Relação Mínima >= Meta de Relação Mínima; percentual não localizado nos PDFs locais","monitoravel com ressalva","Cotas Sub Jr / PL","Alerta depende do percentual do suplemento/meta quando localizado","Regulamento remete à Meta de Relação Mínima, mas os PDFs locais analisados trazem modelo/apêndice sem campo numérico preenchido.","732140_regulamento_regulamento_732140_2024-09-03.pdf · p.33 e p.63 · ID 732140","curado documental Mercado Crédito; lacuna explícita"
"MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA","33.254.370/0001-04","Alocação mínima em direitos creditórios","credit_rights_allocation_min","Direitos Creditórios Elegíveis / PL >= 67%","monitoravel com ressalva","Dir Cred / PL","Alerta se Dir Cred / PL ficar abaixo de 67%","A regra atual é de composição de carteira; IME mede carteira agregada e não prova elegibilidade individual.","1128340_regulamento_regulamento_1128340_2026-03-03.pdf · ID 1128340","curado documental Mercado Crédito"
"MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA","33.254.370/0001-04","Subordinação mínima","subordination_ratio_min","Cotas Subordinadas / PL >= 7%","monitoravel com ressalva","Cotas Sub / PL","Alerta se Cotas Sub / PL ficar abaixo de 7%","Relação apurada pelo regulamento com componentes de cotas e PL; IME é proxy de classe de cota.","1128340_regulamento_regulamento_1128340_2026-03-03.pdf · ID 1128340","curado documental Mercado Crédito"
"MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA","33.254.370/0001-04","Índice de atraso Over 30 - evento de avaliação","default_rate_evaluation_event","Média móvel 3 meses do Índice de Atraso Over 30 <= 35%","monitoravel com ressalva","Vencidos Over 30 d / Crédito","Alerta se proxy Over 30d ficar acima de 35%","Regra documental usa metodologia própria do índice; IME mensal por bucket é proxy agregado.","787126_regulamento_regulamento_787126_2024-11-21.pdf · ID 787126","curado documental Mercado Crédito"
"MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA","37.511.828/0001-14","Alocação mínima em direitos creditórios","credit_rights_allocation_min","Direitos Creditórios / PL >= 50%","monitoravel com ressalva","Dir Cred / PL","Alerta se Dir Cred / PL ficar abaixo de 50%","IME não valida critérios granulares de elegibilidade e enquadramento.","1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776","curado documental Mercado Crédito"
"MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA","37.511.828/0001-14","Subordinação mínima sênior","subordination_ratio_min","Subordinação estrutural >= 10%","monitoravel com ressalva","Cotas Sub / PL","Alerta se Cotas Sub / PL ficar abaixo de 10%","Regulamento também traz referências a 9,5% e 7% para índices históricos/segmentos; manter como regras separadas se parametrizar covenant final.","1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776","curado documental Mercado Crédito"
"MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA","37.511.828/0001-14","Índice de inadimplência - evento de avaliação","default_rate_evaluation_event","Índice de Inadimplência Relevante <= 8%","monitoravel com ressalva","Vencidos Over 90 d / Crédito","Alerta se proxy de inadimplência relevante ficar acima de 8%","Regra usa metodologia contratual de safra/base de teste; IME é proxy mensal agregado.","1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776","curado documental Mercado Crédito"
"MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA","37.511.828/0001-14","Índice de inadimplência - amortização acelerada","default_rate_early_maturity","Índice de Inadimplência Relevante <= 7%","monitoravel com ressalva","Vencidos Over 90 d / Crédito","Alerta se proxy ficar acima de 7%","Regra contratual distingue evento de avaliação e amortização acelerada; não usar como breach automático sem cálculo contratual.","1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776","curado documental Mercado Crédito"
"MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA","37.511.828/0001-14","Hedges/derivativos permitidos","permitted_hedges","Derivativos/ativos de liquidez limitados conforme regra textual; referência de 20% em ativos/posições específicas","monitoravel com ressalva","Posições mantidas em derivativos","Alerta qualitativo se houver posição relevante em derivativos","IME mostra posição agregada, mas não valida finalidade ou contraparte.","1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776","curado documental Mercado Crédito"
