CNPJ,Fundo,Status,Achado regulamento,Função documentada,Limite,Documento,Página,Proveniência
60.010.416/0001-12,MT CONSIGNADO PRIVADO I FIDC,Parcial,"RDB emitido pelo Endossante é elegível como ativo financeiro de liquidez.","Aplicação da parcela do PL não alocada em direitos creditórios; o regulamento não o qualifica como garantia das CCBs.","R$ 25,0 milhões para CDB/RDB do Endossante",1051393_regulamento_regulamento_1051393_2025-10-09.pdf,11,Fundos.NET/B3
58.458.416/0001-38,MT CONSIGNADO PRIVADO II FIDC,Não localizado,"Nenhuma cláusula específica de RDB foi localizada nos documentos extraídos.","N/D; não inferido.",N/D,Documentos inventariados até 06/08/2026,N/D,Fundos.NET/B3
53.179.862/0001-90,FIDC RL FGTS MT II,Não localizado,"Nenhuma cláusula específica de RDB foi localizada nos documentos extraídos.","N/D; não inferido.",N/D,Documentos inventariados até 30/06/2026,N/D,Fundos.NET/B3
40.752.367/0001-86,MT INSS RECEIVABLES II FIDC,Não localizado,"Nenhuma cláusula específica de RDB foi localizada nos documentos extraídos.","N/D; não inferido.",N/D,Documentos inventariados até 22/07/2026,N/D,Fundos.NET/B3
44.173.467/0001-09,MT INSS RECEIVABLES III FIDC,Não localizado,"Nenhuma cláusula específica de RDB foi localizada nos documentos extraídos.","N/D; não inferido.",N/D,Documentos inventariados até 21/05/2026,N/D,Fundos.NET/B3
51.290.497/0001-60,MT INSS RECEIVABLES V FIDC,Não localizado,"Nenhuma cláusula específica de RDB foi localizada nos documentos extraídos.","N/D; não inferido.",N/D,Documentos inventariados até 30/07/2025,N/D,Fundos.NET/B3
62.010.175/0001-37,FIDC MT FGTS RECEIVABLES IV,Não localizado,"Nenhuma cláusula específica de RDB foi localizada nos documentos extraídos.","N/D; não inferido.",N/D,Documentos inventariados até 21/05/2026,N/D,Fundos.NET/B3
62.310.468/0001-30,MT INSS RECEIVABLES VI FIDC,Não localizado,"Nenhuma cláusula específica de RDB foi localizada nos documentos extraídos.","N/D; não inferido.",N/D,Documentos inventariados até 22/04/2026,N/D,Fundos.NET/B3
54.464.892/0001-00,FIDC MT FGTS RECEIVABLES II,Explícito,"A classe pode adquirir diretamente RDB Parati ou CCB Tudo Serviços cujos recursos se destinam à aquisição de RDB Parati no mesmo montante.","Ativo durante o período de investimento, com liquidez diária e resgate possível em evento de avaliação/liquidação; o texto não o qualifica como garantia das CCBs FGTS.","Menor entre R$ 15,0 milhões e 50% do PL das cotas subordinadas júnior; prazo até 90 dias",884293_regulamento_regulamento_884293_2025-04-23.pdf,"11, 16-17 e 43",Fundos.NET/B3
63.953.620/0001-65,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FIDC RL,Parcial,"RDB emitido por Parati e/ou Endossante integra os Ativos de Liquidez MT.","Aplicação subsidiária da parcela do PL não alocada em direitos creditórios; o regulamento não o qualifica como garantia das CCBs.","Prazo até o período de investimento e liquidez diária",1222863_regulamento_regulamento_1222863_2026-06-02.pdf,1,Fundos.NET/B3
