Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Status curadoria,arquivo_origem_tabela
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,25ª série,Sênior,05/02/2021,Não identificada nos PDFs baixados,,50.000.000 a 130.000.000,"R$ 130.000.000,00","R$ 1,00","IPCA + 5,25% a.a. ou NTN-B 2024 + 3,30% a.a. (maior)","IPCA + 5,25% a.a. ou NTN-B 2024 + 3,30% a.a. (maior)",60 meses; 12 meses de carência; depois 1/48 do principal por mês; juros mensais sem carência,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,147591_assembleia_assembleia_147591_2021-02-05.pdf · p. ata/anexo · ID 147591,curado documental; termos econômicos extraídos de ata/regulamento/anúncio local,data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Subordinada Mezanino F,Mezanino,05/02/2021,Não identificada nos PDFs baixados,,até 10.000.000,"R$ 10.000.000,00","R$ 1,00","Taxa DI + 5,50% a.a.","Taxa DI + 5,50% a.a.",60 meses; 12 meses de carência; depois 1/48 do principal por mês; juros mensais sem carência,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,147591_assembleia_assembleia_147591_2021-02-05.pdf · p. ata/anexo · ID 147591,curado documental; termos econômicos extraídos de ata/regulamento/anúncio local,data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,26ª série,Sênior,22/07/2021,Não identificada nos PDFs baixados,,50.000.000 a 125.000.000,"R$ 125.000.000,00","R$ 1,00","Taxa DI + 3,30% a.a.","Taxa DI + 3,30% a.a.",84 meses; 12 meses de carência; depois 1/72 do principal por mês; juros mensais sem carência,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,197229_assembleia_assembleia_197229_2021-07-22.pdf · p. ata/anexo · ID 197229,curado documental; termos econômicos extraídos de ata/regulamento/anúncio local,data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Subordinada Mezanino G,Mezanino,22/07/2021,Não identificada nos PDFs baixados,,até 10.000.000,"R$ 10.000.000,00","R$ 1,00","Taxa DI + 4,55% a.a.","Taxa DI + 4,55% a.a.",84 meses; 12 meses de carência; depois 1/72 do principal por mês; juros mensais sem carência,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,197229_assembleia_assembleia_197229_2021-07-22.pdf · p. ata/anexo · ID 197229,curado documental; termos econômicos extraídos de ata/regulamento/anúncio local,data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,27ª série,Sênior,23/12/2021,Não identificada nos PDFs baixados,,50.000.000 a 110.000.000,"R$ 110.000.000,00","R$ 1,00","Taxa DI + até 2,90% a.a. (bookbuilding)","Taxa DI + até 2,90% a.a. (bookbuilding)",60 meses; 12 meses de carência; depois 1/48 do principal por mês; juros mensais sem carência,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,256459_assembleia_assembleia_256459_2021-12-23.pdf · p. ata/anexo · ID 256459,curado documental; termos econômicos extraídos de ata/regulamento/anúncio local,data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,28ª série,Sênior,23/12/2021,Não identificada nos PDFs baixados,,2.000.000 a 20.000.000,"R$ 20.000.000,00","R$ 1,00","Taxa DI + até 3,25% a.a. (bookbuilding)","Taxa DI + até 3,25% a.a. (bookbuilding)",84 meses; 12 meses de carência; depois 1/72 do principal por mês; juros mensais sem carência,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,256459_assembleia_assembleia_256459_2021-12-23.pdf · p. ata/anexo · ID 256459,curado documental; termos econômicos extraídos de ata/regulamento/anúncio local,data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Subordinada Mezanino H,Mezanino,23/12/2021,Não identificada nos PDFs baixados,,até 15.000.000,"R$ 15.000.000,00","R$ 1,00","Taxa DI + 4,50% a.a.","Taxa DI + 4,50% a.a.",84 meses; 12 meses de carência; depois 1/72 do principal por mês; juros mensais sem carência,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,256459_assembleia_assembleia_256459_2021-12-23.pdf · p. ata/anexo · ID 256459,curado documental; termos econômicos extraídos de ata/regulamento/anúncio local,data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,29ª série,Sênior,11/07/2022,Não identificada nos PDFs baixados,,50.000.000 a 160.000.000,"R$ 160.000.000,00","R$ 1,00","Taxa DI + até 2,80% a.a. (bookbuilding)","Taxa DI + até 2,80% a.a. (bookbuilding)",60 meses; 12 meses de carência; amortização programada mensal após carência,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,324285_assembleia_assembleia_324285_2022-07-11.pdf · p. ata/anexo · ID 324285,curado documental; termos econômicos extraídos de ata/regulamento/anúncio local,data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,30ª série,Sênior,11/07/2022,Não identificada nos PDFs baixados,,2.000.000 a 20.000.000,"R$ 20.000.000,00","R$ 1,00",Taxa DI + sobretaxa sênior definida em bookbuilding,Taxa DI + sobretaxa sênior definida em bookbuilding,120 meses; 12 meses de carência; amortização programada mensal após carência,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,324285_assembleia_assembleia_324285_2022-07-11.pdf · ID 324285,"curado parcial; série identificada, spread final não localizado no trecho extraído",data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Subordinada Mezanino I,Mezanino,11/07/2022,Não identificada nos PDFs baixados,,não identificado,Não identificado nos PDFs baixados,"R$ 1,00",Taxa DI + sobretaxa mezanino definida em bookbuilding,Taxa DI + sobretaxa mezanino definida em bookbuilding,Prazo e amortização conforme suplemento; cronograma fechado não identificado,Curadoria concentrada Pravaler; valores não localizados permanecem explícitos,324285_assembleia_assembleia_324285_2022-07-11.pdf · ID 324285,"curado parcial; classe identificada, volume/spread final não localizados",data/regulatory_profiles/pravaler_cotas_emissoes_pagamentos.csv
