veiculo_id,tipo,nome,cnpj_ou_emissora,securitizadora,data_inicio_ou_emissao,situacao,administrador,gestor,custodiante,agente_fiduciario,auditor,agencia_rating,pl_ou_saldo_R$mi,carteira_R$mi,data_base,fonte_id,status,nota_metodo
FIDC_I,FIDC,Solfácil FIDC I,36771685000117,n/d,2020-12-21,Em funcionamento normal,Banco Daycoval S.A.,Angá Administração de Recursos Ltda.,Banco Daycoval S.A.,n/d,EY,Austin Rating,83.6965557,86.37768788,2026-07-31,CVM_CADASTRO_20260821 | CVM_FIDC_202607_I_IV | ANX_XP_20260428,Documentado,PL e carteira na última competência pública; prestadores no cadastro CVM; agência de rating declarada no deck e não vinculada a cada classe.
FIDC_II,FIDC,Solfácil FIDC II,42462306000100,n/d,2021-10-08,Em funcionamento normal,Banco Genial S.A.,Angá Administração de Recursos Ltda.,Banco Genial S.A.,n/d,KPMG,Austin Rating,94.13449753,106.79457298999999,2026-07-31,CVM_CADASTRO_20260821 | CVM_FIDC_202607_I_IV | ANX_XP_20260428,Documentado,PL e carteira na última competência pública; prestadores no cadastro CVM; agência de rating declarada no deck e não vinculada a cada classe.
FIDC_III,FIDC,Solfácil FIDC III,49920525000134,n/d,2023-07-04,Em funcionamento normal,Banco Daycoval S.A.,Régia Capital Ltda.,Banco Daycoval S.A.,n/d,PwC,Fitch,141.08625529,140.94049200999999,2026-07-31,CVM_CADASTRO_20260821 | CVM_FIDC_202607_I_IV | ANX_XP_20260428,Documentado,PL e carteira na última competência pública; prestadores no cadastro CVM; agência de rating declarada no deck e não vinculada a cada classe.
FIDC_IV,FIDC,Solfácil FIDC IV,44909456000144,n/d,2022-07-15,Em funcionamento normal,Banco Genial S.A.,Genial Gestão Ltda.,Banco Genial S.A.,n/d,KPMG,Moody's,17.49990091,15.88464587,2026-07-31,CVM_CADASTRO_20260821 | CVM_FIDC_202607_I_IV | ANX_XP_20260428,Documentado,PL e carteira na última competência pública; prestadores no cadastro CVM; agência de rating declarada no deck e não vinculada a cada classe.
FIDC_V,FIDC,Solfácil FIDC V,47240785000133,n/d,2023-02-06,Em funcionamento normal,Banco Daycoval S.A.,Angá Administração de Recursos Ltda.,Banco Daycoval S.A.,n/d,RSM,Austin Rating,67.5393486,70.52865868,2026-07-31,CVM_CADASTRO_20260821 | CVM_FIDC_202607_I_IV | ANX_XP_20260428,Documentado,PL e carteira na última competência pública; prestadores no cadastro CVM; agência de rating declarada no deck e não vinculada a cada classe.
FIDC_VI,FIDC,Solfácil FIDC VI,57028406000108,n/d,2024-11-06,Em funcionamento normal,Limine Trust DTVM Ltda.,Régia Capital Ltda.,Limine Trust DTVM Ltda.,n/d,Next Auditores,n/d,211.11706149,213.56786488999998,2026-07-31,CVM_CADASTRO_20260821 | CVM_FIDC_202607_I_IV | ANX_XP_20260428,Documentado,PL e carteira na última competência pública; prestadores no cadastro CVM; agência de rating declarada no deck e não vinculada a cada classe.
FIDC_VII,FIDC,Solfácil FIDC VII,63505455000189,n/d,2026-01-13,Em funcionamento normal,Genial Investimentos CVM S.A.,Angá Administração de Recursos Ltda.,Banco Genial S.A.,n/d,Deloitte,Moody's,619.6274518600001,619.73635232,2026-07-31,CVM_CADASTRO_20260821 | CVM_FIDC_202607_I_IV | ANX_XP_20260428,Documentado,PL e carteira na última competência pública; prestadores no cadastro CVM; agência de rating declarada no deck e não vinculada a cada classe.
CRI_K1,CRI,CRI Solfácil — Kanastra 1ª emissão,Kanastra Securitizadora S.A.,Kanastra Securitizadora S.A.,2024-01-15,Em acompanhamento / oferta encerrada,n/d,n/d,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST DTVM S.A.,n/d,FITCH RATINGS BRASIL LTDA,249.88998853,297.287825,2026-06-01,ANX_CRI1_PROSP_20240216 | CVM_CRI_2026_GERAL_ATIVO,Documentado,Saldo e créditos da última competência pública; VERT 177 ainda sem Informe Mensal na data de acesso.
CRI_K2,CRI,CRI Solfácil — Kanastra 2ª emissão,Kanastra Securitizadora S.A.,Kanastra Securitizadora S.A.,2024-06-25,Em acompanhamento / oferta encerrada,n/d,n/d,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST DTVM S.A.,n/d,MOODYS LOCAL,399.701017,428.45449138,2026-05-01,ANX_CRI2_RATING_202406 | CVM_CRI_2026_GERAL_ATIVO,Documentado,Saldo e créditos da última competência pública; VERT 177 ainda sem Informe Mensal na data de acesso.
CRI_K3,CRI,CRI Solfácil — Kanastra 3ª emissão,Kanastra Securitizadora S.A.,Kanastra Securitizadora S.A.,2025-05-28,Em acompanhamento / oferta encerrada,n/d,n/d,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST DTVM S.A.,n/d,MOODYS LOCAL,587.852934,587.5341031900001,2026-05-01,ANX_CRI3_LAM_PREL_20250422 | CVM_CRI_2026_GERAL_ATIVO,Documentado,Saldo e créditos da última competência pública; VERT 177 ainda sem Informe Mensal na data de acesso.
